,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.31600582225,-0.134893101177,0.104314337971,-0.269258401139,-0.216113183395,0.0493740085687,-0.00384648167398,0.0881654064663,0.178611248859,-0.192954609583,0.136022855453
MTORC1,-0.0411017507769,-0.0538085442859,0.0330853242723,0.0471863308961,0.0596053116062,-0.0494017499421,0.0443301169129,-0.0264932526532,-0.114042723703,-0.120352483447,-0.125728115293
PDGFR,0.0301317579628,-0.00193430296044,-0.010168230447,-0.0183958865272,-0.00243279251337,0.0716182900353,0.0346584184587,-0.0166016621253,0.0241211558686,0.00468220022629,-0.0401711433416
KIT,-0.0121956972561,-0.0291801843566,0.000649911147153,0.038769564889,-0.00735861542702,-0.0286057249856,-0.0053992473794,0.0222436225407,0.0279273725861,-0.0171435382697,0.0119076730412
VEGFR,0.0537061698032,-0.0145214605937,0.0129777449225,-0.00769348065709,-0.219613933919,0.0411948747492,-0.00366551400114,0.136378886851,0.0434280890822,-0.0205048634544,0.11909371498
FLT3,0.0216212442301,-0.0148246833613,0.00727479728516,-0.0178960812312,0.0921635233451,-0.070691503611,-0.0296011001384,-0.0546290731722,-0.0449026380957,-0.0120381422463,-0.0827981151838
RET,-0.0403278703549,0.0208466102433,0.0404924756761,0.0424829160641,0.145620151154,-0.0671266862356,0.00870892709746,-0.10820369733,-0.0839360630525,-0.00720043555734,-0.0669947662433
CSF1R,-0.00951616348535,0.00159477163993,-0.0169664294499,0.0419192231092,0.052096674667,-0.0276077203853,0.0304538688266,-0.0654799416175,-0.055209502931,0.0948890531825,0.00623380606057
MET,-0.00394896924578,0.00456967257835,0.0219153811192,0.0683752833518,0.00835246457106,-0.0349679946834,0.0185347106274,-0.0142766307818,-0.063821076135,0.0202314868933,0.0182773612122
Proteasome,-0.0341780822495,0.0671090102273,-0.0953778664676,0.0617101480494,-0.0567751941852,0.084122706713,0.0314755079624,0.0548595227361,-0.0383689653833,0.0660815739652,-0.029988052402
CAPN1,0.0697448127113,-0.00304586789494,-0.00444129454341,-0.0443276646958,-0.0363384992529,0.00982773247241,-0.0149372264344,-0.0331084192373,0.0123052737129,-0.0349127059088,-0.0476029946865
Microtubule stabiliser,-0.00649488826353,0.0289107091988,-0.0203820300139,0.062026961907,-0.123546067585,-0.0139126392884,-0.0728754216691,0.19503328823,-0.0180133302688,-0.00483717866275,0.207200316546
SMO,0.123912196912,-0.0369100109555,0.0183611376354,-0.115214717228,-0.0995676785352,0.0430101858555,-0.012750808178,0.0225459650046,0.0787873473707,0.01527881451,0.0768004181334
BRAF,-0.0704344063872,-0.0277823396032,-0.0332868826133,0.0541714684429,0.0163848853221,0.0329684265697,0.0744017424945,0.0256644443235,0.0826061974258,0.0783660526039,0.0528384699667
RAF,-0.0318040570762,0.0295434562385,-0.0307202114395,-0.00549137301973,-0.0311001929055,0.0552834862665,-0.0256434256424,0.0487125379905,0.0740162174554,-0.01448843038,0.0275416007982
AURKA,0.0204159766293,-0.00454661634092,-0.0222052241196,-0.0733621272889,-0.0297756001177,-0.0529088441323,0.0477938319043,0.0194315188354,-0.000145126943354,-0.0100618413004,-0.073988120461
AURKB,0.117708877068,0.0077703818703,0.0827596760712,-0.0621441506392,-0.0295772993769,0.00796448367177,0.00494113643245,-0.0174935050611,0.0516092327244,0.0394334503171,0.0857961895421
AURKC,-0.00436931739085,0.0110826339951,0.0336772129944,-0.0349017325344,-0.0389895842203,0.00338532262214,-0.0249854761101,0.0127709933935,0.00715971078747,-0.01050939489,0.0346119231564
others,0.0950386435652,-0.0143425204616,0.027400084565,-0.0632043060224,-0.109570970475,-0.0474291160641,-0.0586015923079,0.0284040221313,0.00400547460701,-0.0801945912693,-0.000964437729433
ABL,0.0829121514515,-0.0338015345997,0.068028338699,-0.0269772978278,-0.12021204901,0.0679805426829,0.0160107002535,0.00175837505686,0.0309142769201,0.00973895579084,0.0674100983183
ALK,0.126745487817,0.000727790001757,0.0338286706265,0.000305970063166,-0.0930484015473,-0.027038009376,0.00852100862075,-0.0500635918436,-0.0422506199439,-0.0280860335992,-0.0376625354602
