,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.0526429099266,0.140878672825,0.025447714679,-0.0834552212053,-0.1186304837,0.113849526702,-0.0501308311845,-0.0164215023236,-0.0100709411493,0.0412704854961,0.0082092179939
MTORC1,-0.575600613352,0.267393710531,0.395125061751,0.276495686278,-0.633968753614,0.295570137522,-0.20375692032,0.362317757467,-0.147911367721,0.379553605697,0.205664376858
PDGFR,-0.194454100054,0.215995316704,0.153556768406,0.113824809357,-0.0710975984789,0.209851251042,0.0657959722099,-0.0780636999443,-0.0421388795971,0.167837400699,0.0949060462892
KIT,0.0566563286019,-0.0826660018086,-0.15256330827,-0.036917366887,0.083869456775,0.00695944960586,0.0656087237709,0.0179019420716,0.00258076541978,-0.0625883613703,0.00867221820317
VEGFR,0.0600697366458,0.0351264035553,-0.101427249075,-0.0158553196095,0.00188528893452,0.0325779260622,0.0986555450151,0.0196914949101,0.00773562788883,0.0423864986443,0.0617300204818
FLT3,-0.284868626083,0.0496751300209,0.135849866194,0.0570869547504,-0.0651341308483,0.124279547304,-0.00126825599623,-0.0517288910499,-0.0194007363153,0.0380710905046,0.146903429993
RET,-0.213956395733,0.101492060287,0.11147981992,0.131613706382,-0.0172584611236,0.0865072497836,0.0435353173929,-0.128921398941,0.0144671153065,0.0634186259344,0.130640144273
CSF1R,-0.066874047857,0.150393801628,0.0651844184418,0.0673483127136,-0.116790799521,0.07094221737,-0.0692940806546,-0.0398871569514,0.113882930749,0.174713985363,-0.065360991475
MET,0.0475873807357,0.0733777187091,0.0791637907981,-0.01444983027,-0.021057377479,0.0415664047858,-0.00585016104514,-0.0646143174781,-0.0530761201593,0.116298353444,-0.0945020684956
Proteasome,0.287557623506,0.175242607359,0.327520603825,-0.156373973114,-0.26563396338,0.118538410957,0.055634142998,0.0763226265752,-0.120583900415,0.328941358234,-0.144434050335
CAPN1,0.00743944939086,0.209404732444,0.0579198868797,0.0142361623976,-0.0711410673285,0.0571670153115,-0.0254050899512,-0.00890537442681,-0.0782929784223,0.0649922262614,-0.0225079160633
Microtubule stabiliser,0.00580706869559,0.0259244328637,0.400783001876,-0.119847525916,-0.259455096621,0.132253004234,-0.158305856067,0.337706967755,0.0190987442417,0.237974868407,-0.278294943437
SMO,-0.0713802160128,0.16887072741,0.101508465613,-0.0179820382514,-0.14581169181,0.096216259641,-0.112773509511,0.0679615842694,-0.0148306177305,0.0398345520965,-0.0612123804047
BRAF,-0.278329768633,0.235607759579,-0.0537686972301,0.248733506958,-0.0858359928451,0.206522127106,-0.0212623443883,-0.0471402196319,0.027965505697,0.177284579278,0.0880984442753
RAF,-0.0671769304865,0.158834020912,0.0306736379591,0.00684522488661,-0.2258601917,0.132788338175,-0.0841025296694,0.172374251756,-0.0125351848864,0.0631750492658,-0.0123560252222
AURKA,0.0407836956367,-0.0981402090113,-0.114558487128,-0.142423805387,-0.0167778057652,-0.0478105769951,0.0294877242794,0.183675674688,-0.0770359698013,-0.0936105369489,0.054404820082
AURKB,-0.0589960403346,0.0620417636095,0.103038631146,-0.0374659955477,-0.187643285913,0.0804405471315,-0.0446132564179,0.118653857035,0.0234803288472,0.107196975175,-0.0122105680993
AURKC,0.275398919855,-0.202281451744,-0.0969095680058,-0.204661744586,-0.0869500148333,-0.0889525185189,0.0564888301654,0.141791361775,0.101389231398,0.00138408636348,-0.0155752947452
others,-0.0484324312004,0.0295275465869,0.103027937927,-0.0139360682821,-0.128554700084,0.0120418599703,-0.0498912620492,0.0348877499878,0.0459155771629,0.0546011333053,0.0191634892586
ABL,-0.0490832779021,0.180812087162,0.0751280531284,-0.061488360943,-0.143870129833,0.166517940537,-0.0855962283337,0.0579778520246,0.00120225126596,0.0145301282822,-0.00967508406023
ALK,-0.263024444065,0.157889625311,0.193384903578,0.086761253144,-0.220869798436,0.122427431814,-0.145776977264,0.0749433284165,-0.0394726813511,0.21079171338,-0.0433120792353
ROS1,0.0559876951548,-0.0262076944969,0.087554380715,-0.087446755754,-0.0472070988174,-0.026747802446,-0.0181049837816,0.0103039450425,0.000894558132565,0.036562480297,-0.0244900360066
SRC,-0.0537123620665,0.119975847261,0.183165708397,0.0580061895595,0.044082980261,0.0911485209346,0.0152984595675,-0.236897310845,-0.0744930308614,0.186189048535,0.0214579563705
KIF11,-0.160435092366,0.068680625942,0.303826465457,-0.0240893670704,-0.363744255507,0.154570148392,-0.0537073585172,0.275700522764,-0.0339156506593,0.184838782518,-0.00474904357505
gamma-secretase,-0.0124864080769,0.0944161812083,0.298653540257,-0.0720631610831,-0.254412588113,0.0716350634974,-0.0933121509303,0.0808596196501,-0.0106883301171,0.257969942693,-0.114418115263
Ephrins,-0.150124055819,0.193966235001,0.33610123479,0.0424681271378,-0.266945763916,0.138112873228,-0.113038497849,0.0340579641695,-0.0477441362315,0.26606290648,-0.044566814824
BCR-ABL,-0.143111915057,0.274165373514,0.179753757401,0.0229004937727,-0.248291536943,0.181024527833,-0.0237366964769,0.0490608706507,-0.0621991023825,0.13433887185,0.0618434049742
CDK1,-0.109651651537,0.0868897769907,0.0194513093713,0.0959627718231,0.0137715536489,0.113987818511,0.0817653188172,-0.0833762785879,-0.0251761223789,0.11807280889,0.149847387412
CDK2,-0.450790591801,0.354253228646,0.275209690163,0.202991042737,-0.354623944995,0.295088743827,-0.0303253195492,0.141482285171,-0.124419170646,0.126705598766,0.179468953863
CDK5,0.00724473185046,-0.295397958481,0.0908290186112,-0.0608099767806,0.0158651386486,-0.0610677198476,-0.0431851026139,0.0903268976081,0.0022514716685,-0.0383605864884,-0.0318045404399
CDK7,0.174800087637,-0.118355623285,-0.198833771216,-0.0821847138056,0.32323876331,-0.103938511837,0.184284007302,-0.150169548831,-0.0462655408918,-0.237763899017,0.0506685346383
CDK9,0.360518098734,-0.246776480593,-0.00961902671887,-0.245477805641,0.292384650407,-0.221139486088,0.0290117812585,-0.144406450644,-0.090010038723,-0.197318806994,-0.178526762898
PKC,0.0387087000844,0.254384417938,0.211126495548,-0.0170014680279,-0.209137657382,0.125842464765,-0.0607479511601,0.0296373902624,0.0473339944062,0.232156896032,-0.171938125811
CDK4,-0.397176324694,0.18778235143,0.257777063909,0.217827690046,-0.0977114525254,0.108450993144,0.00803026863117,0.0118213708039,-0.193620959633,0.0768382620765,0.0292393719939
LCK,-0.209650576037,0.166536941388,0.254480074141,0.188122465748,-0.265086137654,0.1751744178,0.0658363979697,0.0652264106303,-0.191475278566,0.152395353397,0.0900800737451
FYN,-0.0176150361239,0.216457393528,0.263182452135,-0.0375565558428,-0.227379074949,0.17116514399,-0.0290464014919,0.0201560952328,-0.0924607862783,0.162505531879,-0.0710259864941
BMX,0.130002716667,-0.0414106839037,0.0611097915724,-0.0412463853175,-0.00957256264256,-0.0187541086208,0.0349520950359,-0.133182939599,0.0500574524057,0.154125749019,0.0569718151048
PLK1,-0.121430959092,0.0330465928111,0.637758873149,-0.105441218518,-0.574902043506,0.182397604077,-0.13070458014,0.299211670892,0.0184394302744,0.503788205381,-0.131203341875
PLK2,-0.140362232029,0.0757466605374,0.261738580228,-0.0182103293731,-0.308432027354,0.114153982887,-0.0764614057129,0.185868400328,-0.00567792145877,0.194123278835,-0.0220459016081
PLK3,0.294440807293,-0.172110125567,-0.247651845177,-0.112234638418,0.314679165454,-0.141533585165,0.087769054433,-0.144077868009,0.0584578478452,-0.0981041560687,-0.0578789522739
IGF1R,-0.387925703604,0.208080771064,0.188112933434,0.0444578936785,-0.290514350985,0.0220232687374,-0.209835590416,0.308858890607,-0.195473256315,0.233346125743,-0.112080744337
IR,-0.0784599188113,0.108688180862,0.162872734195,-0.0351100991736,-0.0718862815342,0.0495350797216,-0.0351176996327,0.0269677388981,-0.0635101972284,0.115470485568,-0.117697421069
ITK,-0.319657428025,0.191191292874,0.36577774175,0.0831421778414,-0.240022778536,0.109477599345,-0.127375707087,0.134945173109,-0.143640232193,0.180174819889,-0.0750759011176
RSK2,-0.14604259836,0.120637346784,0.170349764214,0.0716791479947,-0.130703616533,0.073454667713,0.0094453133428,0.0257807526349,-0.0439274279591,0.129561379826,-0.000499843016147
Dihydrofolate reductase (DHFR),-0.205983469678,0.106230994553,0.303498772933,-0.0522313055272,-0.352297650656,0.104251496157,-0.131696750849,0.303441426917,-0.0648463247802,0.177550444911,-0.0388976092983
MTOR,-0.076980056057,0.0292103192657,0.344626648687,-0.00616744788575,-0.130376715893,0.108868626608,-0.00717376016756,0.054868736214,-0.0340111711138,0.189135389359,-0.0899428019106
AKT1,-0.182287402476,-0.0100334928106,0.0155705992122,0.082976882066,0.135357552511,0.0941106427631,0.0199951536203,-0.118466234748,0.0281951083229,-0.0064853518138,0.072332197191
AKT2,-0.217776914592,0.0754988803601,0.0435958249479,0.11345663511,0.113315515983,0.109556328434,0.0249654961899,-0.141037312987,-0.0446342213929,-0.011998813602,0.0717450406453
AKT3,-0.139459178571,-0.0338176534222,0.215264531455,-0.0581366877368,-0.0767472109785,-0.0293918469848,-0.142259148202,0.0954635110611,-0.1119108677,0.0937748087535,-0.0879033150634
HDAC1,0.0586638519643,-0.127976263931,-0.194327589617,-0.290271618784,-0.301913061137,0.0622688708343,-0.0943965622948,0.59212581596,-0.118045468986,-0.0450847399614,0.0971538105404
HDAC3,-0.147634582675,0.169143364688,0.245553798944,0.012714177234,-0.363251474025,0.204323060097,-0.041533465435,0.194020904622,-0.0406576137704,0.224149571899,0.0463274761571
IKK,-0.0145569667241,0.160805798071,0.00780587510295,0.0280584095586,-0.0939522647398,0.0551150241688,0.021726775585,0.0328164289373,-0.00471611445502,0.0197978792167,-0.02823068333
PI3Kbeta,-0.0916479733303,0.338607103236,0.230332479511,0.0920654485706,-0.208354263326,0.0417015156446,0.065864520328,-0.040752174874,-0.0445342302189,0.158641146361,-0.089799755565
