,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,-0.0537491063065,-0.019298424842,0.0135554607518,0.0593428515825,-0.0208302158422,-0.073057850727,0.0364184521094,-0.0563544828338,0.00811336854069,0.0307499609708,0.0761160751367
MTORC1,-0.351528587585,0.0458518684872,0.369618563597,0.334326788683,-0.108948830208,-0.0126820386653,0.0310084173476,0.104296001527,0.132122339515,0.0502422903664,-0.0226118124152
PDGFR,0.0397338061073,0.106797536655,0.0658719991743,-0.0571786111429,-0.144244644529,0.048278797317,-0.00508731760508,0.177412187376,-0.0272978264115,-0.0214625513883,-0.0065159831711
KIT,0.0456865082454,-0.0509396519855,-0.118026749259,-0.0523583282627,-0.0236856740615,-0.0240091137438,0.0483204787098,0.0229132235656,0.0313661171117,0.00411443828775,-0.00856211518469
VEGFR,0.0957160717071,-0.092419456226,-0.0475665628242,-0.03621895398,0.0242626065483,0.0802918625801,-0.111359924081,-0.0217523931135,0.0281336584164,-0.0661760630712,-0.016644934501
FLT3,-0.0944164353999,-0.125497014074,-0.0314637301471,0.0752943861938,0.0687664148527,0.00989163335716,-0.0022983544165,-0.0792839163694,0.05387133488,0.0362459966393,0.0460496296008
RET,-0.119378268994,0.0516521300909,0.0758487350093,0.124551002031,0.0133627304674,0.0259671190247,-0.0534863107081,-0.0522587350719,0.00218735418263,0.0440435739207,-0.00531941695007
CSF1R,-0.0479748895074,0.0317072262199,0.0706942172578,-0.00583845945313,-0.0834838843622,0.0294122766917,0.00892112404025,0.104760613913,0.0536749461699,-0.00407214996547,-0.00836829634243
MET,-0.00892177167237,0.0610370296522,0.0756420146706,0.101817105271,-0.0356656837327,-0.0464619115523,0.00357801366472,-0.0371719425463,0.047914356808,-0.0723479432863,-0.0464604186594
Proteasome,-0.405755387745,0.117407500152,0.0627594354251,0.313468301544,-0.432091931541,0.0971650033206,0.199381149585,0.378491946256,0.244305409596,0.00152304240179,0.0837139080916
CAPN1,-0.132894486761,0.0426875331108,-0.0437487559876,0.124510378038,-0.125188111871,0.0429172229681,0.0433278470135,0.0667213631414,0.092043073187,-0.0107830657192,0.0624648756169
Microtubule stabiliser,-0.187633874215,0.139224108729,0.21758417079,0.149858105172,-0.207515055127,-0.0357295289666,0.13118523462,0.382348377448,-0.00634416170596,-0.0904163353422,-0.141528831601
SMO,-0.0491331249066,0.0100853676223,0.0736517258531,0.0455179807365,-0.0975645876911,0.00351592989463,0.00238867753777,0.11721066812,0.0650899023869,-0.0578183835525,-0.0310704197644
BRAF,0.107216977196,0.0777622699356,0.120611898532,0.0287614525979,-0.213746163346,-0.0732206961263,0.110508295174,0.155710468099,-0.0690307498175,-0.0663977258021,0.128483317497
RAF,-0.0697091960405,-0.0244483378012,0.0607994855403,0.0659947436003,-0.00172242301937,-0.0119132059939,-0.008876804908,0.00712475567803,0.0915099241961,-0.0213633318986,-0.00748619375677
AURKA,0.0692757806022,-0.0501874809257,-0.0738062211288,-0.0287183424601,0.169231338937,-0.0381445382109,-0.0517760546125,-0.112224736736,-0.126076831593,-0.0106636576243,-0.0380873121688
AURKB,-0.102577164155,-0.0210831755595,0.0653005563517,0.145076118321,-0.0448056307395,-0.0280646052812,0.0111747568498,0.0909142239873,0.00695125594919,-0.0650978905014,-0.05785029468
AURKC,0.000231342900574,-0.0110466288751,0.00641063650986,-0.00205090433592,0.063125881284,-0.0303105785861,0.0124898304661,-0.0120486782206,-0.0872898836393,-0.0230018356395,-0.0132168556042
others,-0.145977256912,0.0636135535278,0.0772818274204,0.0743534010942,-0.0504639643417,0.0529833613093,-0.096652795044,0.0260501088933,-0.0776762426169,0.0416724552208,0.0760474774208
ABL,0.0460667297122,-0.0526578627294,-0.0237514236833,-0.0126087090848,0.0362077550559,-0.0137441965617,-0.00250608080767,0.019905013762,-0.0147862887418,-0.00872616910656,-0.0681129559386
ALK,-0.117054794101,-0.0697897958144,0.0323038757072,0.0880928858947,0.157275741703,0.116268591852,-0.114206335543,-0.290544433311,0.122159212733,0.0688705947674,0.0918823174632
ROS1,-0.0612931711588,0.0204612081158,0.121043151545,0.110517264511,-0.0334097338841,0.00339585584354,-0.0048469505973,0.00230177038252,0.0808585567221,-0.0438262557439,0.0138901372591
SRC,-0.0834707119788,0.194025630716,0.0271184942322,0.00226889590371,-0.258550114381,0.0353895734457,0.165235546249,0.30240425127,0.0285236133451,-0.0323997649446,0.00836742220271
KIF11,-0.393134348211,0.0298673860598,0.250866011317,0.355897363417,0.130762115989,-0.0366929481661,-0.0728690291257,-0.142656495331,-0.0122275826984,-0.080131103326,-0.104472703862
gamma-secretase,-0.303966050707,0.0574760810828,0.208027266838,0.295702184593,-0.0975736083196,-0.00635585624875,0.00249430596039,0.0766570249225,0.093779109334,-0.065127429545,-0.0478911003627
Ephrins,-0.137096219678,0.135622712896,0.0914373532497,0.111492673197,-0.280591990308,-0.0571845104655,0.231465468847,0.301288359916,0.0736021032742,0.0121594082807,0.00891441054524
BCR-ABL,0.0779590437273,0.0194730222198,-0.0453695529771,-0.0846208741,-0.0458547302626,-0.00315437455266,0.00342231297726,0.0785059434047,-0.0156838685075,-0.011923181432,-0.0724594449102
CDK1,-0.00232289585997,-0.0139111408525,0.140995406458,0.00531494470672,0.0533055703693,0.00279583823743,-0.100703220513,0.0077025719329,-0.0638249924352,-0.0314413278806,-0.110921238975
CDK2,-0.142870664997,0.103855778146,0.146165469598,0.11153146011,0.102412327612,-0.0760776915541,-0.106984940549,-0.240865858506,-0.112687941279,0.110509449505,-0.0203950468491
CDK5,-0.0959994909487,0.0826719831603,0.0550779274732,0.0790437485628,-0.0193326123018,-0.00458681063449,-0.0538548460152,0.0191228968921,-0.0326994529297,0.0335926771154,0.0262115802395
CDK7,-0.0232774640437,-0.00970885950734,0.0617165851964,-0.0209790837118,-0.0767612144612,0.0493950109705,-0.0465611798685,0.0597747338829,0.03027892448,-0.131713354797,0.0825889066848
CDK9,-0.0904430544518,0.14235094994,0.0587079432101,0.0869944604424,-0.216608428923,0.0411075102021,0.0379750393301,0.22412516973,0.159592752892,-0.0078467577318,0.0262259155709
PKC,-0.0493891862574,0.0667175524872,-0.0434870740671,0.0542065337664,-0.166351855123,0.0119589063282,0.144310542743,0.225634896516,0.0471347553099,0.00102373634774,-0.0693554217235
CDK4,-0.074777603633,0.0549771358872,0.0411529589592,0.0817556495204,-0.0736407242907,-0.00139525505269,-0.0105244475474,0.0512306542906,0.0128705259053,-0.053440359429,-0.0350047747867
LCK,-0.0843580432304,0.13361022088,-0.076548419141,-0.0465869074479,-0.182032135041,0.0468778810427,0.128306418985,0.253390233569,0.0902942574736,0.0507644911354,0.0336362841689
