,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.349180351547,0.00549135218899,0.0967353554247,-0.138555174267,0.145883018947,-0.0385429092825,0.024431156507,-0.0753133961545,-0.105994509785,0.154614331036,0.0136355616667
MTORC1,-0.0186646941515,-0.151180398826,-0.0839593053601,-0.129021353383,-0.0301905004567,0.0962647421377,0.0384219900906,0.20261218281,-0.0190150766238,0.0540119329921,0.0357475559728
PDGFR,-0.165537752306,0.0480622861447,-0.0390098515847,0.0991189630927,-0.0230321910089,0.0122523569737,0.070824970511,0.0800422226909,-0.0424010843567,-0.114896025847,-0.0482479057627
KIT,0.103685033104,0.0562855992905,0.00430766351695,-0.0264998478569,0.247526297143,-0.0217785898286,-0.00704330679827,-0.289696696586,-0.129666168931,0.0464362709113,0.0662900088235
VEGFR,-0.00348318177694,0.0770419363587,-0.00475364740981,-0.00302569101513,-0.0297513864303,-0.0478608862237,-0.0133499155743,-0.0629823800338,0.0437125347434,-0.0378911012427,-0.0292661688574
FLT3,0.122991305148,-0.035211925372,0.0182627105589,-0.145600761446,-0.0104977643384,0.0354519226921,-0.0461864624475,-0.030933458482,-0.0272806137592,0.0331011415192,0.0187228179092
RET,0.0512348432705,0.0278249013458,0.0216155314842,-0.127235940107,-0.0105777896338,-0.0209937151369,-0.0344765273213,-0.0276900092649,0.0665299868886,0.0481088858436,-0.0516558964876
CSF1R,-0.0314614362956,0.0558366280499,0.0864683691835,0.0286548491176,-0.0178971649243,0.00157871507519,0.0222033853887,-0.0453856998601,-0.00854152027537,0.00761391905526,-0.0680469557376
MET,-0.0154247030887,-0.0180461475131,-0.00667008988881,-0.0945512824607,-0.0492958402447,0.0308507128693,0.0317313741127,0.0860689468236,0.0999131860996,-0.0416485846162,-0.0309919026469
Proteasome,-0.139137051839,-0.0960392846004,-0.219819513961,0.308349001458,0.0255438104322,-0.0272345887895,0.0705898412793,0.239219606353,-0.144946565813,0.0123431211599,0.0472781878046
CAPN1,-0.000948747906942,0.0418008549523,-0.0324063602864,0.00895401063819,0.0396225289863,-0.0311497864881,-0.0494174746327,-0.0410541611991,-0.0194366502864,0.0455154761299,0.0339445731968
Microtubule stabiliser,-0.384682828291,-0.31274398349,-0.192593074352,0.324498965485,0.148070420183,0.0977183585919,0.195948720053,0.217263444239,-0.0898143000084,-0.00960565621866,0.0107730547984
SMO,0.0192425393291,0.127518354313,0.0322309116001,-0.00814644127665,-0.0747466779933,-0.0187101056305,-0.0435826454304,0.0264530208064,-0.0460653989048,0.0101561284044,0.0408739578371
BRAF,-0.0388974112971,0.105587856401,-0.070016829911,0.374430485996,-0.362511043185,-0.199994448852,-0.123505850347,0.209827465014,0.0922602656001,-0.103660485993,-0.00779544300614
RAF,0.0702144691808,0.00340604720472,-0.0381006170699,-0.00774853978726,0.100833096934,-0.0470739894569,0.0264437082953,-0.0848191633861,-0.0985111225716,-0.0336663008627,0.0192104929936
AURKA,-0.103935083943,0.0508978208882,0.13169852425,0.145001832813,-0.245013622143,0.00606670721088,-0.0279897961422,0.123666859253,-0.100840103492,-0.0584374298983,-0.0762964731763
AURKB,-0.0479479582746,0.0637919328191,-0.0195266327126,0.130282550191,-0.0989974693869,-0.09274654172,-0.0257755865988,0.0871382247031,-0.0365718700905,-0.0681516218332,0.0151480673928
AURKC,-0.469160725255,-0.0602093326603,-0.0484610855276,0.428529116246,-0.27173155323,0.102854946153,0.129186953107,0.323485420108,-0.0612065084314,-0.0992672793446,-0.0586015415059
others,0.00682867579126,-0.0143741294145,-0.0215490956649,0.083856083841,-0.0368552040492,-0.0333504320168,-0.00673547845557,0.0293156782282,-0.115869565312,-0.0560880382105,0.0769959748586
ABL,0.00622717665955,0.0522792950178,0.0139701285855,0.0531078586561,-0.0263157457619,-0.0294754767139,-0.00865648368877,0.0552182680583,0.0106356026772,0.0331702162079,0.0141824562054
ALK,-0.0660909163998,0.0884502419256,0.0708788201959,0.169312021418,-0.0203768030208,0.000691246680442,-0.061381397739,0.0566724636582,-0.0889174263517,0.033454931156,0.0234680914214
ROS1,-0.0212998873192,-0.0133235705124,0.0157865176403,-0.101677718843,-0.0312327566557,0.0521344982737,0.00157749068339,0.0183874182717,0.0631875251522,-0.012670424683,-0.0393076657281
SRC,0.128600556316,0.0229819813713,0.120383882974,-0.224464573501,0.0679055122643,0.0179999888952,0.0214160042015,-0.0951170712678,0.0567880840787,0.0503949993103,-0.0623222142178
KIF11,-0.181169644327,-0.0762513806745,-0.0343744418912,0.05674044134,0.00701353950989,0.124019892317,0.0264666782894,0.136863499355,-0.110116221243,-0.076981408359,0.0281919116032
gamma-secretase,-0.137232405615,-0.0374453151138,-0.0232646263514,0.0960132182227,-0.0743212248262,0.0824271858938,0.0247155184264,0.191704411836,-0.0964384737147,-0.0938052911854,0.0227766103107
Ephrins,-0.0492554703892,-0.046544671044,-0.0126763862861,0.0707183868887,0.0262611677536,0.00109882212381,0.05754988642,0.030204368965,-0.0798690666272,0.0027979052014,-0.0119382529973
BCR-ABL,-0.0203779910927,-0.0185401100107,-0.00529713759419,0.00222817369997,0.0159075926374,0.0214042481773,0.0184908804767,0.0375237452556,-0.0132918856097,0.0255744740789,0.0103626890886
CDK1,-0.0119454809177,0.0925683495065,0.100186504515,-0.0416327588245,-0.0214175246056,0.0425503297191,-0.0684603885191,-0.0533313268463,-0.113362321365,-0.00427188467708,-0.060537231224
CDK2,0.189075695962,0.0737787431426,0.128333805277,0.105328409503,-0.213775608591,-0.0453780776289,-0.0984965304014,0.185823968639,-0.322660607037,-0.07771914571,0.170258357666
CDK5,-0.026841732355,-0.0226958768418,-0.0353037729898,0.199646288287,-0.0135665185521,0.0374459885228,0.0225168999768,0.161339371921,-0.246834821034,-0.0996352642739,0.170662920289
CDK7,-0.0155443750368,-0.0168450742478,0.0996604100926,-0.42463176738,-0.187715271927,0.171737630611,-0.0450018317714,0.0598079808881,0.319113714514,-0.083065059484,-0.219136249165
CDK9,0.0740165329403,0.019805111173,0.0481500243591,-0.143492527972,0.189270548447,0.0179743148485,0.0066383698895,-0.183776029493,-0.11502364732,-0.0507050843924,-0.0697042295026
PKC,-0.199957241612,-0.0899371695457,-0.0689903744174,0.182240612454,-0.0833998672287,-0.04741873338,-0.0053236939248,0.151097457511,0.157041645318,-0.00766670161871,0.0021587723944
CDK4,0.0286326652115,0.0609292313749,0.0164799752996,-0.0337216097743,-0.0756254959953,0.000606443882869,-0.0597038074316,0.0501384450883,0.0446964983594,-0.0119300668446,0.0530919682173
LCK,0.176970202932,0.0489372796674,0.0932331686091,-0.204944469472,-0.172872262452,0.036706210683,-0.10940385624,0.139496618924,0.00550773276995,0.0683718801709,0.0765430575674
FYN,0.200332056344,0.0596254293843,0.0643341854956,-0.120455028729,0.0978698689755,-0.0034164308567,-0.0329176841763,-0.162663119943,-0.0898054757742,0.0251827288984,0.0133445276303
BMX,0.249826572359,0.0483637758382,0.100253789715,-0.163240798675,-0.0190217456077,-0.103103679951,-0.00449289745282,-0.18517409021,-0.0300807176686,0.0603072468524,-0.0106295042173
PLK1,-0.218851646532,-0.185436818065,-0.0592730886755,0.116045394184,0.14041249776,0.14218759521,0.102930798885,0.149820744065,-0.148801305053,-0.004949251654,-0.0160809421616
PLK2,0.179395843548,0.0026610889936,0.0344101735385,-0.136282174302,0.138865847707,0.00473225111346,-0.00686136838911,-0.118348670768,-0.116402118304,0.0480300355997,0.000461139093377
PLK3,-0.276566031323,-0.0966560435789,-0.0702899872314,0.0681453373772,0.000385275375927,0.0829762105912,0.128044938934,0.0176717912167,0.0881266500146,-0.182226682781,-0.114766256712
IGF1R,0.0389506559416,-0.0143618194706,0.0673390553111,0.0647203243781,-0.0156033166085,-0.0789088796638,-0.00514903445262,-0.0450322695604,0.119769929588,-0.0334899753324,-0.0603343761434
IR,-0.18559038564,-0.0895413906863,-0.137516838139,0.0678429630502,-0.0696900741164,0.0480342370896,0.0164510058347,0.1469655036,0.0453180485765,-0.0478279613583,0.0561569072672
ITK,0.0400045664609,0.0270381501555,0.0121168282926,-0.0573730662018,0.0436521241212,0.0208507583575,-0.0106580896501,-0.0329181329243,-0.0862251185554,0.0177633217299,0.0346153265268
RSK2,-0.135504460874,-0.0274812917008,-0.0903549251551,-0.0217208251875,-0.0311162700766,0.0370576227964,0.0604072141011,0.128812666287,-0.000707754403886,-0.0298259612114,0.00608280413173
Dihydrofolate reductase (DHFR),-0.0358268666033,0.0685593553889,0.0802422498559,0.0774031163847,-0.166321995136,-0.0160380873,-0.0365909356587,0.109802673783,0.00735373757822,-0.068373856608,-0.0346604924302
MTOR,0.126043900452,-0.0611212966458,0.0805392071851,-0.440092455589,0.135405538632,0.142586535584,-0.0943442196339,-0.196942098734,0.187238765086,0.2334814887,-0.0615988168744
AKT1,0.388242396386,0.00887171725105,0.0680559291886,-0.406639685532,0.126976175287,-0.0629770006442,-0.00231904780326,-0.251405483002,-0.0213763266537,0.144894248114,-0.0227175451966
AKT2,0.214637702538,-0.0417899815337,0.0168430443714,-0.290862552657,0.118312430707,-0.0396413028756,0.0292201609083,-0.204016599398,0.00983546807753,0.167804755332,0.0106651943016
AKT3,-0.134726463511,-0.0705208259133,0.0109844692476,0.13941660847,-0.221641689979,0.0700302014561,-0.0284927372774,0.27829260251,0.0157011370776,0.0447162394865,0.126579972046
HDAC1,0.132536836428,-0.0823825993267,-0.0650286224092,-0.211135414411,0.17718444369,-0.192478611921,-0.115956790041,-0.258336558355,0.175940227105,0.0419232507274,0.0319172966419
HDAC3,0.0781962370591,-0.0185963762846,0.00871294620838,-0.0823386992983,0.0907125082351,-0.0357961889957,0.0531860624581,-0.078792006853,-0.141626503126,-0.0239296293996,-0.00893095283226
IKK,0.0897037861096,0.0490390693611,-0.00756321728784,-0.0661760089116,-0.0493075721556,-0.0341310008696,-0.0347173321343,0.018368916322,0.0420475558238,0.00272604854876,0.00213904332891
PI3Kbeta,0.0637341033823,-0.0855842178465,0.0856136265796,-0.314899284881,0.0508201418172,0.102876045326,-0.0338717565728,0.101212795903,0.079438145504,0.451117903135,0.0301949793756
ERK5,-0.163447808852,-0.00131859208427,-0.0237241133459,0.0309919523179,-0.071338777431,0.0396268109192,0.0354844688573,0.0655882251393,0.0563606676041,-0.0707511996309,-0.0192456751059
BET,-0.0887862444006,-0.0450160404656,-0.0257699644289,0.0664284574934,-0.0238112463581,0.0150857052694,0.0441704244208,0.0884868397519,-0.0304682970388,-0.0530527324055,-0.00220152050771
EIF2A,-0.00287515374574,-0.0208992973441,-0.0197850560256,-0.0171621166292,-0.00638108498786,0.0165410198507,0.00640071367684,0.0203183299042,-0.0330718450147,-0.0410748034038,0.00661646035513
ERBB2,0.955380386962,0.0792890056144,0.0845580944644,-0.502810704278,0.63232582089,-0.275114396605,-0.00640050231269,-0.833875529386,-0.345584733598,0.0963837799787,-0.0178841197865
ROCK1,-0.124398104498,0.0103780684223,-0.0643433452871,0.155939222402,0.0906777968398,0.00566404186724,0.0754988637655,-0.142451106184,-0.0539987087926,-0.00964135327022,-0.0262157237873
