,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,-0.00327688201726,0.0776558957975,0.0626791313294,-0.356288531044,0.174975493772,0.116260458243,0.0210058411074,-0.0534214017652,0.290107499789,-0.000920568130269,0.212254493609
MTORC1,0.0882518479869,0.186024936008,-0.00610798403242,-0.298437866886,0.0836039823756,-0.0165626501731,0.00790049391659,0.00668110705337,0.153275564179,0.0697493672382,-0.0321833502293
PDGFR,0.0251354048351,0.0603266036397,0.00704607117947,-0.00595806218729,-0.0797677153189,-0.0207590298771,0.00629029430442,0.0521792071004,0.00536819843442,-0.0272607930448,-0.000893961649903
KIT,-0.045764409015,-0.0522255644606,0.0366637812125,-0.0678143630212,0.104711870311,0.0165244153905,-0.0269074584725,-0.110091614178,0.114805814954,0.0539907887242,-0.0474395962281
VEGFR,-0.0352045746895,0.0610627295862,-0.203977747499,0.0334895590093,-0.0115530648524,0.114943334748,0.0327149806475,0.0126297277081,0.0418872103378,-0.0226456008409,-0.0340851615499
FLT3,-0.05556208843,0.0403453069277,-0.0231450703153,-0.0696287322365,0.0930588495782,0.0710905712613,-0.0655448366409,-0.0808021672225,0.135131377561,0.0468953587355,0.00803292188106
RET,0.00784277859023,-0.0191996954205,0.109929998982,0.125024648199,-0.175703467778,-0.0960284780609,0.0659357837374,0.120451614929,-0.0985918489352,-0.0246835039128,-0.016690910698
CSF1R,0.0128956998819,0.0115658521249,0.00431597605028,0.0700568160745,-0.156413624136,-0.0469513386523,0.0955110058157,0.117593978979,-0.0632813540036,-0.0442985859233,-0.0576068830035
MET,-0.0336825380136,-0.00465143119464,-0.0781459810053,-0.0084744162945,0.0989622941986,0.012818513073,0.0361383631126,-0.0752751133123,0.0768796441042,-0.0575135076798,0.00929484283072
Proteasome,0.215913159043,0.124629009465,0.186054425988,-0.0571063939937,-0.456916745793,-0.191320590171,0.0635905488944,0.397055170296,-0.174947654219,0.209268919339,-0.0789323329503
CAPN1,0.0682017894777,-0.108070742539,-0.0415537259188,-0.00862095280253,-0.0151140041147,-0.00950125527469,-0.00181672871063,0.0139465401748,0.0482080289796,-0.0413221518206,-0.0763536923606
Microtubule stabiliser,0.185462238871,0.00434109119479,0.269325099145,0.00405343884012,-0.362406717207,-0.289815491758,0.0106743816828,0.304855716043,-0.301680589518,0.350911434187,-0.132549631235
SMO,0.00572166243116,-0.0383257984006,-0.0302499349786,-0.00287344206998,-0.00546728495864,0.0573701446398,0.0146461351976,0.0107732318198,0.0767922722034,-0.100578633127,0.0330893724035
BRAF,0.107025339242,0.220447293979,-0.131264230763,0.217188716099,-0.0640030964891,-0.170874694543,0.0355254897369,0.256186747721,-0.11227608294,-0.199515024181,0.153895983661
RAF,0.0233566763938,0.065207765073,-0.0886111233194,0.00580309913214,0.0419628024464,-0.0241236780677,0.0498086876843,-0.00769228038922,-0.0327366852409,-0.0533797940692,-0.00680131613482
AURKA,-0.166339990417,-0.0380822313053,-0.0167311618423,0.0976420754774,0.0688342991506,0.104051165651,-0.0950971940568,-0.153962812505,0.102395345449,0.052561610638,-0.0774998087145
AURKB,0.0892831518318,0.0165732312818,-0.130904330083,-0.0849761035077,-0.00851084402339,0.0595053342385,-0.0347327947052,0.0451666327339,0.0248560294182,0.0807844103205,-0.0266355161249
AURKC,-0.0249861611093,-0.0284513261386,-0.0665807295245,0.0586068704213,-0.0430927154962,0.0502903557078,-0.0481044412502,0.0266354193247,0.0421327061143,0.0313510592961,-0.0593139946417
others,0.0136088677689,-0.0208617444054,-0.0191644622241,0.140009970329,-0.0691733293839,-0.0345420787958,-0.0389684340458,0.0747034490905,-0.0491915568564,-0.0263264569144,-0.0239338227447
ABL,0.118863813529,0.0633015312383,-0.154367035161,-0.10108611884,-0.0350972380352,0.150134412085,0.0426211291232,0.0719413784023,0.0734150461338,-0.149316727484,0.0743397385106
ALK,0.0156905113294,0.0742741904066,-0.016637833351,0.0318745044662,-0.0557469275014,-0.0855853103701,0.0689909281699,0.0434777796998,-0.010490312242,-0.102761738397,-0.0319219346103
ROS1,0.0722541629035,0.0241353311245,-0.108803474778,0.00377717700792,0.0952037872318,-0.031928640785,-0.00704380431804,-0.0202205882471,-0.023286240531,-0.0262661360018,-0.00100879840133
SRC,0.14866659394,0.0501740538156,0.211779390396,-0.214891624925,-0.21208080641,0.0257241622905,0.0655924809393,0.172309847515,-0.00700311035184,0.0334602047492,-0.0332056753945
KIF11,-0.00537616795579,-0.0830278064441,-0.0335690349582,0.142768177803,0.0198254723544,-0.16927141308,-0.0707942683508,-0.0208971541147,-0.174034820487,0.0566649907832,-0.00446127706153
gamma-secretase,0.147623600221,-0.0156075718903,0.165630888466,-0.114670135733,-0.168510332933,-0.0411069665356,-0.00547999368071,0.106352634088,-0.0708186203649,0.101974471501,0.0115160276484
Ephrins,0.180348447893,0.0135577385598,0.222699313743,-0.189519002618,-0.257197192622,-0.0668518149532,-0.0246596013986,0.235092063824,-0.0148271761097,0.152073606536,-0.0195347157088
BCR-ABL,-0.0305085936935,0.0274794402042,0.057780474898,-0.0278608618477,0.00769571357525,-0.0225962014242,0.0195155537102,0.00347914803701,0.0500055227046,0.0181141612603,-0.00498560375256
CDK1,-0.121028863296,0.0174079452619,0.0915215465164,0.0336711782851,-0.00222920768057,0.0900796624768,-0.0117042217902,-0.0213535831315,-0.00647552383148,0.0392371522714,0.0503383707412
CDK2,-0.0806633213865,0.09924884311,0.035793968064,-0.0230725836766,0.0216652321501,0.1817839964,0.0249996302729,0.0626244314006,0.0108189194924,0.098066364623,0.0206092636796
CDK5,0.00414927596711,0.0631349106981,0.0295133458168,-0.0113264415556,-0.149294503534,0.068529001789,-0.00673602747282,0.0964386081215,0.0326072066694,0.0683084192923,-0.0648300664185
CDK7,-0.215547848957,-0.090304291463,0.13951952719,0.137471197291,-0.188440642841,-0.00856396045402,-0.0617610478355,0.0260397197981,-0.131472389407,0.269845663336,-0.0521364129361
CDK9,-0.0344919379188,-0.142955206318,0.0240367122228,0.0719967740914,0.00641418117476,-0.130514022207,-0.0162894354049,-0.155190269568,-0.0674683824202,0.0620441258331,-0.162508892017
PKC,0.087428718187,0.00525802132652,-0.0107471813571,-0.174873594383,0.0437969585087,-0.117274230165,0.0464690167397,-0.0305612106066,0.0414135069851,0.065828862302,0.0213748671759
