,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,-0.0734518412628,-0.0665415641244,-0.314125471543,-0.0433115482242,0.00341755641963,0.0641303815755,-0.173854003373,0.167002630869,-0.0294703313091,-0.0534006576891,0.143835689928
MTORC1,-0.144783787007,-0.0200796539071,-0.0239874967239,0.0365511920116,-0.105655205912,0.132982881057,-0.0506065663335,0.116000254811,0.0227363718516,-0.0254518235921,-0.0416544950614
PDGFR,-0.0137756095715,0.0313025006695,-0.123646476294,0.0830374372624,0.0431175198874,0.0838292331282,-0.00959649731037,0.0378123077314,0.115314280976,-0.0891044869174,0.0826351906663
KIT,0.00178964515065,0.0323522539391,0.0876226221677,-0.00956249130387,-0.00542899365049,-0.036540773395,0.0441602347428,-0.048848661977,0.0338640428494,-0.0495587934014,-0.0556705657213
VEGFR,0.0169144662914,0.0597039194171,0.0206785999407,0.00409871972215,0.0698387029957,-0.0649946168646,-0.124840776987,0.0416916763768,-0.125102146828,0.0396911212226,-0.155480962172
FLT3,-0.080484460967,-0.100660630373,0.0194653274966,-0.0903929930744,-0.0735338883253,-0.00399871445754,-0.133376384336,0.0620144251571,-0.0169191139241,0.0311509259965,-0.102997395512
RET,-0.104863850844,-0.0341431717384,0.0399811699833,0.134683595795,-0.00411202784556,0.0584355873677,0.00341975292701,0.113767151496,0.0816143528326,-0.110640911512,0.0685841734347
CSF1R,0.0327584463598,0.0260254562097,0.0574519813682,0.0324362444849,0.0573980446018,-0.0264040165565,-0.0435718309136,-0.00130334905052,-0.0508306241212,0.00589016732649,-0.0231276542132
MET,0.034655921047,-0.0324548632303,-0.06953550679,-0.0777907834535,0.1381460152,-0.0933364451185,0.0458500109065,-0.0942152447202,-0.071432269377,0.0146985696898,0.0540072733844
Proteasome,-0.0709800060517,0.0171006788255,-0.0783970278264,-0.0354724934419,-0.0249364918227,0.0667735262186,-0.171358335636,-0.0058823260931,-0.0517352032315,0.0435509609107,-0.119288874807
CAPN1,0.0737739648041,-0.0861823398755,-0.013609861737,-0.0877638505809,0.0823516081032,-0.139571282288,-0.11422212206,-0.0579858871419,-0.0135593857816,-0.017009907421,-0.126302204318
Microtubule stabiliser,-0.00545644426443,-0.14148734906,-0.102689461044,0.114380404522,-0.0752444195955,0.0133494948131,-0.0578981803638,0.0173085203143,0.116124261004,-0.0967813766052,-0.137737527867
SMO,0.0414805879941,0.0174102936174,-0.0227356601576,-0.0669570349408,0.0511980608735,-0.0914296830952,-0.0714027874142,-0.0369385565042,-0.0896374153839,0.0479539665564,-0.0113737223416
BRAF,0.00518486351699,-0.0593295127578,0.0156102784792,-0.124224567714,0.00304475463103,-0.0524803087746,-0.10279556879,0.063736096351,0.00364794174134,-0.09487638901,-0.0419473074731
RAF,-0.00722740347925,-0.0766583185845,-0.102641986503,-0.107856809772,0.120834433785,-0.167170684945,-0.182670408682,-0.0689670633124,-0.0565316967665,0.0361328965573,-0.173033466407
AURKA,0.0558907410766,0.0032144732011,-0.00828073108789,0.0639803838795,-0.0333752883004,0.00779936090741,0.104426587745,-0.0295025183998,0.0763965669357,0.0237369174154,0.111920754013
AURKB,0.0627012712306,0.00792613724974,-0.0503903747271,0.0687714695144,0.0405317363262,0.02262242278,0.0499085090192,0.0684483965387,0.0953207047928,-0.134090045814,0.0333216615722
AURKC,-0.028171796975,-0.0532213136176,-0.0230225567336,-0.0474245689735,-0.00321348014538,-0.0452396227128,-0.0527142914943,-0.014277448733,-0.0757896381301,0.0352235532621,-0.0952062122329
others,0.0534486867477,-0.119317023011,0.00810812714162,0.0123382609848,0.00866376765172,-0.0843443633832,-0.0405037726445,0.0257242066638,0.0637819487375,-0.0914852691854,-0.0166121146967
ABL,-0.017707756907,-0.0578240283648,-0.138148017977,-0.000444094865007,0.0869967375265,-0.0361565062788,-0.198771916887,0.110676896523,-0.00788842031256,-0.0846754376489,-0.00755711147266
ALK,-0.0029186094634,0.100354671392,0.0445735402267,0.0131952574755,-0.0110306837285,0.0684339013759,0.041765748871,-0.0764570172287,0.0384023167158,0.01412127875,0.00457175454099
ROS1,-0.0536113988956,-0.0105731787244,-0.0434351266102,0.0610014031551,-0.0438712171435,0.0451184404547,0.076222236508,0.01859601277,0.100287616802,-0.0440028874377,0.109962171238
SRC,-0.040438755473,0.223276702775,0.0484430899663,0.207613386495,-0.222238394838,0.260054152807,0.157223853106,0.122897646296,0.0726837700537,0.00168422959589,0.212907882928
KIF11,-0.0258521850004,-0.0988817630779,-0.0673709841866,0.0745872340823,-0.0513966045172,-0.00370460941361,-0.0256578823357,0.101516315122,0.0933929263981,-0.0457256649907,0.0273318750976
gamma-secretase,0.0121731189662,-0.0352803980984,0.0202783285989,0.00546917581148,0.0441068568105,-0.00464502798522,-0.110464806836,0.0610214156223,-0.0117491114193,-0.0847030097839,-0.0565229966851
Ephrins,-0.0566542121034,-0.00576379782101,-0.0242330913072,0.0887134211758,-0.0678677946169,0.105626788327,-0.000799679391948,0.0619878090554,0.0637605032045,-0.0421150751641,0.0483876479252
BCR-ABL,-0.0188006336177,0.0388997093708,-0.0199064008714,-0.00811548536128,0.0158929218816,0.00341929296733,0.102507450276,-0.0575234471302,-0.0213268762628,0.0259529932864,0.113061239677
CDK1,-0.12111159714,-0.0116439060994,-0.0212383164586,0.146597322843,-0.05525663361,0.0561385091754,0.0991890081471,0.112237993734,0.102326068704,-0.0725394186402,0.0994607294064
CDK2,-0.0655786339852,-0.188511677365,-0.272703385286,0.117268728547,-0.0252719823945,-0.117122035193,-0.138218470975,0.110972714883,0.172027872522,-0.0899357671018,0.0913148778056
CDK5,-0.0100885565865,-0.00537536746535,0.00170673523919,0.159893288176,-0.138947347966,0.0710265324205,0.118179029062,0.0606598070863,0.125161578654,-0.0494687447908,0.167591952171
