,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,-0.0621077067141,-0.00837473617329,0.00170352701069,0.0165995864944,0.0870394559908,-0.00328313578114,0.0406579887976,-0.0806156452104,0.0156647396724,0.0551758350205,-0.0599211112036
MTORC1,0.0844329845094,0.0041954155063,0.0983292116152,-0.144638287717,0.0017002207188,-0.0822936349601,0.0655328896359,0.033142867622,0.095950882325,-0.192277518092,-0.0521049705813
PDGFR,-0.128271263064,0.0889056438395,0.0701738976743,0.150724353159,0.0416039519652,0.00603717523573,0.117390297487,-0.0946817233973,0.0339801312195,0.051246753223,0.0150739426991
KIT,0.188891588557,0.0079095448199,-0.0430519919088,-0.0505961406978,0.00572264072394,-0.0756550679703,-0.011232797563,-0.106875327846,-0.0445690597456,0.0329496108661,0.0227453719336
VEGFR,0.248532807457,0.0191682184505,-0.107550351855,-0.11723508118,-0.140687468995,-0.0432469770334,-0.136216314491,0.0417459344795,-0.0175899887698,0.0369430156088,-0.0222765876041
FLT3,0.174539554251,-0.0345866314247,-0.0261900687305,-0.211820103744,-0.437685377035,0.153142952164,-0.100284101447,0.238020981967,0.207620341688,0.00204711712143,0.0259049249049
RET,-0.073024799679,0.0328281409016,-0.0297370814187,-0.0238085429282,-0.0348531272577,0.0458733571329,-0.0532460874645,0.0239714068337,0.0731609264821,0.0589140587548,0.0368355012365
CSF1R,0.144705933497,-0.00507906213477,-0.0673786614233,-0.183265164394,-0.253402887594,0.136212429271,-0.0962377014552,0.123659074421,0.0488127638109,0.0159918040864,0.0382242088423
MET,-0.0322883395493,0.029958963811,0.00674721816597,0.037846934565,0.0161449378529,0.0193314078259,0.0979056658613,-0.103593280845,0.021350480669,0.0706301590562,-0.0163100904147
Proteasome,-0.0403470335747,0.0706356240694,0.185155677114,0.0294740267773,0.23566190259,-0.00480997046137,0.0594250498845,-0.176435080989,0.0458042055364,0.048452754757,-0.0666795003296
CAPN1,-0.0454437500728,0.0385478120595,0.0281495744692,0.00469363462226,0.118328785359,-0.000309710300173,-0.00614000866442,-0.0761613257436,-0.0135307443033,0.0375405362194,-0.0166714047332
Microtubule stabiliser,-0.0737936985308,0.0448879390232,0.0489016365769,0.0325161180024,-0.134385195085,0.00394589465139,-0.00830416110903,0.116886492399,0.0679804981927,0.0838588438518,-0.025673801935
SMO,-0.0278966993788,0.0107852956348,-0.023809023041,-0.0097050314527,0.0910403724436,-0.0196189539308,0.0356035132358,-0.0742321844412,0.0222013913912,0.0365154800912,-0.0001376051949
BRAF,0.0625613033549,0.0976056110114,0.00950045737897,0.135442522786,0.0328542113221,-0.0457350650497,-0.00163053206994,-0.18140089713,-0.0768280151665,0.104319413545,0.0250813715386
