,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.210894063966,0.117361204467,-0.0705072575642,-0.239809641322,0.262818324897,-0.0918744342916,0.455197106368,-0.259554409702,-0.100458019282,0.0915803477969,0.265678283186
MTORC1,-0.164497329559,0.397947763461,-0.0523154045803,-0.113878795251,0.00177083110123,-0.125853004206,0.222164314703,0.0580361981696,-0.21489266549,0.0586431707638,-0.0560976004365
PDGFR,0.0591928755912,-0.044234848846,-0.051008181173,-0.0745369563762,0.155912215026,-0.0250680439454,0.0324197779851,-0.0689305108402,-0.0454096519438,-0.0636074320419,-0.0966348237926
KIT,0.00298931813567,-0.0265139796925,0.0341936086899,-0.126604289387,0.0568415673822,-0.138018636601,0.171661250774,0.0927058922759,-0.0330757541586,-0.0755090201154,-0.00954911605039
VEGFR,0.0550805419369,-0.0610694129176,0.0304664026347,-0.0102048264964,0.103798807351,-0.0142914240843,0.0197686202623,-0.0775446446971,-0.00695668302271,-0.101590197057,-0.119209453448
FLT3,0.0225504593842,-0.142923555466,0.14769395528,-0.00859656100228,0.117221638295,0.00974563944728,0.0186602144908,-0.00760446404083,0.146932199859,-0.167874866627,0.0719823822023
RET,0.0672902533209,-0.0847495985799,0.141156527377,-0.0835433022235,-0.00157354216585,0.00523710935941,0.136462072334,0.0357222034552,0.0270869011133,-0.035428599154,0.0417211177855
CSF1R,0.101918283412,-0.0556695531676,-0.000445526860379,0.150126653162,-0.0250210577468,-0.0651272114375,-0.0579126026285,0.00811593746802,0.0639266690331,-0.130949796046,-0.0474368071704
MET,-0.0101625634216,-0.0412823787178,0.100887450531,0.0383154257561,-0.0666454131078,0.00619950753788,-0.0165314602676,0.03774469966,0.00341842499379,-0.0147929373486,-0.0764270962572
Proteasome,0.0238759317831,-0.120566036281,0.0256700951241,0.0259803321736,-0.036542719386,-0.0855566263441,0.0181599217243,0.0695223075788,0.013401553966,-0.0646690462221,-0.0320841011556
CAPN1,-0.0497322238558,-0.00442818786561,-0.029416367829,0.067301896376,-0.0231398298248,-0.0243912274644,-0.0571577015073,0.0225520686775,0.0124124517051,-0.0449594856342,-0.0451021696291
Microtubule stabiliser,-0.126728333963,0.158525601893,-0.352413851508,0.209287069326,-0.0627986994568,0.224545531359,-0.465606926556,-0.073731605647,-0.0656818076784,0.268642101692,-0.0684287311205
SMO,0.0491178077451,-0.252741587464,0.150941141192,-0.143314773298,0.101159626467,-0.0566054091262,0.105227607362,0.0636303993399,0.112803964895,-0.179160649595,0.0304362287605
BRAF,0.0375917168678,-0.215809400937,-0.13605898655,0.162482836063,0.149471896031,-0.142378907291,-0.127023400679,0.0694407964675,0.166798221052,-0.263641968444,-0.244476334452
RAF,0.0207002078807,0.028124535851,-0.017209274281,0.0514728961916,-0.0229552240204,0.0339981338128,-0.0621893915204,-0.0365606066618,-0.025176828312,-0.00254667500106,-0.0102291253425
AURKA,-0.328398386203,0.236984419486,-0.0119857149087,0.0427183041678,-0.234532093783,0.247318796421,-0.0823432027165,-0.0728854195236,-0.234469632289,0.343012303607,-0.0724390372144
