,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.0184068528744,0.0232516421063,-9.49343183513e-05,-0.0116023788708,-0.0167226882682,-0.037109812232,0.0432179143612,0.0456675690421,0.00521209031096,0.0132126714305,-0.0370196510944
MTORC1,0.00734214686966,-0.157635115029,-0.0111498718604,0.042261937731,0.136899648018,-0.0655138782108,0.00861187529589,-0.141531977166,-0.109861238631,-0.0736977973169,-0.0665662867984
PDGFR,-0.0519058252759,-0.00340553402553,-0.0463156291231,0.0990092570097,0.0610715308494,0.00851165960094,-0.0322528228081,-0.0651333892604,-0.0199486656599,0.0277221699842,0.0596182431572
KIT,-0.00541572191968,0.0188252826127,-0.062057556454,-0.0553658907511,-0.0213723725491,-0.0506842889172,0.0198506311532,0.164230101911,0.0167916925956,0.0563163497737,0.0249895309829
VEGFR,0.0328132074365,-0.062436786497,0.0527360041915,-0.00260183313189,0.0647072730347,-0.0411835471193,-0.00763134783022,-0.135164228232,0.0115163839354,-0.0700144836045,-0.0642195333422
FLT3,0.14851128078,-0.00876596462911,-0.017580519523,-0.14231506188,-0.0992161276587,-0.0650758570084,0.0390758979605,0.0368418556045,-0.0214084548286,-0.0382767759222,-0.00518761503372
RET,0.077893452909,0.0245860169366,-0.0533188306312,-0.0611436603737,-0.052845362879,0.00265499787977,-0.00409698115267,0.0666531470353,-0.0311487610224,0.0100116748385,0.00534185460694
CSF1R,-0.148988803022,0.0438859747791,-0.0203676646023,0.100821487907,0.0472277313576,0.0101253984092,-0.00962101895508,0.0742184629186,-0.0249771191302,-0.00368439572437,0.0332811872542
MET,-0.0611722702891,0.0398749229708,0.0201741049155,0.0672078795098,-0.042744178729,-0.0273486079192,-0.0260778773621,0.0664960342845,0.000670324357083,0.0447978498099,0.0287538914051
Proteasome,-0.0957159062438,-0.0390766085632,-0.351968643726,0.144176745144,0.192569955089,0.0330885396314,-0.0578828211712,-0.149181771134,0.0718739505592,0.0489008012507,0.0258058618849
CAPN1,-0.020045392202,0.102200188342,0.0740653948178,-0.0387933279235,0.00159778038567,0.101384507519,-0.0166583939653,0.00171940784653,-0.0388706396714,0.119038605178,-0.00952015214228
Microtubule stabiliser,-0.0462262339682,-0.0892013300308,-0.225935855979,0.185671698214,0.102321533293,-0.0378674486406,-0.0576595243103,-0.204271150647,0.0406619580157,-0.135959414126,0.0699834857262
SMO,0.0172661976143,0.0606229143261,-0.0662159281529,-0.0441538610692,-0.0453718587235,0.00680792657728,0.00845095774391,0.0678945256957,-0.00587349726315,0.030591754561,0.0524139514059
BRAF,0.0950928706062,0.0590535719973,0.124307893988,-0.075728487141,-0.0596228476394,-0.0523089506007,-0.0595478911512,0.0325051516372,0.0226956845167,0.0734062775014,-0.125242797631
RAF,-0.02255370307,0.0601058808403,-0.0115064555875,0.0793204477233,0.0132517847859,-0.0305174997243,-0.0904434176928,-0.0157012190262,-0.00345557605034,0.119089852516,0.0333653553808
AURKA,0.184755568342,0.0750772129932,0.217434691924,-0.163034110894,0.127583576635,0.235291528345,0.0498044892191,-0.210292749311,-0.0725682571377,-0.0191372396754,-0.168427885764
AURKB,0.0645484743814,-0.0682685794044,-0.00641019797231,0.00120410720054,0.031995900726,-0.0632544640576,-0.0587037686847,-0.17280087981,0.0852491036777,-0.0418515944397,-0.0311877599947
AURKC,0.0172253688277,0.0120951939018,-0.09998578874,-0.00528679936721,0.200676226295,0.16808640731,0.0485780630351,-0.0990279294032,-0.0524575177778,-0.066564406059,-0.083268585057
others,-0.0822273963841,-0.0282285652162,-0.00300645864131,0.0415074009728,0.0700730052899,0.0780505583403,-0.0431980656824,-0.0175353054488,-0.0296943742734,0.0336114669937,-0.00320461743564
ABL,0.155159099992,0.0566744280328,0.0290989249828,-0.134794927186,0.0904673952984,-0.0496064099744,-0.0391801230618,-0.202502278507,0.0463232882196,0.0036778649746,-0.0419736549327
ALK,0.016063400525,0.0139457355193,0.0479777484986,-0.125763890977,-0.118701779628,0.0477697124543,0.0386291976552,0.113405524143,-0.0151033987439,-0.0301606185009,-0.0246499212619
ROS1,0.0267567797556,0.016246809467,-0.0461644894387,0.0144985617606,0.0749614583171,-0.0122373725693,-0.0382852728078,-0.0835652233203,0.0374667136591,0.00682489226908,-0.0183116249121
SRC,-0.143292273965,0.0473283331755,-0.0438674400996,0.109381111405,-0.0198660118015,0.0234897919142,-0.0172503622838,0.150368715753,0.0165305121067,0.0435106245985,-0.00758077778271
KIF11,-0.0602977866349,-0.0138263717396,-0.216983064994,0.137579905896,0.00416451469728,-0.0554073450552,-0.056756269507,-0.0708408489032,-0.0147056904555,0.00301084915496,0.0924054774217
gamma-secretase,-0.115542404151,0.0581016400571,-0.166247479889,0.111188836268,0.128380799042,0.0758605806653,0.0170280037179,-0.0916993074309,0.0571837006478,0.0754156431105,0.0511427801879
Ephrins,-0.0998533709142,-0.033903794945,-0.121538904197,0.0483383281432,0.0862230263069,-0.00882418097747,0.0327132276873,-0.00555014015354,-0.0270886673838,-0.0710055317727,0.0513175373142
BCR-ABL,-0.0225222206497,0.0194573626746,-0.10065354755,-0.00466418965047,0.0458641097742,0.0022630482789,-0.00819206733445,0.00319021495898,0.0377139048451,-0.0108522284617,0.0456746589313
CDK1,0.0864988838896,-0.0146646412186,0.0703289992818,-0.104998298635,0.00461023979849,-0.0190383606583,-0.00409877241119,-0.0180336786647,0.0363680615206,0.0333009741647,-0.115251742702
CDK2,0.0137159056998,0.0726694609878,0.0198589632169,-0.232308707424,0.179447665432,0.255602298833,0.0472647287776,-0.143338093469,-0.00818503187793,-0.00556841135366,-0.159939866444
CDK5,-0.0579056413943,0.0258951855681,-0.0713209458808,0.039818820669,0.0486514189775,0.101807620991,-0.04226996281,0.0161153626777,-0.0573746799051,0.10852357678,0.00756685470267
CDK7,0.0244860295283,-0.043335366611,-0.0140920535336,0.117291207356,0.0717015382099,-0.085260080442,-0.0737457101351,-0.215282362219,-0.00543266536065,0.00517963979602,0.0436626414589
CDK9,-0.2256647277,0.00678623207607,-0.0650141763103,0.241318064033,-0.0239329723981,-0.0669703063964,0.0122483245689,0.177574652351,-0.160504751324,0.0621250047687,0.118952177524
PKC,-0.134578293688,-0.0773190835552,-0.151790707648,0.180726442141,0.0867992686527,-0.15663183706,-0.000913837985526,0.0196878282919,0.0714759441843,-0.0509546168686,0.0887508845508
CDK4,0.170417580398,0.0168189299979,0.0534068168925,-0.181221472522,-0.0289828315049,-0.0347072234507,-0.0165244971223,0.0298911331085,-0.0321033137655,0.0552401357767,-0.11659209947
LCK,-0.125926050826,0.0680203104771,-0.0353473478637,0.147256731422,0.0212535799637,0.0369889523754,-0.0707902375127,-0.0456419159592,-0.123499730717,0.123484903399,0.0239183840234
FYN,-0.182499179602,0.0325300371425,-0.0793447170718,0.160030431402,-0.0703825318825,-0.0486971867744,-0.0281540497746,0.149464426764,-0.00270593612341,0.0322328702841,0.126592402574
BMX,0.0715144087994,0.0565353883753,0.166247261287,-0.13144544888,0.0310900853848,0.124926857902,0.0531436170985,-0.140286966664,0.0369185400098,0.0441630361664,-0.0799434387491
PLK1,-0.221580917347,-0.113992458292,-0.349505589025,0.216390895393,0.145877959499,-0.0418009946549,0.0188192573647,-0.156260973808,-0.0413973137718,-0.0897914402036,0.167215829385
PLK2,-0.0870469259313,0.036380472806,-0.0327045565126,0.00517297231357,0.00566890767125,0.0758892452735,0.00401760614047,0.00416887003876,0.0183858181945,0.0328688267932,-0.000742868414663
PLK3,0.214513914827,-0.0190783820486,0.113645544084,-0.107995126904,-0.0815462666515,-0.00542082307973,-0.0679086451189,-0.20154539506,-0.00937189538351,-0.0178188478845,-0.0317025188178
IGF1R,-0.0644930138621,0.0123298223268,-0.0769507079524,-0.0303602936136,-0.126244740329,0.104849185588,0.0408207122467,0.355259169173,-0.046037980478,-0.053040838161,0.110454766462
IR,-0.0320962287003,-0.0197170062418,-0.05487503885,0.0507522070857,-0.0359625186415,-0.0142272791054,-0.027198121952,0.0505335225157,0.0581159149933,-0.0128371220483,0.00944158866676
ITK,-0.104529968068,0.0327258532118,-0.00639630815183,0.0367350773327,-0.0484538658108,0.0428926892959,-0.00668483352918,0.0749233738781,-0.00748742149019,0.0492972244616,0.0392101176843
RSK2,-0.175698055927,0.0697633368833,-0.155823767869,0.122837122398,0.110750698993,0.0620815086404,0.0388612602924,0.0184405679486,0.0232783749687,0.105624694348,0.0383485924628
Dihydrofolate reductase (DHFR),0.15535099953,0.00945234952963,0.0210001647404,-0.154189617941,-0.0190073582265,-0.0219132506615,0.0194923785352,0.152955378586,-0.127531149371,-0.0293613334465,-0.151280367466
MTOR,0.10060873197,-0.168019962982,-0.0680296699589,-0.0502267484405,0.0357586513501,-0.0745957444087,0.00574822817246,-0.0693552065463,0.00470519765739,-0.0837637511014,-0.0907801039833
AKT1,-0.0203132316643,-0.0254554838224,-0.0653137388592,-0.0157796517617,-0.175409201107,-0.011595416593,0.0536178737844,0.239038413293,0.0108678200736,0.0415855735755,0.00855480310965
AKT2,0.0393240156579,-0.00532569838517,-0.0477908510862,-0.0608501944914,-0.0628779211332,0.0482900134408,0.0236384770227,0.0537109584854,0.00760252215911,0.034847699908,-0.025624106504
AKT3,0.0235614606029,0.0681509966661,0.0645818683614,-0.0732931083447,0.0684643892113,0.0680242202049,-0.00830087413243,-0.213207760356,0.0392440065926,-0.0401880480616,0.0275566783878
HDAC1,-0.0322234914496,0.0643721474075,0.0277473716701,-0.0297723242747,0.0262467212487,0.173462239988,-0.0442109615256,-0.152535847967,0.0914799680297,-5.43720987916e-05,0.164774163124
HDAC3,0.132772346824,0.056863434631,-0.0140725210517,-0.248104289026,0.0615180977891,0.145617077336,0.0284558058217,-0.0293879236821,-0.0396308762074,-0.0173701101928,-0.20254917779
IKK,0.0195148872601,0.0319528714097,-0.00337845131976,-0.0524161260362,-0.0271689714164,0.0189733562383,0.0175879972576,0.0141863641805,0.0541608228564,-0.0129988417002,-0.0279132911761
PI3Kbeta,-0.0768398385068,0.00741069549389,0.0264548063078,0.0337191927856,-0.115658013285,-0.081801308938,0.0494647388601,0.141350579516,0.00513764969806,-0.0623761998768,0.061689121678
ERK5,0.00270073909177,0.0093059710766,0.0180945435793,0.0486166871414,0.000348628084038,-0.0700849676061,-0.0149410572148,0.0315675301904,-0.0665899414899,0.00593312212287,-0.0153426103277
BET,-0.025190319487,0.0160423426966,-0.0121428344771,0.0019819509284,0.040682109586,0.0227829135096,0.0222966334643,0.0251480139046,-0.0357808029613,-0.0681624418616,0.00436792680661
EIF2A,-0.00825033133185,0.0456028965195,-0.0136540602869,0.0641412215658,0.0243170699794,-0.0626473709675,-0.0937484531723,-0.079981718159,-0.0427339118184,0.108626512563,0.0530296251362
ERBB2,0.0256803095587,0.00710093259511,0.0147956762807,-0.0631016832864,-0.0590716222754,-0.0349957890487,0.00492496280445,-0.0299683070659,0.0215396477281,-0.0136525331428,0.0906170007281
ROCK1,0.0733433017731,0.1221005595,0.0517439226357,-0.0256709767592,0.0170764551044,0.0986102939008,-0.0765758484063,-0.0598037398924,0.00898783898485,0.0747510786445,-0.042539055572
ROCK2,0.0788709440543,0.0613108310214,0.0858060830883,-0.0815254638881,-0.0544487279363,0.0908012224673,-0.0238601803839,-0.0502854944117,0.0154026193744,0.0454241190948,-0.0583403523639
Anthracycline,-0.0876804263248,-0.133527931265,-0.00445580959293,-0.017129036178,0.106538220946,0.0272937435226,0.0899301828094,-0.0192823003098,0.0205477449396,-0.215992303252,-0.028133087611
TOP2,-0.0614301026117,-0.153692055774,0.137011827398,-0.139904596501,0.0149620716005,0.00800364231907,0.169498468476,0.0465716064496,-0.0856099961584,-0.254286655974,-0.0733271175178
Pyrimidine antimetabolite,0.000269880367881,-0.144004230135,-0.0629622708703,-0.0167968010321,0.264118331043,-0.0366973652806,0.10489423394,-0.200002131712,-0.0600562478853,-0.343083044631,-0.026472116342
DNA crosslinker,0.0753546204658,-0.0737742379483,0.114369824221,-0.215615391002,0.00929639381295,-0.0368026329451,0.0980425654674,-0.029066385894,0.0310273511991,-0.247645327667,-0.143531960978
Microtubule destabiliser,0.0749244153286,-0.194435817032,-0.173465445577,0.0684892717466,0.184149808638,-0.0186621708025,-0.0298573193123,-0.291220984461,0.0492515411914,-0.109940190229,-0.0392219603949
SHP-1 (PTPN6),0.0118395838826,0.026570323547,0.0683817806283,-0.0372091911663,0.00801405547121,0.015746028979,0.00323371108689,-0.0624819614632,0.00347770584574,0.0311521431109,-0.00378590015786
SHP-2 (PTPN11),0.0166318461189,0.0284954750011,0.00799961257291,-0.04383674975,-0.0389925047814,0.00576983177314,0.000929995073588,0.0689739053326,0.00634793257508,0.0216951689938,0.00753008605813
AR,-0.000745198579924,0.029399645378,-0.0396415988922,-0.0463449213592,-0.0206200081873,-0.0197967694409,-0.0216925696719,0.0551687275698,0.00583497136112,0.025172767132,0.0231466798809
ARFGAP1,-0.0480930630184,0.0493403390836,0.00557589983799,-0.0513354703702,-0.00837816356524,0.110112649676,0.0457274601093,0.0260676609632,-0.0277409256252,-0.000422601108684,0.023698674955
ATM,0.0148598870743,0.0160361304668,0.0778448491335,-0.0293876940817,0.0331235871463,0.0221461274655,0.00101831989835,-0.0709225176424,-0.0214885540036,0.039222713357,-0.0497919463018
PPK,-0.0377507451553,0.0202919578421,0.0200422741858,0.0708447187665,0.0050501276001,0.0314023098999,-0.0118701515796,-0.00138252706469,-0.033201294667,0.0176934147126,0.040660008597
FLT1,-0.0197568300997,0.0287195933561,0.0679356914661,0.0567556962784,-0.0141613265422,0.0271379250235,-0.0411156488138,-0.0688306759706,0.00922275816663,0.0481934166915,-0.00839268682942
c-FGR,-0.0464510047947,-0.00527382378083,0.0395044588534,0.0214423582272,0.0124130580722,0.0287359274008,0.049868154066,0.0456487841389,-0.0286142776704,-0.0370150984087,0.00459526513765
GSK3A,-0.0561523606759,-0.0227901311865,-0.00540860807063,0.0741427570847,-0.0291910413411,-0.0725039247364,0.0264479129621,0.0622515938029,0.00400497988713,0.000322656100758,0.0148354385191
GSK3B,0.0223296655123,0.0329918458122,-0.0427206009538,-0.0112204108445,-0.00593692855579,-0.0165327677483,-0.0218504398238,0.0152751684725,0.0363372900574,0.0177913245267,-0.00273947569079
PDGFRA,0.0732933577736,-0.0674034149495,-0.143186998281,0.0138605217747,0.0549519020685,-0.127890748298,-0.0645618680584,0.00169825851524,0.0141089032465,0.00415086374917,0.0339785014058
VEGFR2,-0.0108600205951,0.0044141285151,0.0439784636452,-0.00501325364129,-0.00318269264676,0.0308019519874,-0.00208222078465,0.0575957688024,-0.0271089827936,0.0098941525026,-0.0144659967322
FGFR1,0.0100232553173,-0.0123159872346,0.0650712548302,0.0059013849367,0.0569127935512,0.0327032342987,-0.0230155361592,-0.107485556979,0.0386904617455,0.00792391273059,-0.0338745983615
