,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,-0.0285799232076,-0.00843160505496,-0.0369121131861,0.00446627093438,0.0433840655039,0.000407627579131,-0.000698287128576,-0.00121494136215,0.0103533418086,0.0818372500187,-0.0432258696453
MTORC1,0.039368944124,-0.0209606032139,-0.0558758515501,-0.264147447643,0.180661323289,0.126675019164,0.15038753837,-0.0814261473444,0.0912550368664,-0.0284147152636,-0.114346514263
PDGFR,0.0970785699055,-0.0348762157776,-0.0135924111969,-0.0211583216222,-0.0222592146719,0.0160890436899,-0.0107146808078,0.0154303875995,0.0109010606348,-0.0262946455159,-0.0592188788345
KIT,-0.0099127100155,-0.00663004367193,-0.0599090247285,-0.00264012758437,0.031763966402,0.0108084108894,-0.025915342171,0.02253603693,0.0207238097017,-0.00951092084742,0.0212205594598
VEGFR,-0.0442604086421,0.00726113787033,0.0173124031586,0.0324124322003,-0.1194377169,-0.0111775405603,0.0448135015216,0.0569796881843,-0.0666017993236,0.034755019426,-0.0515141352062
FLT3,-0.0114583533384,0.0194073875829,-0.0432713796897,-0.00200013363342,0.0044081041691,0.0128011404523,0.00232177876705,0.00594520299517,0.0197037438728,0.0461977100115,-0.0298476972028
RET,0.0515156849303,0.0133182672005,-0.00117606915016,-0.0645647274743,0.085545618969,-0.0204709525221,-0.00253854989727,-0.0614308488377,0.00388922607587,0.0596222938361,-0.0335089331741
CSF1R,0.0422422648389,0.0350899893807,-0.00517663043895,-0.00722996167592,-0.00623818048728,-0.0266171426275,-0.0619683651672,0.0365794221485,-0.00103313793145,0.0196280470356,-0.00822098195323
MET,0.0150005086539,-0.0859228950414,-0.0482568283375,-0.033135827955,0.00172700349464,-0.0392199830219,-0.00480839782374,0.102253986382,-0.00217473735797,-0.0171788378236,-0.0592597204047
Proteasome,0.188786821615,-0.179512448475,0.00244589309967,0.0331829636404,-0.0884968323342,0.160382928095,-0.0293452585463,0.174064605741,-0.044512243511,-0.108473791119,0.0101596250506
CAPN1,0.0393314056506,-0.0113175543588,-0.0841057478846,-0.0493296993549,0.0291453315648,0.0311397417525,-0.0209004719594,-0.014417822096,-0.0162825744129,0.00184738923799,0.0162315022337
Microtubule stabiliser,0.0097251275229,-0.0614103094982,-0.0216067456408,0.0936831282087,-0.154072690963,0.0279695294643,0.0349616103159,0.20098347924,0.111326129265,0.0518144299501,-0.158221637
