,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.255823019226,0.0706719936675,-0.111124420653,-0.125121664309,0.066822468593,-0.18766447823,-0.00934242824908,0.138910544412,-0.187837603332,-0.13222604329,0.223342171876
MTORC1,-0.0834350351949,-0.0107266177591,-0.0299915098466,0.110353443618,0.074801572826,0.0483943466868,0.0540826282723,-0.12193947162,0.112640838626,-0.0518985147258,0.0215807517201
PDGFR,-0.147197120366,-8.53575731621e-05,0.0361249614457,0.0525556162068,-0.0312057027816,0.0600089553766,0.0159138356182,0.0309309321115,-0.0334754244267,0.0200925246231,0.0108352013129
KIT,-0.0767181552936,-0.0318372483671,-0.0974715816246,0.0892606749223,-0.0344547656387,-0.0528684093771,0.00842061334141,-0.015063534882,0.0980756007246,0.0352167039486,0.00180388244284
VEGFR,-0.00844084053341,0.00286803477913,0.0320110227805,-0.0498264454164,-0.00723306817338,0.0549765998979,-0.00348832407929,0.106636758454,-0.103151628098,0.0311820453592,0.023060175047
FLT3,0.0108524889703,-0.0995297677521,0.0611367625538,0.032851813134,-0.0982719194854,0.0223006386646,-0.0220059336054,0.0790500887886,0.0701168352293,-0.062560215734,-0.0616077021857
RET,0.0643710263742,-0.0187840494519,-0.00801232432938,-0.0599360800892,-0.0213201707586,0.048682887827,-0.00518511317827,0.114835241278,-0.0789338711799,-0.010528101397,-0.0990261575262
CSF1R,0.0358715527903,-0.0437809585309,0.0166241379576,-0.118951714974,0.0297718428992,0.0464050544751,-0.016666967276,-0.0143509429406,-0.0202677173339,-0.0216530230044,-0.113523548636
MET,-0.0130487576044,-0.00495162618288,0.100588200355,0.0422609282698,-0.0820096181323,-0.0839325260901,-0.0117484386374,0.0707579206911,-0.0219232870396,0.0117487388669,0.0398164639408
Proteasome,0.130889567529,-0.0897994230548,-0.111447067712,-0.117267677477,0.107150831229,0.200790000412,0.0015054990229,0.0728768921073,-0.0971691233521,-0.0800242713174,-0.138431358438
CAPN1,0.000453011089576,-0.0138616636223,-0.00310020714256,-0.0185970235838,-0.0439788189947,-0.046285557028,-0.0187812820448,0.0961103863475,0.000220376494928,-0.0123997729195,0.0273858940719
Microtubule stabiliser,0.0331824218926,0.00283072643883,-0.0342858962321,0.0401326864425,0.147849286502,0.156636049381,0.104526843648,-0.257578105023,0.129521980702,-0.0799522600382,-0.046450771273
SMO,-0.0227922944511,0.00848536108784,0.0103191504659,0.0126442682283,0.0332291889633,-0.0146861677841,-0.013626737238,-0.0158755331619,0.00976251988561,0.0123076647155,-0.0265175994228
BRAF,-0.00180221630893,0.0669062294981,-0.160714989909,0.187956723444,0.172221936848,0.0216142094845,-0.0905087157002,-0.0332907002357,0.018542216186,0.0542225007268,0.0183417588864
RAF,-0.0114282167485,-0.0316481817144,0.00717266190548,-0.0261404600319,0.0371509666086,0.0398611876591,-0.000814902947365,-0.025642239626,-0.000718068618228,-0.0258836959976,-0.0287801572485
AURKA,-0.193181947247,0.0814131361989,0.0605994802531,0.141982393037,0.0362903248072,-0.0757266599262,0.0892923694954,-0.184715081556,0.111359249794,-0.0363741580726,0.0538182325381
AURKB,-0.0540808263306,0.0463976829261,-0.173361487743,0.00784231238289,0.157345689518,0.131576730984,-0.0121883923167,-0.0544889258073,0.039812065513,0.0171666603841,-0.0880844159398
AURKC,-0.0790343744731,0.0174067704718,0.126786369574,0.0687260752235,-0.0086365039413,0.0242239392024,0.0802694773337,-0.0749102926031,0.0248432089897,-0.0145395544741,0.104761129391
others,-0.0227393125148,-0.0331151648272,0.0579951179418,-0.0222106544731,-0.0345385760254,-0.0235019930035,0.0122567237259,-0.0736719089391,0.0749468711122,-0.0333228933123,-0.04279564847
ABL,-0.0455039711497,0.0362266527792,-0.0962806270846,0.0339491986915,0.0707947836469,0.066850897194,-0.0117160850959,0.000539517322346,-0.0107350346956,0.029867397232,0.0619660242332
ALK,0.00519486281618,-0.0343964193212,0.0654559638722,-0.0306345666196,0.0193421968049,0.0475596643479,0.10260272574,-0.0385725592813,-0.0107134862887,-0.0307650709175,-0.0569625959885
ROS1,-0.00878104721479,-0.0152069869649,-0.0183709522858,-0.0210799252281,0.0346317641529,0.0230815641512,-0.0338537871993,-0.0167919895169,0.00435030599115,-0.0248556755668,-0.0467123129944
SRC,-0.0133586018608,0.0480109725815,0.0516550387624,-0.0385905520594,0.00981512251697,-0.00855179200593,0.00707420359424,-0.107251597459,0.01487804653,-0.0793959477922,-0.019150189328
KIF11,-0.00113780664154,0.014270782717,-0.00250452315771,0.0302437565101,-0.00483295323792,0.00779843017881,-0.00821810787213,-0.0302263387311,0.00138318496175,0.0212577403571,0.00192015790243
gamma-secretase,0.00263627611112,-0.0138556146266,-0.035717501801,-0.0175400756062,0.0655881954518,0.047529642779,0.0246049820989,-0.0236849187299,-0.0100693812004,-0.0179181454334,-0.030516096816
Ephrins,0.0095834518052,-0.0152053794583,0.0645716661922,-0.0376897094292,0.0334853484682,0.092607283397,0.072170545323,-0.103114678787,0.000476143338663,-0.0718273328301,-0.0391990762361
BCR-ABL,0.0438382862082,-0.00663647294591,0.0235019675554,-0.0112724100663,0.00434046243574,-0.00934992855819,0.018203509069,0.00175270219073,-0.0449859372692,-0.0312662895265,0.0128024428244
CDK1,0.0322506952092,-0.0591942894265,0.0115549397769,-0.0260752771299,-0.0119798480651,0.019522281125,0.0341643039255,0.0368492917448,-0.0402068924962,-0.0409826583268,-0.0707842836932
CDK2,0.030444520294,0.0154632081312,0.168798239309,0.180944400992,0.0411668003654,-0.251773241159,0.117603109339,-0.42680076626,0.144592710243,-0.12527341773,0.0968861319548
CDK5,-0.0720242907341,0.0144231537041,0.013380832462,0.0555149291059,0.0166917170156,-0.0149375252339,-0.0429283346938,-0.197878041016,0.131100764431,0.0209116143262,0.0354477778453
