,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.157913541376,-0.0802742627859,0.172595373912,-0.0894889654581,-0.126932964871,-0.0520208746821,-0.000683960182363,0.147181423,-0.0414826154699,-0.0215941463073,0.0456901599496
MTORC1,-0.0824888185713,-0.0280452804899,0.098089510503,0.155316252716,-0.0331370423296,-0.0403812066163,0.00839759386441,-0.0192058929188,0.00125020729944,0.0772307490938,0.0346377481043
PDGFR,0.0685821184711,-0.0590282362804,-0.0635077502784,-0.0572921999677,0.00743725723983,0.00345758593725,0.0307072865495,-0.0539967160843,0.0608116715577,-0.036384123488,-0.0196410790331
KIT,-0.156883120634,-0.0419849813252,-0.0374165001763,0.156890394992,-0.00709606388133,0.0615587707692,0.00601738824231,-0.0482015561201,-0.0066624351565,-0.0186771986093,0.021949729821
VEGFR,0.116861077511,-0.0456313052614,-0.0371882196113,-0.0415200542578,-0.00155395143603,-0.0289758374456,0.00834278307365,0.0115899685044,-0.0362283607736,-0.076836508719,0.0236531189678
FLT3,-0.0629914594499,0.0416852207288,0.0256798226183,0.0778168437463,-0.0434641894729,0.0109944026417,-0.0202573263292,0.00102959565338,-0.0290224645138,-0.0601606194351,-0.00324871536822
RET,0.121342313115,0.0396551944462,0.0287923055271,-0.0794154434707,0.0393308056763,-0.118476874019,0.00460755615557,-0.0165083383846,-0.0736471387059,-0.00364121787004,0.0503988739244
CSF1R,-0.0327097268472,0.0452725281009,0.0257274654536,0.0203675910436,-0.0535287650301,-0.026446948321,0.0124454347417,0.108052013584,-0.0234268633754,0.0421955221133,0.032451124964
MET,0.0346020255886,0.047510957825,-0.0422882966435,-0.0352248876163,0.077722976394,0.000311939657962,-0.0259996299959,-0.0672141818915,-0.0190204772611,0.0322201937185,-0.0408105884339
Proteasome,0.0507841757034,-0.060551327926,0.0142532642493,-0.0460330708599,0.0668126377698,-0.00655980519719,0.0152272737806,-0.122575495685,0.153307417845,-0.0384362781063,-0.0975485986985
CAPN1,0.0151160864176,-0.0174677813972,-0.00293307821532,0.0149886565775,0.0180780342476,-0.00562110049232,0.0047790337823,-0.0232645744264,0.0348783083212,0.00524519521681,0.00128248108731
Microtubule stabiliser,0.00384785733594,-0.0361356696684,0.0684322368032,-0.090965541229,-0.0472231361816,-0.054631831475,0.0313974212015,0.0273931732926,0.139142404176,-0.128006915812,-0.120824280608
SMO,0.0484726000006,0.0151108349837,-0.0557599281632,0.0833000393408,0.150432465677,-0.0179600742137,-0.00118547384399,-0.109071017611,-0.0379257278083,-0.0226007605691,0.00486045791184
