,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.0683541767211,-0.00975039422396,0.0618207726192,-0.236327417184,0.0381211319294,0.0909495746039,0.0518155130905,-0.119015265044,-0.0204509187385,-0.00677029833391,-0.0418551456877
MTORC1,0.0521302159146,-0.0415401783885,-0.0442577694523,0.0919262443643,0.168697067108,-0.158737572454,0.0607190967572,-0.102262429451,-0.0434548683249,-0.083901973934,-0.0911833881368
PDGFR,-0.022010584433,0.0207468646226,0.0192298600644,0.0610751168147,-0.0465099208151,0.00701720483012,0.0348373910292,0.0494845688853,-0.0289200263121,-0.10384040251,0.0522879236508
KIT,0.0970661001249,0.0686006977866,0.026723492524,-0.134450294551,-0.0900675246747,-0.0254332663602,-0.0440340021637,-0.00941551212721,-0.0306689024944,0.0596474628904,0.0326362097977
VEGFR,-0.0583446989778,-0.134404405198,0.0027541120535,-0.0398273845547,-0.195971843097,0.0599031126848,0.021887067934,0.200013660952,0.0818689106017,0.0491430519705,-0.0220963614101
FLT3,-0.0538489136834,0.044047475695,0.0351113200189,0.0730307548716,-0.0021803183327,-0.0412347945519,-0.0394090801123,-0.0726446379105,0.0883125900012,-0.0046118659043,0.0671208338477
RET,-0.0687236946709,0.000647417887453,0.090191542004,0.116342562826,0.0533471462778,-0.0572244945919,0.0641725313531,-0.0903540380816,0.0993588540888,-0.0342948039717,0.0892798981444
CSF1R,-0.0300760703841,-0.000556204232557,-0.0394698644764,-0.031717639355,0.0136712947859,0.0171741147284,0.0257498886357,0.0409068802045,0.0549968249568,0.00106468459001,0.00344304081495
MET,-0.051388737659,0.0156850155359,-0.00800894529227,-0.00961119092821,0.00433902565933,0.0440240497151,-0.0457486167212,0.016562208727,-0.0022201542004,-0.020667554073,0.0209452895528
Proteasome,0.0252519756619,-0.109744294453,-0.14114371491,0.00679825617689,-0.0570596305047,0.0354978156075,0.061913181303,0.188744163417,-0.194755051988,-0.296016455347,0.121336484919
CAPN1,-0.00977589421044,-0.0248643825134,-0.0308304528632,-0.0439720469567,-0.00752949577895,0.0298586902338,-0.0094231764705,0.0199135328127,-0.0262613064232,-0.0929481539725,0.0665452188934
Microtubule stabiliser,0.053431103753,-0.230633089457,-0.127728909494,-0.096680255759,-0.0968044484727,0.0533326793012,0.108241873917,0.341378433294,-0.100951078628,-0.0870306674585,-0.16373273578
SMO,0.0664588589411,0.0890342040128,0.0501650772547,-0.0875963899525,0.0303860699668,-0.0205732041901,0.0234201864142,-0.0338833987299,0.00813168866457,0.0291186113805,-0.0131687299748
BRAF,-0.222903646379,0.136119871494,-0.0718827663724,0.59589670648,0.200054622174,-0.0873749764714,0.0643117989835,0.0888865463556,0.184178429608,-0.549087125576,0.237643627763
RAF,-0.0658500382655,-0.0309569826659,-0.13959113508,0.0526845650649,0.0316252084472,0.0518271604458,-0.0735005680716,0.00036721922817,0.0105531063409,-0.0289041141235,0.0275970021179
AURKA,0.0537620759685,-0.0403728610657,0.0332390377558,0.00114965971681,-0.0424890058789,0.0375331669076,-0.0143498339336,0.13910253023,-0.0302823098958,-0.0367859645466,-0.0472586500032
AURKB,0.0307516811273,-0.033539156983,0.0142509479487,-0.0158032717738,-0.0809746293013,0.0159978996193,0.0247805541354,0.178471456895,0.0200946669376,-0.0704807626896,-0.10050421367
