,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,-0.0704291033347,0.0783593089857,-0.0626613932835,0.0983010986316,0.182608203694,0.096870395197,-0.075136981788,-0.218820727182,-0.0116950533615,0.000911471260161,-0.0792021351242
MTORC1,0.0160647986075,0.0220259492138,0.231588552585,-0.0755638275958,-0.447757004539,-0.411609607658,0.328531289821,0.547004000962,-0.127600918313,-0.313290361835,0.228692190312
PDGFR,-0.0652734017742,-0.0326379134421,0.0491210345275,0.0285728081397,-0.0166366464916,-0.175069231995,0.173549584828,0.0684130348843,-0.191431296281,0.00499285623683,0.0587586840783
KIT,-0.0673839348503,-0.133786461906,-0.109794194325,-0.0302154177212,-0.0600597761135,-0.114796464778,0.153447651827,0.0288062984932,-0.095240609619,0.223719159004,-0.0502451564646
VEGFR,-0.0434966144727,0.00153149934535,-0.0258455620292,-0.131211183614,-0.237868752655,-0.039511321052,0.0219747585267,0.358690908119,0.064870828635,-0.123488492735,0.107052318164
FLT3,0.0147798443963,0.0203733277606,-0.0739083899693,-0.0579971730044,-0.132067362085,0.0233726102117,0.0120449843749,0.0921978737098,0.113883450226,0.0320483444802,0.0209514380349
RET,0.0439085160867,0.0765537286663,-0.0981572790344,-0.110095803995,-0.0669518687313,-0.0167803300133,0.0367426758298,0.0987279394097,0.0773960369751,-0.075000512772,-0.111492894669
CSF1R,0.0313239023031,-0.0591249003128,0.0272717633807,-0.0298658770156,-0.0699342425454,-0.0788827232042,0.0255760840334,0.02881856978,-0.0995865318232,0.131065026714,-0.0108048994943
MET,0.163793164083,-0.0862964482073,-0.123484253712,-0.0410574258947,-0.176709406258,-0.069612855085,-0.0349945125004,0.0629208140399,0.0911439510478,0.0353839393623,-0.057420529713
Proteasome,0.127890455284,0.0152976477065,0.384703850879,-0.0786521942418,-0.136078110519,-0.396425476502,0.297581161806,0.350166948972,-0.256659283386,-0.136766586091,0.0816705759886
CAPN1,0.0597189583985,-0.0801054203136,-0.059509879525,-0.115830194877,0.0418011488261,-0.00491133496208,0.0571750885053,0.0113436629917,-0.0230353921479,0.137513796838,-0.0965444487333
Microtubule stabiliser,-0.0334289623012,0.147994167661,0.295011158199,0.115720713062,-0.0765454170337,-0.0845433357071,-0.0481201010803,0.191697354589,0.0432793551063,-0.474094166866,0.293363288454
SMO,-0.0145442854269,-0.0153824152025,-0.0385288830536,-0.0413514654359,0.120491861718,-0.054609499646,0.0490139224452,-0.00227382391951,-0.118031575866,0.132259170137,-0.033195060043
BRAF,-0.0421419674471,0.41941350068,-0.0167860674127,-0.0842833625401,0.0363984197774,-0.214356761152,0.30001068203,0.178257258214,-0.0844281893562,-0.0956190810172,-0.0512462523881
RAF,0.0106226578058,0.0183861341323,0.0515888347329,-0.0113129780656,-0.097127967827,0.00311511776927,-0.00241699685878,0.0996636564872,0.0355536719009,-0.00651578694213,0.0817591667027
AURKA,-0.197180632959,-0.0217999556589,-0.141452187849,0.0430087504159,0.126403184669,0.370697835404,-0.228904004554,-0.142517723497,0.209899868214,0.0526019665993,0.0227712261483
AURKB,-0.0628819725105,0.000367472563869,0.0863965570179,-0.0472318247805,-0.0280578561122,-0.0585679928543,0.102249930748,0.249759569106,-0.0670447262764,-0.0139619357888,0.135255272758
AURKC,-0.0826981570231,0.0359692482425,0.0792989042774,-0.0253157851841,-0.0222463796039,0.0488518983987,-0.0316227053564,0.141932124898,-0.0221166656136,-0.0784874009826,0.133991285203
others,-0.0373612458531,-0.107678310584,0.136859279209,-0.0080336772003,-0.0110453348849,0.0278442006342,-0.0427829897849,0.108197280684,-0.0845945576726,0.0272230115851,0.154561692298
ABL,-0.0184568107638,0.0208546082086,0.011098017208,-0.0470701011745,-0.00498299400488,-0.109051411361,0.0757939704493,-0.0112358797595,-0.0259226620432,0.0840544698715,0.0157099665843
ALK,0.0376254708205,0.0345458778376,0.124683172776,0.062607009633,0.0996662768494,-0.114619363989,0.0871727567793,-0.0741297487992,-0.12629630715,-0.0581009313692,-0.0395116422508
ROS1,0.00809963808919,-0.0364262488388,0.0188042018077,-0.0211115844701,-0.0573928628392,-0.0151615017833,0.0105652737305,0.0609383584448,-0.00134588245218,-0.0183069695987,0.0377831818033
SRC,-0.091250275081,0.0428190996613,0.277307425052,0.106640521912,0.107895264119,-0.201906546964,0.171970866404,0.0784135140851,-0.346579173845,0.0400684224057,0.0409845636564
KIF11,-0.011043224779,-0.0217949543668,0.12970295952,-0.0162520459447,-0.0541703127518,-0.171309411443,0.125986519609,0.146896032168,-0.120803268753,-0.0517936681996,0.129018819724
gamma-secretase,0.0124715870078,-0.00409677518581,0.11464238463,-0.0791224218349,-0.108320167026,-0.189856750011,0.154120268658,0.16786920613,-0.00824158004205,-0.100864448971,0.10472285467
Ephrins,0.0221975655256,0.108728296315,0.257333939398,3.93790881878e-05,-0.0220902593149,-0.239731254618,0.114049684873,0.156822117329,-0.187893894214,-0.196482822088,0.161683047151
BCR-ABL,0.018564792869,-0.000712423563882,-0.0205023267153,-0.0257430248262,0.0662455505596,-0.0359971741237,0.0186011938789,-0.0215897899316,-0.0616137490666,0.0318923725673,-0.0506860948587
CDK1,0.0348152897247,-0.101916578061,-0.0557702689034,0.00781137151539,0.0203963231256,0.0279331705874,-0.06429756643,-0.048701573679,0.0608210751352,0.0153568978694,0.0250883791768
