,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.36652468268,0.0102871591097,0.0782403664977,-0.331174142027,-0.292010601708,-0.0495467303349,-0.0340734608103,0.27375353026,-0.0977520710229,0.0652580061627,-0.0988606994337
MTORC1,0.201597323275,0.151944872987,-0.0768198911976,-0.201249227339,-0.0571071476323,-0.0727716094455,0.117931173412,0.0385925884849,0.130177073294,-0.271456518905,0.0503707151219
PDGFR,0.00461463324065,-0.0977866658977,-0.0671423541082,0.0471980637533,-0.0878658310246,0.0197506630815,-0.0984238711838,0.0406218401578,-0.014523034363,-0.00396643594895,-0.0101836640933
KIT,-0.016221421937,0.0345114073079,0.0806245119789,0.0326843139499,-0.104442968832,-0.105096448547,0.041672032742,0.0934863556319,-0.0106055550676,-0.0431039880515,-0.0200234564037
VEGFR,-0.0834457736218,-0.0329079552338,-0.136916945205,0.184172911663,-0.127397550019,-0.137820823589,-0.213204452171,-0.0808283850758,0.00560746145475,-0.0605698004778,-0.0851750623791
FLT3,-0.0359768216637,0.111744864601,-0.00875430138755,0.0825021841224,0.0562889474359,-0.0533362284853,-0.0597331377727,-0.141597110983,0.0178932101086,-0.0173061942045,-0.0373760731856
RET,0.0445197269933,0.142238359211,0.0760127206265,-0.113975290581,-0.0200274964251,-0.0162709930006,-0.0744921536862,0.0249231952602,-0.0609992473258,0.00437158321011,0.0742731823601
CSF1R,-0.110105836421,-0.0855271450197,0.000316186156877,0.0465158539796,-0.0767228155364,0.0324880584584,-0.0576203548439,0.168716877228,-0.117602452082,0.0867661150589,-0.0321454651364
MET,0.736087890406,-0.0685225873159,0.0204851331402,-0.281382990895,-0.268842632608,0.298206225724,0.0119610321034,0.0274019944557,0.0988862892446,0.0499896272925,0.0897080149757
Proteasome,0.247597721011,-0.141622418596,-0.136939191885,-0.094179115309,0.0011761915346,0.0679784232565,0.0176236358978,0.0435437250771,0.0129224917783,-0.0519023078838,0.0364548834284
CAPN1,0.0103375898209,-0.0501890577917,0.11108699956,-0.0101609257281,-0.140700603781,-0.0265638659181,-0.00670765501038,0.128674759689,-0.0164038367862,0.0167914411622,0.0187432436679
Microtubule stabiliser,-0.011631954052,-0.0802667499287,-0.209081961143,0.14399514289,0.164332945694,0.294433187681,0.000222528467768,0.0559347206107,-0.105446654793,0.0397154957999,0.0102041830377
SMO,0.00363340063714,-0.0467542297248,0.0352012546758,-0.0202363057414,-0.166060061933,-0.0673011355274,-0.0218782793629,0.120403296003,-0.0240561774434,-0.0325183078773,-0.123563171555
BRAF,0.0550651027959,-0.18752120661,-0.0932213023903,0.0503253029954,-0.0646228693924,0.00198868288341,-0.0431139064139,-0.0403847742758,0.0751027804881,0.0390100505184,-0.195260388644
RAF,0.0239734400387,0.123126323274,0.1180915298,-0.0560068427295,0.0531965810351,-0.0429001053643,-0.0054100049284,-0.0837472798145,-0.0235523161391,-0.0112249115147,0.0309680151262
AURKA,-0.362770315883,0.092656356683,-0.150969984991,0.401585386163,-0.0226081107699,-0.0265305028768,0.0366276013235,-0.080321340878,0.0773077744587,-0.223504970613,0.0106802157673
AURKB,-0.0537126783082,-0.0317401390214,0.0250349527568,0.162945510473,0.0197273625217,-0.0382428972099,-0.00198988907711,0.0122264172203,-0.059750581994,-0.0109811055755,-0.115910686892
AURKC,-0.226303036549,0.0240207589166,-0.0910700386411,0.201992754666,-0.0540176086716,-0.0448912426253,-0.0377087959754,-0.0266021686598,0.0466453114624,-0.18210891937,-0.0535074196009
others,-0.00614867771891,-0.0664349787722,-0.00216520431978,0.0238864130286,0.0209127023195,0.0541096066776,0.0313554359638,0.00177542042898,0.003133374398,0.00612939973701,0.0482367782567
ABL,0.0489609350047,-0.114455466178,-0.0604545332218,-0.0885800151554,-0.0983287265498,0.0215274316463,0.0412979882118,0.0693342143764,0.106005657296,0.032514073211,-0.113170593165
ALK,0.147885083949,-0.0591042261636,-0.00355772468242,-0.00810700933443,-0.058050567926,-0.132747687958,-0.156301393555,-0.195389862775,0.0165209864895,-0.0331568281446,-0.104371058886
ROS1,0.277470971638,-0.0921274641172,0.0306833000795,-0.0775559521838,-0.129839814018,0.150583990581,0.0515672112339,0.10124934903,0.0412781029572,0.0367899669723,0.027248392895
SRC,0.0324730234721,-0.141053526901,-0.110247852163,-0.0917606887741,-0.213167156775,0.00255954890969,0.0487557526412,0.182303361118,0.0449311177955,-0.108734825246,0.0298083254513
KIF11,-0.00601265094133,-0.0435267476935,-0.0783115483782,-0.0465026053951,-0.00177446194046,0.032312516022,-0.0367153602991,0.0956136125928,-0.0606740450432,0.046015232185,-0.0310627614359
gamma-secretase,0.0634447669622,-0.048374335872,-0.0656242138177,-0.0925623796721,-0.0643897771469,0.0402395230041,0.0140257299515,0.126643202095,0.0182566273099,-0.0511448276889,0.0075112981202
Ephrins,0.0145782004188,0.0984019704742,0.0331577014289,-0.283450745994,-0.0918219243029,0.0601763577846,0.210733162423,0.335427884442,0.0412439946416,-0.0826722813609,0.0476481586831
BCR-ABL,0.0190801251248,-0.0584264396442,-0.0129511842485,-0.0429556024803,-0.034490993655,-0.0122595060448,-0.0485157519791,0.0208178403055,-0.00113351592295,0.0390746363251,-0.0897211208145
CDK1,0.0693958156565,-0.115939695797,-0.0704894310618,0.0847954732089,-0.0659898888683,0.126271157251,-0.0548172836709,-0.043762337471,0.0644643585644,0.0621973179116,-0.0518044681817
CDK2,0.146910865107,-0.0541374386076,-0.00808214548417,-0.0577361009432,-0.0379554434164,-0.131295158326,-0.10923766758,-0.219315914145,0.129523754296,-0.0955378255913,-0.115505280741
CDK5,-0.0237706357173,-0.0286015983468,-0.107568841377,0.0300163981511,0.0222853496213,-0.0248105428583,0.0226020980577,-0.0921041971083,0.124794985325,-0.00731178376345,-0.00673712560292
CDK7,-0.312517329812,-0.0300984643654,-0.035975338273,0.196644162541,0.178404892153,0.0789362657744,0.102759333292,0.032108074801,-0.0500530683748,0.00296414670091,0.0981772193818
CDK9,-0.111622953052,0.129508621851,0.224496516289,-0.0696277747969,0.0070056157948,-0.0542649045611,-0.0169959168236,0.0349681563283,-0.0994107794551,-0.026950097927,0.0834016200484
PKC,0.0709727138932,-0.121704547536,-0.155059698242,-0.141522013654,-0.0483169570336,-0.00189545523893,0.0383632118698,0.176434004894,0.011956778349,0.0112822879475,0.0133178648381
CDK4,-0.033118335793,0.0209429790246,-0.152736175388,0.04287201841,-0.0410854021075,0.0602359724447,-0.118427392531,0.0588743196924,-0.0280168033112,0.042399515722,-0.0429635253201
LCK,-0.0310901303591,0.276924592784,0.00762331457033,-0.066421248603,-0.267168153829,-0.245889141965,-0.00197128489025,0.174277969477,0.0120985614294,-0.305485216914,0.04757877736
