,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,5.0,895.0,175.0,993.0,976.0,320.0,588.0,214.0,53.0,966.0,131.0
MTORC1,583.0,656.0,152.0,126.0,90.0,669.0,145.0,534.0,926.0,933.0,953.0
PDGFR,262.0,629.0,691.0,784.0,596.0,50.0,230.0,753.0,329.0,530.0,908.0
KIT,661.0,856.0,500.0,82.0,589.0,841.0,590.0,247.0,196.0,750.0,388.0
VEGFR,78.0,663.0,414.0,626.0,1000.0,159.0,578.0,0.0,154.0,727.0,1.0
FLT3,117.0,624.0,277.0,689.0,1.0,996.0,833.0,975.0,962.0,604.0,1000.0
RET,849.0,242.0,103.0,98.0,0.0,952.0,328.0,997.0,988.0,500.0,957.0
CSF1R,636.0,525.0,715.0,100.0,73.0,835.0,155.0,984.0,968.0,2.0,435.0
MET,622.0,491.0,241.0,2.0,427.0,941.0,272.0,800.0,999.0,246.0,288.0
Proteasome,670.0,191.0,878.0,194.0,767.0,182.0,355.0,245.0,703.0,186.0,652.0
CAPN1,13.0,459.0,470.0,854.0,822.0,335.0,584.0,776.0,283.0,795.0,901.0
Microtubule stabiliser,532.0,372.0,626.0,250.0,890.0,563.0,757.0,25.0,583.0,562.0,19.0
SMO,1.0,935.0,393.0,1000.0,1000.0,130.0,758.0,291.0,15.0,403.0,19.0
BRAF,994.0,897.0,924.0,203.0,539.0,378.0,94.0,455.0,60.0,70.0,241.0
RAF,907.0,237.0,906.0,669.0,897.0,46.0,861.0,64.0,11.0,765.0,223.0
AURKA,218.0,440.0,629.0,949.0,723.0,875.0,66.0,228.0,406.0,496.0,957.0
AURKB,2.0,637.0,35.0,988.0,903.0,660.0,690.0,872.0,181.0,310.0,35.0
AURKC,507.0,311.0,98.0,846.0,877.0,368.0,732.0,290.0,353.0,588.0,74.0
others,1.0,544.0,144.0,928.0,997.0,859.0,933.0,136.0,336.0,986.0,384.0
ABL,30.0,829.0,68.0,804.0,996.0,60.0,389.0,500.0,260.0,458.0,55.0
ALK,0.0,382.0,98.0,348.0,984.0,717.0,288.0,860.0,810.0,686.0,800.0
ROS1,21.0,156.0,598.0,946.0,996.0,550.0,283.0,186.0,35.0,949.0,830.0
SRC,284.0,631.0,514.0,588.0,918.0,534.0,199.0,118.0,758.0,324.0,503.0
KIF11,98.0,425.0,222.0,448.0,1000.0,491.0,847.0,1.0,116.0,766.0,38.0
gamma-secretase,981.0,163.0,841.0,442.0,223.0,116.0,446.0,467.0,356.0,82.0,275.0
Ephrins,517.0,501.0,333.0,407.0,5.0,955.0,104.0,989.0,979.0,543.0,977.0
BCR-ABL,324.0,716.0,807.0,324.0,195.0,620.0,140.0,883.0,658.0,722.0,979.0
CDK1,53.0,943.0,133.0,992.0,1000.0,18.0,319.0,23.0,113.0,694.0,25.0
CDK2,4.0,89.0,729.0,972.0,999.0,919.0,852.0,7.0,175.0,973.0,221.0
CDK5,5.0,96.0,21.0,962.0,54.0,442.0,971.0,997.0,634.0,880.0,567.0
CDK7,975.0,38.0,938.0,65.0,161.0,931.0,223.0,237.0,663.0,168.0,650.0
CDK9,728.0,43.0,713.0,116.0,68.0,984.0,736.0,413.0,745.0,724.0,983.0
PKC,993.0,341.0,904.0,57.0,53.0,40.0,261.0,818.0,749.0,1.0,182.0
CDK4,180.0,598.0,204.0,790.0,869.0,947.0,71.0,568.0,834.0,428.0,738.0
LCK,179.0,570.0,160.0,487.0,971.0,393.0,97.0,310.0,804.0,741.0,532.0
FYN,75.0,691.0,506.0,399.0,960.0,913.0,75.0,149.0,877.0,426.0,695.0
BMX,293.0,270.0,38.0,977.0,354.0,138.0,355.0,948.0,499.0,460.0,534.0
PLK1,215.0,541.0,507.0,271.0,981.0,346.0,465.0,19.0,368.0,929.0,523.0
PLK2,142.0,723.0,451.0,747.0,1000.0,149.0,716.0,4.0,16.0,987.0,183.0
PLK3,65.0,102.0,649.0,419.0,937.0,995.0,594.0,37.0,631.0,785.0,851.0
IGF1R,571.0,951.0,989.0,237.0,995.0,553.0,2.0,16.0,736.0,37.0,529.0
IR,613.0,325.0,926.0,896.0,375.0,582.0,841.0,31.0,364.0,91.0,215.0
ITK,348.0,633.0,544.0,296.0,920.0,453.0,78.0,317.0,546.0,513.0,645.0
RSK2,364.0,314.0,206.0,866.0,551.0,670.0,637.0,459.0,391.0,433.0,414.0
Dihydrofolate reductase (DHFR),262.0,757.0,237.0,985.0,148.0,5.0,755.0,976.0,117.0,337.0,142.0
MTOR,912.0,408.0,369.0,508.0,256.0,3.0,258.0,817.0,67.0,918.0,905.0
AKT1,307.0,692.0,530.0,442.0,993.0,576.0,126.0,48.0,166.0,984.0,869.0
AKT2,111.0,874.0,402.0,533.0,280.0,444.0,251.0,521.0,784.0,926.0,981.0
AKT3,845.0,104.0,555.0,491.0,12.0,400.0,651.0,824.0,760.0,125.0,435.0
HDAC1,5.0,596.0,38.0,592.0,82.0,785.0,809.0,979.0,1000.0,10.0,255.0
HDAC3,42.0,632.0,517.0,848.0,974.0,474.0,107.0,763.0,119.0,962.0,953.0
IKK,800.0,954.0,737.0,247.0,882.0,50.0,162.0,540.0,136.0,480.0,150.0
PI3Kbeta,765.0,954.0,788.0,618.0,9.0,178.0,91.0,948.0,649.0,163.0,735.0
ERK5,52.0,189.0,649.0,577.0,719.0,951.0,93.0,633.0,702.0,811.0,993.0
BET,116.0,875.0,566.0,807.0,721.0,6.0,112.0,749.0,228.0,633.0,788.0
EIF2A,125.0,581.0,763.0,722.0,1000.0,17.0,89.0,13.0,13.0,841.0,337.0
ERBB2,0.0,893.0,37.0,967.0,77.0,938.0,869.0,974.0,688.0,926.0,762.0
ROCK1,717.0,397.0,890.0,791.0,1.0,531.0,435.0,988.0,253.0,111.0,724.0
ROCK2,634.0,162.0,966.0,474.0,18.0,967.0,75.0,890.0,460.0,767.0,977.0
Anthracycline,271.0,254.0,56.0,867.0,55.0,573.0,883.0,907.0,500.0,571.0,499.0
TOP2,621.0,152.0,351.0,909.0,15.0,292.0,977.0,931.0,472.0,263.0,357.0
Pyrimidine antimetabolite,447.0,151.0,68.0,768.0,149.0,619.0,958.0,719.0,477.0,798.0,488.0
DNA crosslinker,828.0,208.0,557.0,691.0,881.0,232.0,950.0,48.0,89.0,633.0,124.0
Microtubule destabiliser,789.0,302.0,845.0,189.0,896.0,143.0,574.0,45.0,757.0,26.0,2.0
SHP-1 (PTPN6),9.0,788.0,948.0,230.0,1000.0,1000.0,318.0,0.0,406.0,949.0,188.0
SHP-2 (PTPN11),14.0,382.0,353.0,629.0,995.0,974.0,864.0,30.0,174.0,435.0,34.0
AR,632.0,398.0,446.0,307.0,92.0,790.0,489.0,981.0,135.0,415.0,568.0
ARFGAP1,555.0,109.0,554.0,315.0,499.0,950.0,912.0,216.0,416.0,490.0,768.0
ATM,333.0,885.0,434.0,910.0,897.0,282.0,49.0,273.0,72.0,977.0,764.0
PPK,3.0,293.0,69.0,967.0,317.0,453.0,460.0,996.0,666.0,426.0,395.0
FLT1,505.0,239.0,115.0,4.0,941.0,862.0,145.0,451.0,979.0,360.0,327.0
c-FGR,230.0,868.0,166.0,255.0,983.0,115.0,109.0,316.0,480.0,646.0,754.0
GSK3A,35.0,740.0,830.0,390.0,888.0,532.0,104.0,809.0,677.0,491.0,748.0
GSK3B,110.0,461.0,669.0,601.0,729.0,454.0,282.0,658.0,444.0,426.0,586.0
PDGFRA,888.0,571.0,701.0,685.0,16.0,598.0,968.0,470.0,109.0,377.0,495.0
VEGFR2,999.0,36.0,981.0,0.0,998.0,114.0,26.0,8.0,536.0,308.0,476.0
FGFR1,916.0,143.0,540.0,57.0,890.0,930.0,671.0,349.0,234.0,552.0,242.0
TIE2,342.0,205.0,407.0,45.0,925.0,779.0,434.0,50.0,980.0,150.0,389.0
JNK2,950.0,385.0,981.0,0.0,845.0,962.0,160.0,10.0,960.0,335.0,217.0
JNK3,974.0,334.0,830.0,34.0,525.0,43.0,573.0,14.0,830.0,90.0,6.0
FAK,583.0,548.0,962.0,42.0,1000.0,278.0,155.0,10.0,972.0,433.0,120.0
FAK2,919.0,526.0,792.0,166.0,821.0,76.0,631.0,7.0,773.0,52.0,11.0
BRD2,23.0,131.0,158.0,232.0,806.0,992.0,803.0,285.0,962.0,799.0,638.0
BRD3,2.0,319.0,159.0,446.0,853.0,993.0,497.0,460.0,982.0,510.0,134.0
BRD4,857.0,154.0,795.0,187.0,188.0,168.0,397.0,863.0,742.0,41.0,222.0
BRDT,952.0,836.0,621.0,823.0,0.0,10.0,612.0,982.0,400.0,138.0,419.0
HDAC2,307.0,125.0,675.0,387.0,280.0,856.0,207.0,910.0,865.0,205.0,749.0
HIF-PH,896.0,374.0,105.0,559.0,0.0,9.0,791.0,1000.0,892.0,237.0,978.0
Farnesyl-transferase (FNTA),546.0,171.0,591.0,47.0,486.0,690.0,528.0,740.0,940.0,150.0,375.0
PDK1 (PDPK1),995.0,123.0,619.0,254.0,388.0,406.0,508.0,127.0,205.0,532.0,867.0
not defined,327.0,291.0,97.0,938.0,4.0,433.0,749.0,993.0,177.0,887.0,981.0
XIAP,851.0,124.0,201.0,266.0,313.0,34.0,537.0,963.0,341.0,408.0,335.0
PPARgamma,947.0,595.0,987.0,11.0,948.0,795.0,796.0,0.0,616.0,721.0,516.0
PPARdelta,891.0,269.0,891.0,112.0,217.0,72.0,993.0,17.0,576.0,98.0,32.0
Procaspase-3,0.0,80.0,0.0,874.0,988.0,887.0,711.0,760.0,758.0,914.0,496.0
Procaspase-7,36.0,24.0,63.0,297.0,995.0,723.0,567.0,588.0,672.0,876.0,597.0
PAK1,795.0,54.0,113.0,131.0,0.0,931.0,604.0,997.0,798.0,653.0,947.0
SGK2,141.0,85.0,294.0,209.0,198.0,997.0,937.0,392.0,956.0,731.0,909.0
SGK3,360.0,178.0,581.0,34.0,334.0,994.0,641.0,168.0,983.0,527.0,866.0
SYK,798.0,87.0,757.0,1.0,72.0,990.0,561.0,287.0,968.0,712.0,866.0
Antimetabolite (DNA & RNA),663.0,145.0,177.0,597.0,407.0,919.0,949.0,131.0,519.0,743.0,84.0
SERCA,455.0,336.0,656.0,52.0,959.0,555.0,862.0,0.0,800.0,403.0,51.0
BCL2,982.0,179.0,992.0,88.0,1000.0,181.0,521.0,0.0,64.0,64.0,4.0
BCL-XL,80.0,817.0,463.0,276.0,997.0,719.0,338.0,51.0,249.0,909.0,143.0
BCL-W,84.0,222.0,41.0,671.0,0.0,759.0,822.0,1000.0,905.0,785.0,998.0
MCL1,913.0,208.0,725.0,599.0,103.0,234.0,910.0,530.0,352.0,41.0,52.0
Retinioic X receptor (RXR) agonist,65.0,845.0,950.0,245.0,1000.0,779.0,721.0,0.0,161.0,679.0,89.0
dsDNA break induction,479.0,406.0,692.0,954.0,165.0,469.0,921.0,716.0,213.0,111.0,41.0
BTK,989.0,192.0,338.0,562.0,217.0,17.0,684.0,562.0,254.0,774.0,626.0
HSP90,529.0,353.0,95.0,781.0,0.0,232.0,723.0,1000.0,571.0,107.0,440.0
Biguanide agent,805.0,873.0,496.0,936.0,45.0,207.0,903.0,787.0,175.0,130.0,69.0
PDGFRB,736.0,59.0,711.0,21.0,870.0,713.0,68.0,323.0,858.0,563.0,782.0
IKK1,37.0,346.0,102.0,771.0,1000.0,337.0,906.0,9.0,214.0,947.0,5.0
IKK2,778.0,332.0,941.0,190.0,764.0,995.0,170.0,3.0,809.0,477.0,601.0
Amyloid beta20,281.0,898.0,951.0,74.0,816.0,991.0,51.0,674.0,913.0,496.0,507.0
Amyloid beta40,606.0,523.0,95.0,349.0,0.0,272.0,563.0,1000.0,705.0,5.0,1.0
JAK1,404.0,152.0,457.0,655.0,87.0,985.0,967.0,803.0,389.0,784.0,720.0
JAK2,23.0,866.0,642.0,971.0,843.0,242.0,144.0,684.0,279.0,545.0,366.0
JNK1,633.0,340.0,960.0,385.0,89.0,567.0,370.0,496.0,401.0,550.0,489.0
KSP,476.0,20.0,743.0,792.0,982.0,610.0,599.0,25.0,183.0,363.0,10.0
CDK6,993.0,214.0,362.0,377.0,598.0,72.0,310.0,317.0,537.0,44.0,19.0
p38alpha,56.0,640.0,526.0,995.0,834.0,950.0,759.0,30.0,4.0,990.0,582.0
p38beta,245.0,602.0,763.0,898.0,296.0,954.0,463.0,225.0,124.0,924.0,911.0
PI3K (class 1),505.0,930.0,325.0,738.0,225.0,61.0,92.0,650.0,544.0,683.0,954.0
PI3Kgamma,439.0,940.0,243.0,374.0,663.0,480.0,34.0,100.0,979.0,446.0,679.0
PKCB,21.0,458.0,20.0,711.0,934.0,601.0,70.0,857.0,684.0,756.0,772.0
RSK,180.0,259.0,187.0,445.0,2.0,979.0,145.0,999.0,893.0,693.0,995.0
PI3Kdelta,274.0,970.0,456.0,789.0,70.0,609.0,17.0,917.0,742.0,469.0,958.0
G9a and GLP methyltransferases,2.0,89.0,153.0,754.0,999.0,707.0,918.0,147.0,752.0,568.0,310.0
FLT4,996.0,291.0,686.0,19.0,71.0,87.0,645.0,264.0,951.0,178.0,378.0
AXL,54.0,476.0,97.0,391.0,503.0,765.0,527.0,241.0,962.0,140.0,49.0
NTRK2,928.0,265.0,762.0,525.0,972.0,19.0,843.0,10.0,136.0,38.0,1.0
IRAK1,709.0,216.0,378.0,133.0,993.0,26.0,880.0,3.0,434.0,720.0,22.0
LTK,720.0,976.0,564.0,979.0,3.0,71.0,901.0,723.0,168.0,203.0,423.0
Autophagy inducer,638.0,211.0,775.0,13.0,413.0,981.0,331.0,461.0,929.0,406.0,888.0
TAK1,989.0,211.0,679.0,793.0,0.0,323.0,170.0,998.0,364.0,101.0,919.0
MAP4K2,870.0,364.0,917.0,1.0,960.0,995.0,114.0,2.0,922.0,678.0,810.0
TAK,941.0,32.0,965.0,5.0,650.0,1000.0,315.0,12.0,787.0,440.0,899.0
ERK2,231.0,361.0,160.0,61.0,564.0,986.0,206.0,364.0,928.0,889.0,750.0
ERK1,219.0,542.0,739.0,869.0,138.0,482.0,824.0,761.0,628.0,526.0,977.0
HDAC6,800.0,645.0,56.0,344.0,0.0,479.0,783.0,993.0,1000.0,0.0,38.0
HDAC8,423.0,246.0,670.0,223.0,1000.0,986.0,175.0,3.0,55.0,998.0,901.0
Endothelin-1 receptor (EDNRA),526.0,321.0,749.0,442.0,464.0,622.0,508.0,706.0,313.0,595.0,671.0
BIRC5,941.0,621.0,270.0,674.0,0.0,3.0,947.0,996.0,965.0,0.0,103.0
MDM4,995.0,95.0,754.0,109.0,0.0,271.0,860.0,926.0,916.0,49.0,865.0
HDAC,138.0,829.0,329.0,953.0,985.0,988.0,870.0,33.0,103.0,965.0,247.0
RAR,60.0,971.0,688.0,957.0,687.0,254.0,445.0,328.0,127.0,165.0,84.0
HDAC1-10,984.0,231.0,732.0,58.0,3.0,397.0,533.0,942.0,995.0,0.0,297.0
VEGFR1,144.0,719.0,14.0,1000.0,3.0,1.0,976.0,997.0,8.0,841.0,567.0
VEGFR3,11.0,701.0,788.0,773.0,1000.0,898.0,578.0,0.0,35.0,947.0,384.0
MEK5,713.0,430.0,709.0,248.0,922.0,963.0,363.0,17.0,222.0,804.0,665.0
MTORC2,607.0,668.0,318.0,986.0,495.0,81.0,739.0,538.0,279.0,496.0,113.0
Angiopoietin-1 receptor,238.0,366.0,442.0,263.0,147.0,1000.0,225.0,750.0,711.0,976.0,999.0
JAK3,699.0,597.0,673.0,580.0,1.0,976.0,135.0,926.0,704.0,754.0,963.0
IKKB,232.0,420.0,914.0,100.0,145.0,1000.0,149.0,500.0,886.0,701.0,909.0
MAP3K8,913.0,271.0,630.0,13.0,201.0,982.0,684.0,44.0,969.0,350.0,531.0
MPS1,222.0,711.0,619.0,382.0,994.0,893.0,158.0,7.0,683.0,535.0,268.0
EPHB4,833.0,177.0,833.0,8.0,242.0,996.0,44.0,275.0,894.0,665.0,939.0
RNA Polymerase 1,326.0,173.0,308.0,790.0,203.0,951.0,847.0,563.0,598.0,614.0,89.0
PI3Kalpha,92.0,894.0,449.0,987.0,401.0,529.0,353.0,420.0,682.0,378.0,715.0
DAPK3,383.0,926.0,303.0,992.0,249.0,159.0,254.0,625.0,323.0,673.0,906.0
CLK4,820.0,834.0,471.0,954.0,72.0,121.0,550.0,300.0,338.0,197.0,303.0
PIM3,326.0,940.0,694.0,830.0,404.0,332.0,333.0,294.0,684.0,275.0,554.0
HIPK2,180.0,933.0,867.0,966.0,930.0,633.0,159.0,31.0,500.0,581.0,521.0
ALK5,429.0,16.0,922.0,80.0,999.0,699.0,892.0,1.0,268.0,953.0,621.0
TNKS1,926.0,520.0,370.0,68.0,99.0,686.0,192.0,669.0,916.0,116.0,202.0
TNKS2,994.0,636.0,561.0,0.0,356.0,577.0,31.0,405.0,963.0,362.0,548.0
ROCK,926.0,39.0,978.0,72.0,206.0,970.0,480.0,199.0,501.0,322.0,922.0
PYKFYVE,827.0,279.0,869.0,39.0,57.0,954.0,31.0,481.0,924.0,441.0,984.0
DDR1,94.0,549.0,276.0,930.0,58.0,677.0,439.0,954.0,287.0,938.0,980.0
RIPK1,4.0,139.0,254.0,966.0,985.0,783.0,630.0,365.0,372.0,859.0,54.0
CAMK2,106.0,493.0,201.0,840.0,16.0,575.0,528.0,977.0,571.0,821.0,999.0
LXR,974.0,367.0,888.0,368.0,3.0,878.0,659.0,955.0,160.0,345.0,475.0
FXR,325.0,335.0,594.0,428.0,310.0,891.0,453.0,865.0,707.0,334.0,834.0
SIRT1,164.0,664.0,433.0,315.0,464.0,973.0,754.0,811.0,545.0,436.0,608.0
AMPK agonist,46.0,639.0,56.0,907.0,768.0,189.0,658.0,974.0,282.0,384.0,194.0
TOP1,950.0,261.0,533.0,934.0,41.0,43.0,931.0,796.0,50.0,235.0,253.0
Antimetabolite,743.0,47.0,733.0,348.0,940.0,170.0,939.0,116.0,113.0,301.0,59.0
Retinoic acid,35.0,928.0,71.0,798.0,1000.0,300.0,548.0,21.0,103.0,994.0,244.0
HDAC inhibitor Class I,981.0,292.0,70.0,297.0,82.0,133.0,959.0,950.0,309.0,312.0,280.0
IIa,352.0,911.0,309.0,513.0,983.0,25.0,584.0,393.0,175.0,753.0,415.0
IIb,86.0,604.0,107.0,476.0,995.0,448.0,837.0,160.0,532.0,836.0,354.0
IV,5.0,663.0,3.0,917.0,408.0,3.0,979.0,975.0,459.0,93.0,36.0
MEK1,445.0,904.0,303.0,813.0,115.0,112.0,20.0,979.0,811.0,312.0,330.0
MEK2,189.0,870.0,104.0,978.0,169.0,308.0,159.0,980.0,475.0,606.0,164.0
PARP1,181.0,500.0,243.0,988.0,961.0,204.0,618.0,600.0,6.0,549.0,314.0
PARP2,721.0,653.0,943.0,949.0,147.0,346.0,766.0,746.0,11.0,156.0,194.0
TEC,284.0,774.0,556.0,967.0,1000.0,20.0,902.0,4.0,13.0,849.0,83.0
CRBN,258.0,919.0,238.0,523.0,1000.0,12.0,353.0,30.0,207.0,564.0,143.0
CHEK1,290.0,789.0,422.0,380.0,1000.0,20.0,183.0,20.0,290.0,446.0,82.0
CHEK2,584.0,188.0,759.0,60.0,999.0,82.0,871.0,1.0,535.0,751.0,109.0
NTRK1,850.0,712.0,866.0,163.0,1000.0,32.0,431.0,0.0,52.0,803.0,48.0
NTRK3,797.0,339.0,622.0,813.0,936.0,227.0,838.0,227.0,124.0,69.0,4.0
p38,24.0,749.0,47.0,725.0,976.0,565.0,543.0,605.0,234.0,865.0,362.0
TBK1,987.0,664.0,457.0,42.0,271.0,26.0,91.0,876.0,832.0,133.0,102.0
DNAPK,0.0,840.0,36.0,985.0,934.0,430.0,612.0,917.0,315.0,985.0,533.0
PIM1,707.0,350.0,107.0,302.0,139.0,423.0,668.0,959.0,162.0,877.0,568.0
JNK,162.0,648.0,221.0,772.0,1000.0,381.0,620.0,54.0,13.0,967.0,220.0
WEE1,216.0,916.0,282.0,885.0,697.0,563.0,159.0,720.0,254.0,301.0,593.0
MDM2,153.0,762.0,306.0,905.0,796.0,135.0,179.0,996.0,174.0,271.0,408.0
FGFR3,67.0,937.0,220.0,751.0,742.0,414.0,42.0,988.0,158.0,781.0,550.0
PI3K (Class 1),914.0,497.0,124.0,538.0,5.0,33.0,474.0,995.0,318.0,49.0,669.0
PPM1D,51.0,865.0,107.0,596.0,997.0,372.0,725.0,260.0,443.0,841.0,15.0
