,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,242.0,22.0,406.0,883.0,956.0,51.0,736.0,590.0,581.0,298.0,442.0
MTORC1,994.0,82.0,26.0,83.0,1000.0,58.0,883.0,33.0,793.0,17.0,119.0
PDGFR,993.0,20.0,105.0,180.0,866.0,23.0,330.0,889.0,794.0,70.0,229.0
KIT,196.0,935.0,992.0,727.0,82.0,454.0,134.0,393.0,481.0,874.0,444.0
VEGFR,240.0,333.0,963.0,684.0,545.0,372.0,92.0,461.0,532.0,318.0,214.0
FLT3,997.0,220.0,36.0,201.0,733.0,43.0,447.0,667.0,530.0,268.0,24.0
RET,998.0,115.0,86.0,45.0,689.0,146.0,324.0,979.0,513.0,263.0,64.0
CSF1R,882.0,90.0,335.0,325.0,954.0,300.0,871.0,776.0,159.0,43.0,848.0
MET,176.0,80.0,60.0,614.0,681.0,179.0,531.0,908.0,878.0,6.0,974.0
Proteasome,113.0,234.0,82.0,856.0,952.0,376.0,493.0,486.0,817.0,75.0,865.0
CAPN1,563.0,6.0,271.0,522.0,919.0,274.0,714.0,655.0,931.0,263.0,721.0
Microtubule stabiliser,531.0,493.0,32.0,804.0,936.0,293.0,854.0,52.0,525.0,118.0,945.0
SMO,876.0,9.0,70.0,637.0,995.0,91.0,969.0,143.0,615.0,296.0,838.0
BRAF,1000.0,27.0,769.0,22.0,836.0,64.0,620.0,740.0,498.0,92.0,302.0
RAF,874.0,12.0,339.0,465.0,1000.0,27.0,937.0,6.0,584.0,164.0,620.0
AURKA,245.0,747.0,773.0,855.0,439.0,550.0,296.0,24.0,700.0,734.0,205.0
AURKB,902.0,155.0,59.0,825.0,999.0,97.0,822.0,25.0,398.0,44.0,654.0
AURKC,4.0,982.0,832.0,994.0,810.0,817.0,269.0,73.0,118.0,438.0,536.0
others,784.0,346.0,52.0,616.0,980.0,429.0,805.0,293.0,264.0,202.0,393.0
ABL,716.0,17.0,170.0,800.0,975.0,28.0,859.0,223.0,511.0,421.0,552.0
