,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,887.0,637.0,313.0,60.0,640.0,957.0,157.0,895.0,393.0,185.0,26.0
MTORC1,1000.0,508.0,0.0,0.0,978.0,767.0,582.0,202.0,123.0,459.0,818.0
PDGFR,221.0,13.0,85.0,962.0,1000.0,149.0,696.0,0.0,861.0,817.0,672.0
KIT,92.0,868.0,998.0,894.0,659.0,694.0,86.0,225.0,147.0,388.0,542.0
VEGFR,1.0,980.0,844.0,769.0,202.0,12.0,993.0,631.0,181.0,930.0,590.0
FLT3,988.0,1000.0,655.0,2.0,7.0,215.0,319.0,978.0,17.0,59.0,30.0
RET,999.0,104.0,33.0,0.0,421.0,261.0,958.0,955.0,541.0,143.0,661.0
CSF1R,970.0,328.0,74.0,722.0,1000.0,359.0,637.0,13.0,153.0,749.0,795.0
MET,657.0,199.0,117.0,46.0,820.0,851.0,539.0,822.0,272.0,949.0,861.0
Proteasome,1000.0,222.0,439.0,2.0,1000.0,282.0,41.0,0.0,12.0,677.0,340.0
CAPN1,995.0,229.0,841.0,7.0,992.0,236.0,216.0,103.0,42.0,618.0,140.0
Microtubule stabiliser,997.0,153.0,28.0,106.0,996.0,822.0,178.0,0.0,730.0,938.0,988.0
SMO,978.0,559.0,30.0,156.0,1000.0,624.0,662.0,0.0,54.0,988.0,926.0
BRAF,75.0,175.0,58.0,483.0,1000.0,963.0,63.0,8.0,959.0,949.0,24.0
RAF,962.0,761.0,119.0,89.0,574.0,666.0,634.0,484.0,25.0,738.0,610.0
AURKA,39.0,655.0,777.0,513.0,2.0,585.0,672.0,920.0,947.0,394.0,579.0
AURKB,998.0,796.0,29.0,0.0,938.0,832.0,413.0,6.0,451.0,987.0,970.0
AURKC,329.0,471.0,325.0,410.0,22.0,661.0,283.0,500.0,970.0,623.0,514.0
others,998.0,34.0,18.0,21.0,858.0,61.0,981.0,208.0,943.0,135.0,34.0
ABL,73.0,979.0,817.0,740.0,133.0,739.0,603.0,274.0,772.0,701.0,993.0
ALK,958.0,832.0,252.0,51.0,8.0,14.0,955.0,1000.0,7.0,92.0,58.0
ROS1,980.0,466.0,1.0,3.0,921.0,624.0,726.0,633.0,32.0,963.0,518.0
SRC,950.0,20.0,563.0,675.0,1000.0,517.0,36.0,0.0,557.0,833.0,648.0
