,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,0.0,619.0,218.0,967.0,100.0,789.0,500.0,872.0,945.0,85.0,585.0
MTORC1,542.0,906.0,776.0,879.0,606.0,150.0,324.0,15.0,532.0,249.0,314.0
PDGFR,996.0,193.0,755.0,42.0,644.0,420.0,96.0,73.0,794.0,974.0,807.0
KIT,34.0,150.0,450.0,643.0,1.0,598.0,507.0,999.0,974.0,170.0,103.0
VEGFR,513.0,81.0,532.0,523.0,715.0,800.0,608.0,885.0,202.0,775.0,737.0
FLT3,2.0,708.0,258.0,999.0,512.0,139.0,773.0,674.0,649.0,141.0,233.0
RET,93.0,213.0,263.0,996.0,519.0,634.0,728.0,722.0,60.0,126.0,855.0
CSF1R,782.0,108.0,21.0,275.0,683.0,492.0,293.0,878.0,611.0,458.0,953.0
MET,681.0,687.0,578.0,977.0,877.0,310.0,291.0,54.0,34.0,841.0,787.0
Proteasome,907.0,824.0,979.0,8.0,465.0,650.0,314.0,12.0,911.0,516.0,352.0
CAPN1,492.0,156.0,753.0,441.0,210.0,742.0,830.0,775.0,634.0,166.0,227.0
Microtubule stabiliser,1000.0,993.0,940.0,9.0,150.0,249.0,60.0,37.0,770.0,555.0,474.0
SMO,360.0,2.0,269.0,608.0,965.0,703.0,844.0,251.0,884.0,404.0,159.0
BRAF,622.0,179.0,754.0,2.0,1000.0,976.0,886.0,42.0,201.0,851.0,515.0
RAF,52.0,434.0,837.0,549.0,14.0,872.0,239.0,976.0,987.0,775.0,293.0
AURKA,834.0,286.0,65.0,74.0,996.0,430.0,586.0,93.0,855.0,716.0,785.0
AURKB,835.0,80.0,640.0,9.0,972.0,969.0,708.0,37.0,755.0,921.0,357.0
AURKC,1000.0,752.0,721.0,0.0,999.0,129.0,88.0,0.0,748.0,874.0,738.0
others,410.0,587.0,655.0,67.0,760.0,724.0,526.0,299.0,980.0,846.0,68.0
ABL,636.0,201.0,549.0,167.0,882.0,892.0,755.0,151.0,557.0,357.0,569.0
ALK,949.0,68.0,140.0,1.0,808.0,642.0,928.0,184.0,982.0,375.0,438.0
ROS1,784.0,646.0,239.0,998.0,854.0,30.0,453.0,238.0,10.0,680.0,917.0
SRC,3.0,353.0,5.0,1000.0,88.0,442.0,373.0,989.0,131.0,170.0,957.0
KIF11,998.0,902.0,736.0,140.0,446.0,15.0,299.0,5.0,977.0,919.0,266.0
gamma-secretase,992.0,782.0,703.0,28.0,950.0,53.0,330.0,0.0,975.0,970.0,344.0
Ephrins,923.0,888.0,661.0,19.0,229.0,506.0,58.0,195.0,974.0,482.0,626.0
BCR-ABL,740.0,718.0,567.0,414.0,235.0,185.0,208.0,60.0,677.0,115.0,296.0
CDK1,481.0,56.0,44.0,660.0,551.0,180.0,778.0,728.0,923.0,421.0,740.0
CDK2,79.0,314.0,180.0,210.0,961.0,682.0,807.0,85.0,1000.0,781.0,78.0
CDK5,701.0,692.0,786.0,5.0,664.0,358.0,441.0,19.0,997.0,954.0,11.0
CDK7,473.0,475.0,178.0,989.0,860.0,87.0,542.0,276.0,9.0,652.0,913.0
CDK9,121.0,335.0,197.0,940.0,5.0,329.0,390.0,985.0,904.0,654.0,767.0
PKC,997.0,914.0,876.0,6.0,912.0,779.0,576.0,18.0,17.0,589.0,512.0
CDK4,289.0,106.0,377.0,784.0,936.0,544.0,889.0,159.0,205.0,632.0,153.0
LCK,10.0,295.0,106.0,995.0,993.0,388.0,934.0,21.0,537.0,196.0,175.0
FYN,0.0,96.0,71.0,991.0,10.0,513.0,742.0,1000.0,976.0,265.0,384.0
BMX,0.0,206.0,56.0,976.0,495.0,880.0,453.0,983.0,611.0,180.0,507.0
PLK1,987.0,972.0,743.0,98.0,65.0,67.0,129.0,52.0,946.0,517.0,534.0
PLK2,0.0,468.0,219.0,991.0,3.0,442.0,547.0,989.0,994.0,108.0,465.0
PLK3,995.0,780.0,671.0,204.0,431.0,158.0,86.0,385.0,158.0,951.0,835.0
IGF1R,327.0,609.0,209.0,223.0,654.0,902.0,563.0,750.0,66.0,755.0,843.0
IR,1000.0,958.0,995.0,58.0,924.0,111.0,300.0,0.0,108.0,819.0,68.0
ITK,99.0,177.0,323.0,950.0,93.0,235.0,588.0,805.0,993.0,249.0,131.0
RSK2,995.0,643.0,963.0,619.0,701.0,163.0,61.0,4.0,422.0,681.0,370.0
Dihydrofolate reductase (DHFR),840.0,121.0,64.0,88.0,1000.0,719.0,852.0,17.0,547.0,953.0,824.0
MTOR,76.0,611.0,168.0,1000.0,55.0,61.0,765.0,954.0,21.0,10.0,655.0
AKT1,0.0,395.0,188.0,1000.0,45.0,680.0,425.0,990.0,527.0,42.0,541.0
AKT2,5.0,625.0,352.0,998.0,49.0,603.0,287.0,981.0,389.0,21.0,386.0
