,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,623.0,414.0,444.0,1000.0,145.0,280.0,554.0,768.0,27.0,613.0,84.0
MTORC1,183.0,28.0,554.0,996.0,201.0,592.0,501.0,508.0,63.0,266.0,646.0
PDGFR,284.0,72.0,477.0,595.0,990.0,747.0,507.0,83.0,466.0,810.0,565.0
KIT,777.0,814.0,250.0,895.0,28.0,354.0,656.0,973.0,21.0,135.0,789.0
VEGFR,669.0,166.0,996.0,264.0,513.0,42.0,270.0,380.0,239.0,582.0,663.0
FLT3,795.0,239.0,643.0,850.0,69.0,111.0,855.0,898.0,8.0,208.0,432.0
RET,412.0,737.0,6.0,3.0,1000.0,995.0,44.0,1.0,993.0,766.0,673.0
CSF1R,423.0,483.0,477.0,108.0,998.0,830.0,44.0,20.0,887.0,834.0,878.0
MET,757.0,455.0,960.0,481.0,9.0,295.0,145.0,941.0,33.0,887.0,330.0
Proteasome,50.0,233.0,73.0,764.0,1000.0,961.0,390.0,2.0,958.0,62.0,837.0
CAPN1,67.0,973.0,744.0,504.0,540.0,514.0,485.0,316.0,133.0,747.0,908.0
Microtubule stabiliser,99.0,569.0,33.0,562.0,997.0,980.0,554.0,23.0,984.0,10.0,868.0
SMO,529.0,788.0,738.0,566.0,614.0,186.0,441.0,461.0,101.0,974.0,323.0
BRAF,218.0,46.0,910.0,43.0,784.0,964.0,431.0,18.0,885.0,980.0,103.0
RAF,253.0,98.0,907.0,363.0,153.0,564.0,127.0,469.0,649.0,794.0,434.0
AURKA,958.0,603.0,523.0,86.0,164.0,76.0,805.0,937.0,75.0,176.0,772.0
AURKB,36.0,354.0,996.0,963.0,567.0,105.0,786.0,166.0,270.0,51.0,736.0
AURKC,697.0,716.0,918.0,106.0,776.0,130.0,819.0,285.0,173.0,247.0,898.0
others,419.0,659.0,604.0,18.0,872.0,711.0,752.0,144.0,796.0,686.0,677.0
ABL,36.0,138.0,998.0,964.0,714.0,19.0,266.0,114.0,133.0,995.0,123.0
ALK,323.0,48.0,546.0,190.0,834.0,932.0,50.0,157.0,482.0,976.0,646.0
ROS1,38.0,278.0,993.0,454.0,8.0,787.0,560.0,685.0,734.0,751.0,505.0
SRC,65.0,387.0,8.0,996.0,995.0,486.0,283.0,41.0,609.0,430.0,750.0
KIF11,430.0,828.0,584.0,26.0,318.0,981.0,756.0,529.0,980.0,196.0,417.0
gamma-secretase,6.0,718.0,4.0,990.0,999.0,843.0,607.0,49.0,927.0,49.0,522.0
Ephrins,38.0,549.0,14.0,995.0,1000.0,852.0,720.0,13.0,667.0,68.0,682.0
BCR-ABL,843.0,251.0,61.0,834.0,480.0,778.0,343.0,513.0,95.0,307.0,585.0
CDK1,971.0,406.0,47.0,291.0,551.0,52.0,609.0,691.0,557.0,257.0,216.0
CDK2,826.0,251.0,440.0,681.0,504.0,72.0,512.0,343.0,542.0,228.0,529.0
CDK5,509.0,225.0,372.0,655.0,987.0,172.0,626.0,108.0,357.0,181.0,859.0
CDK7,987.0,843.0,40.0,43.0,972.0,504.0,706.0,334.0,902.0,0.0,702.0
CDK9,518.0,894.0,258.0,124.0,326.0,860.0,399.0,906.0,636.0,142.0,906.0
PKC,141.0,499.0,586.0,989.0,312.0,922.0,303.0,666.0,330.0,231.0,425.0
CDK4,378.0,260.0,122.0,898.0,472.0,337.0,738.0,423.0,503.0,346.0,598.0
LCK,161.0,387.0,36.0,989.0,789.0,459.0,740.0,500.0,200.0,92.0,766.0
FYN,10.0,708.0,1.0,997.0,986.0,824.0,232.0,253.0,614.0,323.0,749.0
BMX,853.0,881.0,109.0,194.0,107.0,123.0,834.0,986.0,351.0,249.0,355.0
PLK1,265.0,682.0,110.0,85.0,967.0,980.0,671.0,71.0,998.0,36.0,672.0
PLK2,111.0,530.0,103.0,727.0,956.0,931.0,487.0,26.0,990.0,76.0,853.0
PLK3,939.0,674.0,114.0,3.0,656.0,466.0,647.0,447.0,999.0,142.0,263.0
IGF1R,865.0,115.0,4.0,700.0,54.0,738.0,539.0,984.0,649.0,556.0,119.0
IR,239.0,134.0,599.0,129.0,996.0,770.0,189.0,15.0,793.0,832.0,557.0
ITK,264.0,234.0,85.0,94.0,905.0,657.0,326.0,117.0,991.0,191.0,830.0
