,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,596.0,583.0,993.0,493.0,306.0,164.0,888.0,28.0,426.0,534.0,42.0
MTORC1,893.0,505.0,543.0,286.0,832.0,71.0,646.0,87.0,331.0,549.0,600.0
PDGFR,628.0,342.0,990.0,125.0,276.0,111.0,589.0,344.0,43.0,951.0,134.0
KIT,507.0,283.0,44.0,613.0,582.0,796.0,168.0,864.0,245.0,873.0,895.0
VEGFR,451.0,230.0,424.0,506.0,151.0,872.0,980.0,304.0,980.0,323.0,991.0
FLT3,943.0,974.0,197.0,953.0,907.0,363.0,994.0,27.0,476.0,125.0,982.0
RET,958.0,755.0,345.0,37.0,560.0,277.0,518.0,69.0,140.0,962.0,190.0
CSF1R,336.0,401.0,158.0,337.0,161.0,805.0,893.0,623.0,904.0,565.0,787.0
MET,297.0,627.0,737.0,804.0,44.0,832.0,246.0,839.0,774.0,368.0,249.0
Proteasome,668.0,354.0,692.0,558.0,519.0,237.0,902.0,484.0,627.0,317.0,808.0
CAPN1,91.0,916.0,552.0,907.0,64.0,977.0,957.0,786.0,487.0,542.0,979.0
Microtubule stabiliser,444.0,757.0,707.0,209.0,617.0,407.0,575.0,409.0,198.0,668.0,770.0
SMO,169.0,301.0,508.0,787.0,133.0,889.0,814.0,602.0,878.0,160.0,487.0
BRAF,401.0,769.0,355.0,951.0,414.0,730.0,896.0,137.0,416.0,869.0,671.0
RAF,396.0,762.0,848.0,852.0,11.0,976.0,975.0,715.0,650.0,213.0,983.0
AURKA,252.0,517.0,626.0,220.0,754.0,514.0,92.0,729.0,173.0,422.0,80.0
AURKB,298.0,599.0,865.0,263.0,393.0,494.0,363.0,245.0,137.0,986.0,458.0
AURKC,521.0,720.0,504.0,679.0,312.0,685.0,728.0,448.0,845.0,106.0,911.0
others,154.0,956.0,374.0,360.0,373.0,874.0,672.0,286.0,120.0,886.0,542.0
ABL,505.0,727.0,932.0,437.0,73.0,626.0,979.0,57.0,460.0,818.0,490.0
ALK,613.0,45.0,262.0,488.0,649.0,121.0,266.0,953.0,299.0,466.0,556.0
ROS1,941.0,668.0,905.0,95.0,920.0,170.0,43.0,380.0,19.0,895.0,8.0
SRC,728.0,42.0,441.0,56.0,987.0,26.0,129.0,206.0,374.0,601.0,47.0
KIF11,695.0,974.0,897.0,62.0,813.0,519.0,672.0,24.0,21.0,784.0,287.0
gamma-secretase,432.0,736.0,381.0,461.0,215.0,531.0,947.0,165.0,544.0,897.0,826.0
Ephrins,851.0,562.0,708.0,66.0,885.0,54.0,531.0,164.0,150.0,802.0,228.0
BCR-ABL,604.0,290.0,626.0,560.0,415.0,494.0,68.0,801.0,664.0,386.0,84.0
CDK1,958.0,627.0,677.0,41.0,816.0,269.0,103.0,87.0,108.0,859.0,94.0
CDK2,576.0,923.0,975.0,108.0,440.0,751.0,785.0,104.0,36.0,668.0,135.0
CDK5,643.0,547.0,525.0,1.0,998.0,103.0,24.0,149.0,14.0,865.0,1.0
CDK7,462.0,216.0,276.0,659.0,834.0,207.0,686.0,417.0,883.0,87.0,853.0
