,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,924.0,506.0,378.0,240.0,6.0,437.0,97.0,986.0,232.0,44.0,917.0
MTORC1,177.0,487.0,130.0,966.0,511.0,835.0,254.0,367.0,155.0,994.0,742.0
PDGFR,993.0,80.0,113.0,7.0,269.0,520.0,24.0,970.0,311.0,206.0,450.0
KIT,0.0,466.0,819.0,836.0,492.0,930.0,616.0,981.0,812.0,286.0,364.0
VEGFR,0.0,367.0,986.0,989.0,998.0,777.0,994.0,205.0,643.0,227.0,670.0
FLT3,22.0,651.0,608.0,992.0,1000.0,42.0,866.0,6.0,14.0,501.0,346.0
RET,916.0,193.0,701.0,698.0,752.0,154.0,876.0,275.0,41.0,89.0,196.0
CSF1R,4.0,530.0,896.0,1000.0,1000.0,8.0,965.0,16.0,156.0,407.0,243.0
MET,828.0,184.0,421.0,111.0,311.0,261.0,0.0,1000.0,225.0,14.0,691.0
Proteasome,803.0,289.0,20.0,471.0,2.0,645.0,332.0,988.0,392.0,359.0,876.0
CAPN1,904.0,188.0,261.0,529.0,0.0,589.0,663.0,988.0,708.0,210.0,739.0
Microtubule stabiliser,846.0,282.0,207.0,290.0,978.0,457.0,531.0,33.0,160.0,73.0,654.0
SMO,833.0,386.0,778.0,661.0,1.0,756.0,127.0,992.0,251.0,131.0,556.0
BRAF,182.0,65.0,513.0,11.0,305.0,812.0,540.0,1000.0,908.0,32.0,384.0
RAF,79.0,320.0,229.0,987.0,998.0,20.0,892.0,441.0,17.0,507.0,380.0
AURKA,1000.0,956.0,3.0,0.0,999.0,179.0,0.0,0.0,407.0,832.0,272.0
AURKB,0.0,16.0,987.0,999.0,2.0,815.0,933.0,1000.0,521.0,57.0,937.0
AURKC,933.0,924.0,12.0,1.0,1000.0,364.0,98.0,0.0,302.0,906.0,219.0
others,218.0,23.0,59.0,831.0,987.0,400.0,947.0,904.0,83.0,386.0,89.0
ABL,108.0,252.0,619.0,36.0,4.0,977.0,101.0,1000.0,922.0,413.0,692.0
ALK,645.0,123.0,124.0,101.0,615.0,111.0,58.0,999.0,474.0,116.0,647.0
ROS1,883.0,148.0,540.0,69.0,21.0,932.0,54.0,796.0,945.0,356.0,840.0
SRC,996.0,18.0,645.0,15.0,16.0,844.0,10.0,997.0,563.0,27.0,537.0
KIF11,970.0,38.0,54.0,258.0,996.0,510.0,514.0,38.0,518.0,417.0,580.0
