,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,206.0,335.0,641.0,844.0,170.0,650.0,41.0,855.0,662.0,386.0,152.0
MTORC1,782.0,39.0,553.0,684.0,470.0,696.0,124.0,315.0,831.0,333.0,569.0
PDGFR,233.0,603.0,583.0,666.0,52.0,501.0,329.0,637.0,569.0,614.0,705.0
KIT,422.0,503.0,341.0,819.0,304.0,834.0,85.0,197.0,535.0,691.0,476.0
VEGFR,241.0,719.0,347.0,489.0,136.0,510.0,349.0,716.0,505.0,784.0,846.0
FLT3,371.0,971.0,23.0,539.0,52.0,453.0,402.0,566.0,18.0,988.0,146.0
RET,225.0,882.0,64.0,895.0,571.0,540.0,70.0,373.0,437.0,751.0,361.0
CSF1R,195.0,674.0,502.0,111.0,563.0,678.0,686.0,497.0,295.0,861.0,627.0
MET,651.0,804.0,121.0,332.0,855.0,540.0,676.0,378.0,541.0,663.0,906.0
Proteasome,297.0,964.0,324.0,316.0,777.0,935.0,346.0,112.0,379.0,890.0,763.0
CAPN1,867.0,569.0,790.0,69.0,714.0,723.0,919.0,284.0,360.0,858.0,854.0
Microtubule stabiliser,606.0,366.0,786.0,280.0,550.0,291.0,832.0,542.0,576.0,242.0,559.0
SMO,322.0,949.0,138.0,850.0,229.0,632.0,220.0,310.0,188.0,911.0,379.0
BRAF,375.0,825.0,689.0,185.0,202.0,696.0,691.0,340.0,166.0,865.0,846.0
RAF,310.0,229.0,684.0,117.0,703.0,202.0,929.0,804.0,712.0,507.0,595.0
AURKA,918.0,131.0,466.0,384.0,830.0,139.0,623.0,598.0,845.0,49.0,607.0
AURKB,498.0,425.0,30.0,450.0,820.0,500.0,822.0,88.0,682.0,968.0,676.0
AURKC,917.0,408.0,481.0,351.0,352.0,311.0,625.0,755.0,405.0,213.0,600.0
others,627.0,123.0,478.0,665.0,727.0,624.0,243.0,467.0,727.0,257.0,423.0
ABL,130.0,860.0,173.0,785.0,29.0,477.0,185.0,757.0,211.0,925.0,236.0
ALK,284.0,991.0,107.0,674.0,279.0,717.0,334.0,282.0,115.0,867.0,374.0
ROS1,687.0,988.0,701.0,72.0,547.0,877.0,938.0,82.0,156.0,687.0,726.0
SRC,718.0,56.0,771.0,608.0,134.0,159.0,514.0,941.0,823.0,333.0,449.0
