,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,476.0,995.0,163.0,977.0,57.0,701.0,542.0,576.0,554.0,522.0,46.0
MTORC1,12.0,776.0,313.0,1000.0,491.0,790.0,240.0,90.0,778.0,930.0,261.0
PDGFR,981.0,302.0,322.0,157.0,463.0,264.0,530.0,423.0,135.0,518.0,366.0
KIT,16.0,777.0,344.0,924.0,784.0,804.0,661.0,747.0,216.0,172.0,939.0
VEGFR,926.0,347.0,843.0,620.0,308.0,107.0,838.0,105.0,254.0,253.0,574.0
FLT3,314.0,46.0,162.0,430.0,889.0,378.0,328.0,420.0,993.0,354.0,437.0
RET,403.0,998.0,169.0,987.0,22.0,771.0,716.0,685.0,630.0,202.0,406.0
CSF1R,42.0,528.0,426.0,990.0,203.0,668.0,851.0,519.0,33.0,945.0,991.0
MET,472.0,30.0,421.0,958.0,45.0,175.0,881.0,977.0,455.0,385.0,713.0
Proteasome,177.0,576.0,906.0,506.0,127.0,925.0,35.0,601.0,755.0,688.0,433.0
CAPN1,72.0,110.0,974.0,275.0,136.0,961.0,339.0,860.0,572.0,724.0,728.0
Microtubule stabiliser,894.0,656.0,702.0,36.0,701.0,637.0,194.0,79.0,300.0,866.0,563.0
SMO,133.0,78.0,677.0,962.0,0.0,568.0,967.0,1000.0,171.0,553.0,886.0
BRAF,99.0,216.0,859.0,45.0,663.0,782.0,739.0,907.0,111.0,681.0,526.0
RAF,0.0,78.0,926.0,966.0,105.0,976.0,20.0,1000.0,455.0,637.0,657.0
AURKA,649.0,706.0,90.0,108.0,0.0,900.0,629.0,1000.0,993.0,399.0,869.0
AURKB,639.0,470.0,746.0,555.0,925.0,364.0,489.0,26.0,2.0,965.0,912.0
AURKC,493.0,211.0,540.0,567.0,999.0,267.0,593.0,1.0,20.0,990.0,710.0
others,565.0,158.0,303.0,578.0,278.0,519.0,991.0,459.0,236.0,422.0,997.0
ABL,991.0,808.0,477.0,686.0,169.0,476.0,776.0,693.0,0.0,192.0,736.0
ALK,4.0,982.0,191.0,977.0,616.0,931.0,89.0,164.0,610.0,960.0,761.0
ROS1,891.0,38.0,967.0,777.0,2.0,399.0,997.0,960.0,500.0,144.0,1000.0
SRC,912.0,998.0,67.0,469.0,689.0,943.0,160.0,48.0,443.0,562.0,136.0
KIF11,3.0,851.0,619.0,876.0,986.0,581.0,465.0,18.0,48.0,802.0,891.0
gamma-secretase,1000.0,688.0,148.0,0.0,1000.0,138.0,655.0,0.0,47.0,842.0,685.0
Ephrins,863.0,709.0,235.0,49.0,774.0,940.0,112.0,95.0,327.0,973.0,354.0
BCR-ABL,602.0,523.0,405.0,751.0,21.0,471.0,568.0,749.0,248.0,826.0,713.0
CDK1,1000.0,784.0,140.0,0.0,86.0,516.0,571.0,752.0,912.0,104.0,106.0
CDK2,999.0,723.0,9.0,6.0,1.0,981.0,692.0,791.0,1000.0,124.0,927.0
CDK5,561.0,610.0,84.0,92.0,507.0,742.0,692.0,394.0,905.0,669.0,786.0
CDK7,772.0,787.0,306.0,125.0,197.0,530.0,335.0,881.0,760.0,79.0,80.0
CDK9,251.0,386.0,406.0,251.0,885.0,671.0,416.0,431.0,245.0,371.0,867.0
PKC,813.0,179.0,949.0,395.0,978.0,320.0,152.0,7.0,29.0,894.0,154.0
CDK4,337.0,759.0,65.0,626.0,994.0,722.0,248.0,2.0,121.0,962.0,383.0
LCK,366.0,437.0,114.0,670.0,293.0,731.0,392.0,159.0,971.0,812.0,915.0
FYN,687.0,798.0,265.0,600.0,29.0,966.0,72.0,461.0,725.0,925.0,599.0
BMX,25.0,730.0,35.0,749.0,991.0,706.0,56.0,138.0,825.0,488.0,194.0
PLK1,92.0,656.0,718.0,800.0,378.0,691.0,589.0,184.0,258.0,795.0,909.0
PLK2,2.0,989.0,598.0,999.0,383.0,946.0,243.0,186.0,538.0,461.0,550.0
PLK3,222.0,197.0,968.0,123.0,4.0,443.0,294.0,996.0,719.0,137.0,851.0
IGF1R,757.0,586.0,811.0,504.0,33.0,615.0,431.0,741.0,743.0,581.0,233.0
IR,0.0,348.0,816.0,999.0,839.0,459.0,246.0,79.0,402.0,976.0,128.0
ITK,339.0,385.0,457.0,879.0,652.0,732.0,771.0,15.0,685.0,922.0,937.0
RSK2,1000.0,0.0,373.0,0.0,0.0,270.0,983.0,931.0,917.0,960.0,909.0
Dihydrofolate reductase (DHFR),709.0,4.0,387.0,3.0,51.0,320.0,218.0,987.0,984.0,832.0,488.0
MTOR,313.0,850.0,726.0,963.0,972.0,557.0,24.0,5.0,152.0,748.0,94.0
AKT1,7.0,855.0,360.0,1000.0,1.0,108.0,177.0,998.0,997.0,98.0,369.0
AKT2,872.0,218.0,163.0,584.0,864.0,131.0,382.0,10.0,748.0,823.0,763.0
AKT3,722.0,887.0,31.0,75.0,443.0,983.0,643.0,64.0,775.0,932.0,875.0
HDAC1,15.0,12.0,997.0,897.0,16.0,604.0,677.0,979.0,459.0,519.0,560.0
HDAC3,15.0,585.0,303.0,979.0,15.0,838.0,113.0,699.0,970.0,687.0,754.0
IKK,995.0,22.0,609.0,418.0,1.0,653.0,701.0,983.0,783.0,550.0,817.0
PI3Kbeta,34.0,961.0,103.0,1000.0,1000.0,617.0,78.0,0.0,4.0,696.0,732.0
ERK5,729.0,84.0,167.0,18.0,1000.0,204.0,386.0,384.0,313.0,503.0,420.0
BET,1000.0,219.0,356.0,39.0,307.0,606.0,500.0,746.0,258.0,792.0,38.0
EIF2A,15.0,243.0,795.0,975.0,7.0,186.0,785.0,903.0,800.0,200.0,998.0
ERBB2,195.0,981.0,477.0,999.0,18.0,509.0,841.0,573.0,362.0,424.0,214.0
ROCK1,895.0,48.0,943.0,407.0,77.0,592.0,237.0,480.0,457.0,867.0,894.0
ROCK2,756.0,338.0,479.0,341.0,168.0,338.0,168.0,729.0,973.0,29.0,521.0
Anthracycline,1000.0,805.0,457.0,11.0,986.0,127.0,875.0,0.0,175.0,743.0,612.0
TOP2,971.0,877.0,506.0,181.0,1000.0,25.0,914.0,0.0,17.0,264.0,947.0
Pyrimidine antimetabolite,15.0,841.0,771.0,579.0,975.0,53.0,733.0,54.0,319.0,710.0,769.0
DNA crosslinker,999.0,476.0,676.0,16.0,309.0,55.0,984.0,93.0,288.0,646.0,881.0
Microtubule destabiliser,1000.0,732.0,453.0,4.0,847.0,304.0,380.0,46.0,97.0,555.0,334.0
SHP-1 (PTPN6),125.0,25.0,896.0,648.0,1.0,94.0,992.0,1000.0,604.0,213.0,893.0
