,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,417.0,334.0,585.0,695.0,751.0,886.0,180.0,151.0,507.0,454.0,905.0
MTORC1,330.0,956.0,413.0,155.0,5.0,708.0,305.0,933.0,868.0,729.0,710.0
PDGFR,923.0,558.0,912.0,3.0,33.0,366.0,827.0,952.0,712.0,219.0,40.0
KIT,643.0,464.0,943.0,926.0,792.0,921.0,451.0,3.0,439.0,225.0,415.0
VEGFR,136.0,913.0,53.0,412.0,27.0,816.0,492.0,998.0,300.0,936.0,915.0
FLT3,0.0,545.0,644.0,1000.0,998.0,934.0,112.0,111.0,695.0,826.0,555.0
RET,8.0,246.0,947.0,970.0,939.0,459.0,547.0,23.0,841.0,363.0,419.0
CSF1R,1000.0,171.0,714.0,5.0,113.0,408.0,607.0,33.0,739.0,580.0,210.0
MET,981.0,182.0,379.0,46.0,944.0,872.0,884.0,39.0,634.0,152.0,319.0
Proteasome,802.0,580.0,1000.0,42.0,6.0,267.0,679.0,902.0,162.0,212.0,316.0
CAPN1,723.0,28.0,84.0,834.0,536.0,35.0,682.0,545.0,818.0,13.0,621.0
Microtubule stabiliser,527.0,677.0,958.0,18.0,106.0,514.0,578.0,920.0,255.0,834.0,152.0
SMO,312.0,53.0,949.0,852.0,868.0,402.0,407.0,41.0,568.0,243.0,93.0
BRAF,50.0,185.0,20.0,947.0,883.0,878.0,891.0,365.0,405.0,131.0,993.0
RAF,724.0,154.0,689.0,92.0,470.0,773.0,980.0,691.0,622.0,13.0,311.0
AURKA,73.0,288.0,52.0,920.0,160.0,30.0,369.0,964.0,765.0,582.0,930.0
AURKB,61.0,778.0,393.0,337.0,188.0,776.0,722.0,995.0,36.0,650.0,575.0
AURKC,402.0,395.0,805.0,443.0,12.0,41.0,279.0,771.0,647.0,683.0,735.0
others,916.0,649.0,416.0,115.0,33.0,29.0,735.0,555.0,665.0,163.0,452.0
ABL,1.0,91.0,246.0,997.0,18.0,855.0,815.0,1000.0,155.0,487.0,843.0
ALK,325.0,328.0,125.0,995.0,994.0,96.0,152.0,5.0,611.0,710.0,681.0
ROS1,78.0,162.0,953.0,196.0,0.0,625.0,910.0,998.0,31.0,333.0,745.0
SRC,1000.0,173.0,870.0,15.0,689.0,338.0,704.0,3.0,399.0,189.0,621.0
KIF11,672.0,442.0,995.0,7.0,318.0,664.0,674.0,714.0,430.0,351.0,38.0
gamma-secretase,947.0,198.0,989.0,55.0,28.0,149.0,415.0,906.0,209.0,159.0,241.0
Ephrins,948.0,646.0,961.0,99.0,29.0,458.0,171.0,422.0,604.0,857.0,102.0
BCR-ABL,698.0,283.0,992.0,523.0,62.0,441.0,571.0,449.0,108.0,633.0,76.0
CDK1,46.0,653.0,82.0,993.0,491.0,671.0,546.0,683.0,236.0,241.0,994.0
CDK2,321.0,123.0,289.0,975.0,14.0,1.0,185.0,870.0,409.0,356.0,911.0
CDK5,837.0,254.0,891.0,198.0,136.0,30.0,762.0,337.0,856.0,14.0,412.0
CDK7,321.0,719.0,576.0,42.0,133.0,892.0,872.0,998.0,518.0,444.0,217.0
CDK9,1000.0,529.0,870.0,1.0,689.0,889.0,482.0,10.0,997.0,208.0,47.0
PKC,974.0,891.0,982.0,8.0,113.0,981.0,563.0,418.0,182.0,831.0,112.0
CDK4,0.0,302.0,117.0,1000.0,719.0,727.0,578.0,248.0,727.0,103.0,991.0
LCK,952.0,170.0,637.0,15.0,330.0,288.0,820.0,690.0,937.0,44.0,334.0
FYN,1000.0,308.0,965.0,2.0,948.0,883.0,763.0,5.0,565.0,302.0,13.0
BMX,216.0,282.0,20.0,969.0,402.0,66.0,284.0,980.0,362.0,321.0,897.0
PLK1,950.0,742.0,996.0,5.0,22.0,486.0,246.0,846.0,473.0,681.0,10.0
PLK2,985.0,99.0,809.0,326.0,298.0,10.0,331.0,335.0,202.0,105.0,432.0
PLK3,0.0,569.0,36.0,914.0,852.0,459.0,801.0,992.0,501.0,518.0,605.0
IGF1R,842.0,514.0,858.0,715.0,938.0,162.0,374.0,0.0,762.0,780.0,127.0
IR,789.0,707.0,885.0,114.0,804.0,661.0,751.0,110.0,85.0,627.0,414.0
ITK,998.0,214.0,616.0,190.0,937.0,139.0,578.0,26.0,656.0,105.0,160.0
RSK2,996.0,166.0,995.0,37.0,42.0,209.0,312.0,400.0,420.0,81.0,319.0
Dihydrofolate reductase (DHFR),2.0,340.0,303.0,996.0,605.0,562.0,297.0,5.0,979.0,664.0,992.0
MTOR,39.0,979.0,712.0,599.0,203.0,747.0,322.0,714.0,321.0,768.0,814.0
AKT1,685.0,728.0,917.0,634.0,1000.0,579.0,126.0,0.0,393.0,190.0,459.0
AKT2,216.0,567.0,862.0,904.0,891.0,157.0,305.0,139.0,463.0,227.0,720.0
AKT3,277.0,83.0,96.0,884.0,96.0,75.0,515.0,1000.0,215.0,706.0,266.0
HDAC1,662.0,267.0,453.0,685.0,425.0,37.0,726.0,958.0,184.0,524.0,42.0
HDAC3,22.0,119.0,428.0,997.0,116.0,8.0,217.0,510.0,599.0,455.0,983.0
IKK,231.0,99.0,562.0,980.0,865.0,227.0,236.0,294.0,29.0,741.0,888.0
PI3Kbeta,923.0,501.0,355.0,270.0,982.0,939.0,214.0,5.0,487.0,878.0,155.0
ERK5,475.0,396.0,290.0,92.0,493.0,960.0,652.0,187.0,967.0,415.0,655.0
BET,756.0,247.0,601.0,383.0,68.0,168.0,168.0,171.0,832.0,969.0,415.0
EIF2A,567.0,189.0,619.0,101.0,346.0,896.0,982.0,942.0,830.0,14.0,135.0
ERBB2,226.0,439.0,367.0,958.0,961.0,836.0,453.0,820.0,270.0,664.0,7.0
ROCK1,81.0,8.0,182.0,751.0,418.0,30.0,955.0,915.0,484.0,96.0,857.0
ROCK2,68.0,115.0,60.0,938.0,882.0,35.0,730.0,844.0,417.0,204.0,881.0
Anthracycline,750.0,863.0,429.0,491.0,102.0,333.0,137.0,490.0,341.0,961.0,549.0
TOP2,598.0,806.0,110.0,795.0,406.0,410.0,66.0,304.0,684.0,938.0,622.0
Pyrimidine antimetabolite,413.0,733.0,557.0,441.0,28.0,504.0,153.0,852.0,571.0,972.0,482.0
DNA crosslinker,201.0,643.0,104.0,952.0,395.0,535.0,109.0,506.0,296.0,970.0,863.0
Microtubule destabiliser,110.0,928.0,891.0,152.0,23.0,431.0,453.0,987.0,209.0,765.0,504.0
SHP-1 (PTPN6),360.0,171.0,8.0,944.0,450.0,317.0,510.0,995.0,519.0,150.0,642.0
SHP-2 (PTPN11),312.0,141.0,446.0,971.0,968.0,480.0,550.0,7.0,447.0,253.0,435.0
AR,514.0,180.0,927.0,951.0,792.0,769.0,806.0,36.0,442.0,222.0,239.0
ARFGAP1,787.0,167.0,439.0,817.0,552.0,21.0,195.0,287.0,709.0,486.0,331.0
ATM,310.0,320.0,11.0,798.0,166.0,249.0,465.0,970.0,717.0,92.0,919.0
PPK,938.0,332.0,353.0,24.0,531.0,214.0,753.0,626.0,927.0,347.0,129.0
FLT1,762.0,237.0,34.0,59.0,723.0,250.0,916.0,984.0,452.0,88.0,632.0
c-FGR,967.0,665.0,148.0,306.0,451.0,226.0,85.0,82.0,905.0,940.0,529.0
GSK3A,980.0,805.0,660.0,10.0,865.0,996.0,240.0,33.0,510.0,567.0,340.0
GSK3B,258.0,152.0,930.0,682.0,615.0,746.0,835.0,357.0,123.0,330.0,603.0
PDGFRA,94.0,894.0,994.0,373.0,139.0,992.0,876.0,478.0,382.0,476.0,266.0
VEGFR2,745.0,524.0,99.0,672.0,633.0,174.0,613.0,25.0,880.0,400.0,765.0
FGFR1,393.0,680.0,13.0,423.0,36.0,134.0,799.0,1000.0,87.0,378.0,871.0
TIE2,995.0,766.0,18.0,11.0,80.0,233.0,334.0,898.0,521.0,848.0,576.0
JNK2,938.0,897.0,544.0,44.0,917.0,986.0,860.0,3.0,860.0,378.0,237.0
JNK3,929.0,644.0,529.0,156.0,55.0,262.0,475.0,970.0,574.0,594.0,199.0
FAK,876.0,752.0,569.0,175.0,245.0,651.0,361.0,50.0,814.0,967.0,203.0
FAK2,813.0,353.0,774.0,164.0,215.0,244.0,788.0,855.0,555.0,623.0,42.0
BRD2,328.0,332.0,14.0,569.0,617.0,174.0,425.0,703.0,860.0,885.0,412.0
BRD3,743.0,234.0,330.0,209.0,199.0,58.0,771.0,982.0,719.0,306.0,191.0
BRD4,377.0,290.0,909.0,710.0,410.0,20.0,633.0,194.0,127.0,732.0,514.0
