,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,885.0,667.0,945.0,479.0,67.0,529.0,580.0,571.0,377.0,9.0,967.0
MTORC1,310.0,551.0,695.0,992.0,31.0,93.0,54.0,782.0,170.0,616.0,870.0
PDGFR,0.0,831.0,623.0,737.0,716.0,257.0,573.0,253.0,314.0,763.0,964.0
KIT,627.0,571.0,978.0,508.0,113.0,326.0,830.0,201.0,207.0,633.0,205.0
VEGFR,814.0,406.0,338.0,208.0,992.0,576.0,149.0,84.0,914.0,175.0,852.0
FLT3,666.0,262.0,940.0,538.0,471.0,317.0,490.0,439.0,259.0,55.0,872.0
RET,120.0,469.0,649.0,989.0,15.0,826.0,644.0,985.0,594.0,68.0,927.0
CSF1R,146.0,177.0,643.0,659.0,633.0,850.0,988.0,154.0,584.0,326.0,667.0
MET,243.0,983.0,893.0,758.0,358.0,808.0,441.0,0.0,399.0,626.0,945.0
Proteasome,9.0,979.0,512.0,422.0,890.0,58.0,674.0,26.0,765.0,916.0,511.0
CAPN1,82.0,627.0,999.0,950.0,131.0,119.0,752.0,669.0,708.0,441.0,270.0
Microtubule stabiliser,429.0,753.0,576.0,133.0,969.0,377.0,333.0,12.0,100.0,272.0,968.0
SMO,571.0,288.0,949.0,999.0,102.0,205.0,88.0,129.0,439.0,157.0,998.0
BRAF,11.0,949.0,214.0,554.0,5.0,917.0,809.0,907.0,777.0,866.0,886.0
RAF,3.0,907.0,817.0,957.0,7.0,709.0,616.0,146.0,895.0,996.0,598.0
AURKA,755.0,437.0,28.0,0.0,1000.0,144.0,724.0,410.0,55.0,806.0,8.0
AURKB,460.0,682.0,669.0,995.0,119.0,477.0,10.0,766.0,726.0,30.0,992.0
AURKC,241.0,403.0,33.0,2.0,1000.0,232.0,846.0,727.0,139.0,983.0,47.0
others,125.0,874.0,574.0,221.0,744.0,710.0,871.0,63.0,301.0,855.0,108.0
ABL,680.0,793.0,980.0,839.0,0.0,84.0,174.0,910.0,28.0,67.0,773.0
ALK,986.0,9.0,484.0,326.0,870.0,360.0,349.0,967.0,278.0,5.0,745.0
ROS1,28.0,595.0,91.0,900.0,11.0,736.0,531.0,385.0,927.0,997.0,651.0
SRC,67.0,808.0,662.0,983.0,4.0,308.0,187.0,648.0,32.0,893.0,964.0
KIF11,89.0,577.0,421.0,495.0,613.0,401.0,513.0,374.0,228.0,783.0,804.0
gamma-secretase,250.0,907.0,450.0,742.0,794.0,181.0,464.0,244.0,496.0,342.0,701.0
Ephrins,56.0,832.0,648.0,971.0,2.0,204.0,205.0,935.0,46.0,835.0,840.0
BCR-ABL,349.0,309.0,999.0,967.0,71.0,472.0,380.0,150.0,399.0,152.0,938.0
CDK1,300.0,870.0,713.0,879.0,305.0,290.0,466.0,555.0,741.0,27.0,909.0
CDK2,862.0,31.0,659.0,794.0,642.0,394.0,625.0,960.0,114.0,12.0,523.0
CDK5,920.0,42.0,278.0,231.0,850.0,98.0,463.0,867.0,231.0,474.0,252.0
CDK7,938.0,387.0,403.0,297.0,82.0,621.0,169.0,828.0,403.0,754.0,136.0
CDK9,773.0,613.0,660.0,51.0,604.0,806.0,240.0,6.0,640.0,997.0,52.0
PKC,4.0,956.0,516.0,614.0,923.0,91.0,591.0,19.0,307.0,841.0,976.0
CDK4,612.0,132.0,310.0,943.0,391.0,248.0,20.0,705.0,134.0,345.0,879.0
LCK,355.0,539.0,555.0,988.0,1.0,107.0,177.0,899.0,6.0,593.0,806.0
FYN,169.0,829.0,832.0,894.0,25.0,275.0,420.0,134.0,20.0,702.0,951.0
BMX,423.0,954.0,998.0,753.0,7.0,477.0,85.0,558.0,68.0,20.0,949.0
PLK1,189.0,786.0,329.0,119.0,946.0,120.0,475.0,125.0,170.0,698.0,798.0
PLK2,76.0,857.0,756.0,754.0,409.0,430.0,675.0,839.0,13.0,160.0,850.0
PLK3,858.0,595.0,396.0,9.0,991.0,141.0,265.0,0.0,740.0,974.0,68.0
IGF1R,0.0,593.0,174.0,974.0,568.0,991.0,627.0,898.0,763.0,223.0,994.0
IR,372.0,203.0,501.0,787.0,885.0,717.0,711.0,516.0,667.0,13.0,967.0
ITK,15.0,774.0,266.0,859.0,982.0,744.0,101.0,778.0,778.0,387.0,893.0
RSK2,174.0,691.0,793.0,754.0,295.0,561.0,119.0,125.0,357.0,742.0,939.0
Dihydrofolate reductase (DHFR),650.0,651.0,985.0,450.0,306.0,782.0,819.0,199.0,516.0,13.0,715.0
MTOR,558.0,915.0,491.0,592.0,701.0,78.0,49.0,241.0,344.0,375.0,796.0
AKT1,27.0,925.0,631.0,1000.0,2.0,361.0,36.0,993.0,20.0,562.0,931.0
AKT2,608.0,589.0,592.0,386.0,544.0,97.0,540.0,972.0,1.0,3.0,652.0
AKT3,77.0,563.0,389.0,249.0,409.0,810.0,926.0,109.0,501.0,984.0,259.0
HDAC1,806.0,6.0,297.0,706.0,31.0,475.0,406.0,941.0,76.0,943.0,212.0
HDAC3,377.0,695.0,865.0,308.0,989.0,374.0,863.0,40.0,725.0,45.0,768.0
IKK,701.0,727.0,1000.0,937.0,26.0,634.0,630.0,21.0,458.0,3.0,968.0
PI3Kbeta,27.0,711.0,786.0,988.0,5.0,205.0,316.0,986.0,33.0,607.0,683.0
ERK5,15.0,455.0,194.0,809.0,833.0,950.0,732.0,135.0,307.0,916.0,437.0
BET,274.0,60.0,563.0,988.0,565.0,910.0,163.0,296.0,245.0,474.0,871.0
EIF2A,21.0,638.0,722.0,999.0,183.0,322.0,48.0,127.0,871.0,970.0,893.0
ERBB2,644.0,280.0,984.0,945.0,162.0,633.0,162.0,51.0,373.0,510.0,695.0
ROCK1,739.0,285.0,141.0,527.0,993.0,78.0,523.0,749.0,262.0,383.0,25.0
ROCK2,1000.0,100.0,199.0,80.0,979.0,113.0,209.0,536.0,673.0,129.0,9.0
Anthracycline,597.0,710.0,124.0,2.0,959.0,528.0,981.0,339.0,208.0,401.0,300.0
TOP2,269.0,276.0,266.0,52.0,993.0,486.0,986.0,270.0,674.0,350.0,514.0
Pyrimidine antimetabolite,299.0,499.0,376.0,17.0,991.0,513.0,981.0,108.0,635.0,350.0,591.0
DNA crosslinker,452.0,764.0,83.0,5.0,976.0,612.0,992.0,406.0,793.0,335.0,336.0
Microtubule destabiliser,821.0,551.0,426.0,131.0,984.0,339.0,407.0,32.0,209.0,85.0,953.0
SHP-1 (PTPN6),425.0,576.0,932.0,815.0,109.0,597.0,416.0,279.0,716.0,622.0,829.0
SHP-2 (PTPN11),446.0,804.0,999.0,470.0,514.0,406.0,862.0,47.0,513.0,10.0,685.0
AR,369.0,872.0,992.0,879.0,291.0,605.0,275.0,29.0,799.0,129.0,957.0
ARFGAP1,38.0,323.0,411.0,596.0,986.0,175.0,102.0,324.0,756.0,988.0,455.0
ATM,740.0,195.0,968.0,756.0,993.0,231.0,555.0,4.0,279.0,153.0,384.0
PPK,223.0,91.0,285.0,919.0,936.0,493.0,626.0,808.0,773.0,635.0,230.0
FLT1,41.0,151.0,583.0,896.0,422.0,888.0,677.0,763.0,356.0,745.0,460.0
c-FGR,257.0,50.0,640.0,954.0,576.0,489.0,383.0,933.0,708.0,467.0,568.0
GSK3A,214.0,899.0,985.0,617.0,820.0,368.0,357.0,3.0,198.0,336.0,946.0
