,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,46.0,299.0,789.0,794.0,332.0,909.0,547.0,163.0,911.0,844.0,79.0
MTORC1,865.0,564.0,648.0,51.0,148.0,234.0,231.0,943.0,58.0,755.0,374.0
PDGFR,997.0,444.0,154.0,86.0,758.0,68.0,318.0,178.0,751.0,268.0,345.0
KIT,924.0,671.0,966.0,39.0,724.0,827.0,393.0,565.0,27.0,209.0,449.0
VEGFR,594.0,496.0,272.0,886.0,592.0,115.0,557.0,12.0,990.0,254.0,292.0
FLT3,385.0,985.0,70.0,204.0,974.0,270.0,643.0,35.0,39.0,904.0,887.0
RET,117.0,639.0,596.0,910.0,695.0,178.0,556.0,13.0,956.0,629.0,979.0
CSF1R,143.0,818.0,272.0,996.0,185.0,100.0,579.0,582.0,631.0,651.0,996.0
MET,642.0,560.0,11.0,162.0,982.0,979.0,636.0,52.0,733.0,389.0,166.0
Proteasome,78.0,864.0,883.0,904.0,124.0,11.0,507.0,201.0,856.0,806.0,933.0
CAPN1,495.0,658.0,536.0,682.0,914.0,907.0,698.0,4.0,472.0,615.0,162.0
Microtubule stabiliser,436.0,523.0,642.0,459.0,165.0,140.0,248.0,970.0,201.0,765.0,676.0
SMO,749.0,500.0,478.0,416.0,311.0,676.0,657.0,685.0,495.0,460.0,760.0
BRAF,628.0,428.0,971.0,77.0,119.0,550.0,891.0,714.0,595.0,468.0,561.0
RAF,690.0,931.0,339.0,867.0,44.0,28.0,485.0,889.0,514.0,879.0,913.0
AURKA,995.0,100.0,177.0,19.0,266.0,848.0,95.0,994.0,63.0,665.0,205.0
AURKB,811.0,320.0,995.0,534.0,25.0,42.0,640.0,824.0,340.0,484.0,925.0
AURKC,948.0,429.0,11.0,127.0,629.0,397.0,89.0,937.0,380.0,653.0,30.0
others,517.0,572.0,59.0,537.0,618.0,545.0,254.0,867.0,32.0,615.0,675.0
ABL,909.0,329.0,987.0,315.0,97.0,117.0,690.0,575.0,688.0,334.0,140.0
ALK,496.0,780.0,84.0,797.0,362.0,188.0,20.0,831.0,646.0,768.0,902.0
ROS1,676.0,787.0,839.0,825.0,28.0,103.0,941.0,815.0,404.0,898.0,980.0
SRC,523.0,177.0,159.0,659.0,357.0,469.0,357.0,922.0,358.0,831.0,556.0
KIF11,599.0,354.0,582.0,164.0,614.0,428.0,646.0,886.0,535.0,252.0,513.0
gamma-secretase,470.0,679.0,883.0,754.0,10.0,49.0,207.0,787.0,631.0,721.0,844.0
Ephrins,400.0,566.0,105.0,731.0,271.0,57.0,105.0,955.0,470.0,855.0,716.0
BCR-ABL,52.0,535.0,160.0,594.0,392.0,582.0,244.0,404.0,930.0,832.0,286.0
