,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,59.0,864.0,45.0,891.0,954.0,807.0,582.0,73.0,742.0,705.0,370.0
MTORC1,909.0,694.0,107.0,23.0,782.0,783.0,514.0,703.0,537.0,139.0,362.0
PDGFR,111.0,856.0,852.0,837.0,450.0,455.0,256.0,810.0,129.0,732.0,622.0
KIT,999.0,738.0,681.0,1.0,478.0,77.0,387.0,759.0,488.0,545.0,281.0
VEGFR,6.0,860.0,801.0,824.0,499.0,756.0,453.0,396.0,795.0,960.0,273.0
FLT3,920.0,147.0,275.0,30.0,860.0,412.0,678.0,471.0,721.0,913.0,511.0
RET,7.0,209.0,290.0,961.0,202.0,997.0,459.0,665.0,950.0,552.0,140.0
CSF1R,790.0,273.0,397.0,461.0,885.0,757.0,514.0,45.0,756.0,298.0,330.0
MET,176.0,87.0,870.0,845.0,30.0,482.0,739.0,947.0,692.0,179.0,846.0
Proteasome,243.0,671.0,365.0,643.0,217.0,479.0,368.0,854.0,42.0,609.0,814.0
CAPN1,347.0,726.0,536.0,331.0,287.0,613.0,470.0,785.0,183.0,442.0,504.0
Microtubule stabiliser,443.0,527.0,280.0,662.0,591.0,576.0,370.0,363.0,177.0,739.0,709.0
SMO,296.0,453.0,809.0,147.0,20.0,623.0,555.0,936.0,739.0,658.0,519.0
BRAF,91.0,642.0,801.0,620.0,192.0,836.0,284.0,786.0,232.0,386.0,419.0
RAF,838.0,222.0,21.0,698.0,997.0,801.0,385.0,10.0,819.0,346.0,136.0
AURKA,986.0,46.0,772.0,310.0,629.0,232.0,295.0,84.0,899.0,75.0,501.0
AURKB,788.0,799.0,744.0,335.0,180.0,121.0,422.0,941.0,33.0,183.0,851.0
AURKC,526.0,271.0,322.0,259.0,377.0,869.0,426.0,572.0,927.0,291.0,547.0
others,996.0,105.0,487.0,33.0,986.0,82.0,766.0,6.0,685.0,658.0,250.0
ABL,332.0,968.0,961.0,693.0,342.0,45.0,254.0,700.0,91.0,793.0,773.0
ALK,165.0,333.0,648.0,852.0,146.0,903.0,290.0,765.0,814.0,516.0,399.0
ROS1,184.0,774.0,826.0,920.0,51.0,521.0,133.0,709.0,625.0,737.0,680.0
SRC,120.0,677.0,550.0,992.0,375.0,461.0,479.0,71.0,869.0,699.0,542.0
KIF11,320.0,373.0,170.0,636.0,897.0,803.0,371.0,231.0,349.0,500.0,592.0
gamma-secretase,842.0,455.0,652.0,151.0,556.0,145.0,496.0,603.0,347.0,554.0,848.0
Ephrins,242.0,580.0,214.0,820.0,748.0,537.0,439.0,231.0,268.0,541.0,624.0
BCR-ABL,890.0,455.0,126.0,715.0,992.0,556.0,321.0,6.0,885.0,833.0,251.0
CDK1,410.0,242.0,842.0,576.0,10.0,242.0,903.0,785.0,682.0,815.0,828.0
CDK2,983.0,67.0,623.0,130.0,752.0,171.0,804.0,61.0,927.0,569.0,425.0
CDK5,505.0,265.0,346.0,883.0,828.0,485.0,800.0,1.0,900.0,404.0,426.0
CDK7,905.0,86.0,683.0,358.0,49.0,287.0,746.0,785.0,850.0,276.0,684.0
CDK9,817.0,483.0,477.0,106.0,18.0,348.0,835.0,1000.0,452.0,307.0,514.0
PKC,54.0,890.0,179.0,405.0,941.0,450.0,417.0,604.0,103.0,850.0,534.0
CDK4,6.0,944.0,470.0,928.0,298.0,967.0,270.0,740.0,165.0,393.0,148.0
LCK,721.0,382.0,175.0,344.0,978.0,537.0,641.0,8.0,848.0,339.0,562.0
FYN,66.0,534.0,145.0,973.0,979.0,713.0,243.0,7.0,294.0,604.0,658.0
BMX,969.0,528.0,211.0,46.0,983.0,335.0,474.0,150.0,218.0,350.0,611.0
PLK1,463.0,547.0,258.0,751.0,666.0,510.0,360.0,368.0,224.0,510.0,597.0
PLK2,477.0,644.0,560.0,745.0,450.0,215.0,317.0,682.0,351.0,749.0,875.0
PLK3,395.0,164.0,632.0,858.0,7.0,639.0,808.0,886.0,973.0,190.0,528.0
IGF1R,64.0,716.0,253.0,544.0,872.0,857.0,550.0,54.0,927.0,765.0,624.0
IR,45.0,299.0,815.0,441.0,961.0,771.0,514.0,5.0,656.0,476.0,836.0
ITK,971.0,249.0,177.0,181.0,371.0,845.0,682.0,770.0,254.0,145.0,383.0
RSK2,256.0,768.0,849.0,428.0,268.0,341.0,396.0,650.0,159.0,406.0,539.0
Dihydrofolate reductase (DHFR),286.0,500.0,913.0,234.0,3.0,475.0,575.0,998.0,124.0,405.0,744.0
MTOR,324.0,857.0,658.0,273.0,17.0,290.0,174.0,995.0,17.0,690.0,907.0
AKT1,11.0,959.0,200.0,912.0,361.0,605.0,254.0,800.0,277.0,632.0,414.0
AKT2,0.0,986.0,771.0,957.0,473.0,534.0,461.0,631.0,206.0,571.0,801.0
AKT3,995.0,25.0,578.0,220.0,984.0,79.0,748.0,7.0,928.0,218.0,523.0
HDAC1,444.0,307.0,586.0,605.0,1.0,426.0,413.0,999.0,606.0,206.0,754.0
HDAC3,615.0,638.0,465.0,692.0,941.0,558.0,236.0,24.0,692.0,718.0,405.0
IKK,469.0,990.0,562.0,63.0,768.0,111.0,524.0,635.0,61.0,738.0,675.0
PI3Kbeta,395.0,886.0,98.0,121.0,986.0,630.0,716.0,298.0,54.0,737.0,461.0
ERK5,101.0,121.0,696.0,913.0,157.0,702.0,768.0,564.0,954.0,134.0,420.0
BET,776.0,399.0,349.0,140.0,979.0,87.0,502.0,45.0,668.0,841.0,522.0
EIF2A,636.0,287.0,753.0,82.0,166.0,618.0,717.0,781.0,858.0,375.0,317.0
ERBB2,130.0,511.0,122.0,328.0,508.0,907.0,726.0,830.0,467.0,914.0,305.0
ROCK1,848.0,504.0,889.0,136.0,347.0,149.0,366.0,953.0,336.0,173.0,220.0
ROCK2,974.0,92.0,616.0,21.0,37.0,671.0,484.0,980.0,803.0,490.0,74.0
Anthracycline,508.0,487.0,458.0,712.0,563.0,668.0,330.0,295.0,360.0,580.0,488.0
TOP2,932.0,479.0,280.0,284.0,937.0,662.0,193.0,87.0,333.0,637.0,153.0
Pyrimidine antimetabolite,389.0,526.0,580.0,787.0,465.0,557.0,352.0,397.0,364.0,544.0,526.0
DNA crosslinker,291.0,915.0,605.0,784.0,332.0,496.0,328.0,539.0,233.0,644.0,474.0
Microtubule destabiliser,417.0,947.0,157.0,549.0,953.0,309.0,269.0,112.0,72.0,853.0,789.0
SHP-1 (PTPN6),493.0,359.0,668.0,717.0,730.0,480.0,336.0,343.0,170.0,895.0,381.0
SHP-2 (PTPN11),806.0,37.0,460.0,266.0,156.0,687.0,595.0,798.0,372.0,799.0,422.0
AR,913.0,767.0,464.0,3.0,916.0,297.0,660.0,453.0,221.0,854.0,390.0
ARFGAP1,763.0,337.0,611.0,493.0,497.0,560.0,326.0,434.0,504.0,388.0,247.0
ATM,949.0,395.0,566.0,321.0,306.0,15.0,901.0,726.0,632.0,31.0,693.0
PPK,988.0,431.0,308.0,132.0,975.0,108.0,639.0,12.0,556.0,377.0,456.0
FLT1,879.0,375.0,160.0,359.0,1000.0,236.0,695.0,1.0,717.0,423.0,500.0
c-FGR,995.0,477.0,605.0,81.0,929.0,79.0,671.0,29.0,448.0,291.0,627.0
GSK3A,265.0,924.0,688.0,526.0,501.0,78.0,811.0,520.0,67.0,625.0,891.0
GSK3B,403.0,794.0,731.0,573.0,382.0,83.0,631.0,829.0,84.0,870.0,815.0
