,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,188.0,589.0,184.0,1000.0,298.0,91.0,253.0,970.0,632.0,551.0,741.0
MTORC1,160.0,625.0,617.0,66.0,11.0,959.0,159.0,852.0,639.0,808.0,817.0
PDGFR,737.0,314.0,366.0,60.0,930.0,462.0,196.0,122.0,812.0,998.0,99.0
KIT,21.0,94.0,274.0,993.0,952.0,700.0,800.0,585.0,712.0,102.0,242.0
VEGFR,863.0,994.0,500.0,815.0,999.0,142.0,331.0,0.0,51.0,154.0,666.0
FLT3,840.0,65.0,112.0,20.0,403.0,783.0,748.0,934.0,4.0,405.0,12.0
RET,957.0,514.0,13.0,2.0,87.0,930.0,46.0,988.0,3.0,809.0,11.0
CSF1R,861.0,605.0,917.0,883.0,469.0,406.0,337.0,165.0,86.0,564.0,565.0
MET,962.0,318.0,647.0,675.0,489.0,62.0,932.0,343.0,531.0,771.0,263.0
Proteasome,355.0,742.0,837.0,394.0,608.0,304.0,262.0,35.0,932.0,985.0,125.0
CAPN1,560.0,682.0,754.0,836.0,522.0,169.0,545.0,276.0,674.0,985.0,25.0
Microtubule stabiliser,323.0,967.0,846.0,781.0,775.0,336.0,193.0,1.0,796.0,764.0,913.0
SMO,145.0,57.0,210.0,985.0,375.0,757.0,391.0,867.0,565.0,383.0,719.0
BRAF,837.0,285.0,618.0,4.0,194.0,636.0,387.0,316.0,200.0,989.0,122.0
RAF,883.0,628.0,995.0,72.0,149.0,54.0,913.0,355.0,280.0,607.0,134.0
AURKA,227.0,823.0,341.0,551.0,844.0,319.0,685.0,14.0,769.0,812.0,861.0
AURKB,259.0,861.0,414.0,721.0,988.0,403.0,306.0,0.0,354.0,974.0,994.0
AURKC,584.0,509.0,987.0,817.0,999.0,115.0,553.0,2.0,720.0,238.0,454.0
others,159.0,454.0,56.0,263.0,93.0,954.0,569.0,894.0,409.0,898.0,72.0
ABL,568.0,302.0,327.0,66.0,257.0,943.0,67.0,126.0,410.0,990.0,275.0
ALK,753.0,30.0,2.0,183.0,552.0,927.0,753.0,779.0,392.0,686.0,43.0
ROS1,152.0,959.0,469.0,999.0,994.0,188.0,269.0,44.0,148.0,253.0,721.0
SRC,245.0,485.0,878.0,704.0,341.0,35.0,649.0,903.0,998.0,712.0,515.0
KIF11,426.0,930.0,591.0,917.0,785.0,341.0,273.0,51.0,566.0,902.0,126.0
gamma-secretase,371.0,836.0,304.0,708.0,271.0,518.0,38.0,706.0,440.0,993.0,36.0
Ephrins,426.0,285.0,884.0,386.0,283.0,168.0,441.0,780.0,1000.0,575.0,504.0
BCR-ABL,529.0,339.0,65.0,316.0,83.0,856.0,199.0,627.0,549.0,985.0,39.0
CDK1,89.0,898.0,2.0,984.0,998.0,341.0,231.0,131.0,902.0,858.0,311.0
CDK2,32.0,240.0,13.0,463.0,415.0,988.0,304.0,505.0,974.0,805.0,677.0
