,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,846.0,97.0,796.0,47.0,0.0,67.0,858.0,999.0,518.0,459.0,840.0
MTORC1,523.0,521.0,218.0,624.0,955.0,922.0,129.0,27.0,726.0,897.0,235.0
PDGFR,759.0,638.0,330.0,370.0,563.0,951.0,51.0,249.0,955.0,496.0,281.0
KIT,726.0,890.0,857.0,580.0,671.0,850.0,50.0,318.0,788.0,9.0,633.0
VEGFR,591.0,479.0,545.0,824.0,971.0,581.0,414.0,0.0,282.0,816.0,212.0
FLT3,448.0,390.0,822.0,777.0,951.0,373.0,434.0,125.0,95.0,378.0,421.0
RET,218.0,109.0,951.0,970.0,881.0,620.0,275.0,49.0,92.0,893.0,972.0
CSF1R,339.0,754.0,359.0,630.0,779.0,809.0,374.0,346.0,873.0,54.0,508.0
MET,15.0,791.0,902.0,602.0,970.0,723.0,551.0,172.0,104.0,236.0,695.0
Proteasome,397.0,538.0,145.0,627.0,716.0,914.0,204.0,170.0,824.0,743.0,455.0
CAPN1,222.0,812.0,750.0,913.0,286.0,506.0,257.0,428.0,567.0,61.0,834.0
Microtubule stabiliser,585.0,326.0,179.0,353.0,645.0,647.0,596.0,292.0,501.0,943.0,189.0
SMO,553.0,582.0,669.0,666.0,109.0,716.0,333.0,513.0,876.0,93.0,584.0
BRAF,710.0,27.0,651.0,772.0,546.0,939.0,115.0,260.0,785.0,784.0,719.0
RAF,461.0,420.0,155.0,671.0,992.0,541.0,585.0,25.0,277.0,640.0,59.0
AURKA,876.0,472.0,786.0,347.0,190.0,4.0,886.0,786.0,68.0,312.0,380.0
AURKB,757.0,606.0,295.0,716.0,693.0,771.0,261.0,20.0,794.0,648.0,167.0
AURKC,841.0,356.0,206.0,628.0,622.0,324.0,661.0,59.0,647.0,843.0,71.0
others,644.0,899.0,49.0,530.0,557.0,371.0,693.0,113.0,827.0,362.0,37.0
ABL,670.0,459.0,513.0,773.0,599.0,950.0,213.0,615.0,697.0,150.0,479.0
ALK,370.0,422.0,117.0,307.0,177.0,918.0,226.0,832.0,919.0,764.0,683.0
ROS1,461.0,820.0,370.0,714.0,917.0,654.0,445.0,117.0,555.0,678.0,248.0
SRC,767.0,484.0,78.0,324.0,305.0,912.0,242.0,407.0,975.0,473.0,477.0
KIF11,574.0,640.0,128.0,604.0,732.0,940.0,156.0,105.0,884.0,753.0,136.0
gamma-secretase,481.0,595.0,185.0,777.0,861.0,950.0,124.0,83.0,579.0,839.0,225.0
