,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
EGFR,56.0,511.0,370.0,965.0,949.0,632.0,596.0,127.0,700.0,381.0,729.0
MTORC1,48.0,83.0,655.0,897.0,583.0,651.0,130.0,303.0,115.0,948.0,286.0
PDGFR,335.0,892.0,777.0,147.0,847.0,272.0,882.0,164.0,480.0,394.0,421.0
KIT,550.0,249.0,93.0,275.0,933.0,928.0,226.0,58.0,525.0,679.0,570.0
VEGFR,651.0,462.0,850.0,7.0,819.0,844.0,964.0,656.0,309.0,556.0,663.0
FLT3,668.0,39.0,494.0,93.0,165.0,714.0,766.0,970.0,352.0,548.0,642.0
RET,351.0,30.0,188.0,982.0,744.0,711.0,930.0,487.0,886.0,571.0,190.0
CSF1R,940.0,896.0,518.0,303.0,862.0,341.0,793.0,25.0,954.0,139.0,710.0
MET,0.0,792.0,634.0,976.0,970.0,135.0,650.0,593.0,444.0,575.0,466.0
Proteasome,30.0,845.0,845.0,745.0,497.0,320.0,444.0,365.0,469.0,632.0,380.0
CAPN1,472.0,810.0,58.0,601.0,986.0,692.0,583.0,39.0,639.0,415.0,392.0
Microtubule stabiliser,553.0,714.0,895.0,279.0,243.0,90.0,553.0,423.0,751.0,502.0,537.0
SMO,355.0,651.0,188.0,518.0,979.0,754.0,528.0,29.0,520.0,541.0,942.0
BRAF,185.0,988.0,820.0,212.0,724.0,407.0,667.0,605.0,121.0,264.0,990.0
RAF,390.0,24.0,19.0,849.0,204.0,792.0,554.0,932.0,680.0,615.0,310.0
AURKA,993.0,119.0,748.0,1.0,396.0,383.0,228.0,576.0,161.0,890.0,305.0
AURKB,738.0,645.0,388.0,22.0,414.0,693.0,533.0,408.0,791.0,559.0,937.0
AURKC,966.0,203.0,621.0,3.0,494.0,459.0,432.0,347.0,175.0,890.0,500.0
others,711.0,975.0,669.0,444.0,447.0,209.0,337.0,666.0,619.0,592.0,258.0
ABL,152.0,980.0,826.0,920.0,959.0,289.0,186.0,71.0,19.0,229.0,979.0
ALK,7.0,582.0,303.0,327.0,600.0,894.0,947.0,983.0,244.0,467.0,799.0
ROS1,0.0,955.0,545.0,936.0,981.0,94.0,451.0,219.0,467.0,545.0,553.0
SRC,247.0,852.0,782.0,703.0,964.0,381.0,213.0,25.0,229.0,768.0,270.0
KIF11,470.0,677.0,817.0,697.0,473.0,321.0,633.0,89.0,752.0,233.0,641.0
gamma-secretase,103.0,744.0,850.0,928.0,822.0,236.0,376.0,18.0,352.0,772.0,422.0
Ephrins,457.0,201.0,415.0,997.0,829.0,334.0,40.0,2.0,376.0,829.0,386.0
BCR-ABL,308.0,894.0,605.0,833.0,801.0,597.0,857.0,288.0,487.0,177.0,978.0
CDK1,195.0,982.0,911.0,144.0,890.0,51.0,879.0,800.0,227.0,245.0,857.0
CDK2,16.0,555.0,380.0,602.0,511.0,870.0,787.0,977.0,32.0,743.0,819.0
CDK5,537.0,593.0,936.0,177.0,232.0,542.0,234.0,900.0,7.0,456.0,420.0
CDK7,999.0,633.0,630.0,22.0,40.0,197.0,140.0,379.0,719.0,501.0,132.0
CDK9,874.0,92.0,8.0,745.0,467.0,709.0,568.0,417.0,848.0,602.0,165.0
PKC,209.0,794.0,883.0,851.0,595.0,455.0,306.0,43.0,394.0,392.0,406.0
CDK4,625.0,354.0,960.0,244.0,680.0,174.0,928.0,161.0,600.0,258.0,687.0
LCK,412.0,9.0,298.0,474.0,922.0,883.0,315.0,55.0,307.0,934.0,223.0
FYN,413.0,480.0,176.0,972.0,897.0,400.0,51.0,45.0,373.0,912.0,355.0
BMX,947.0,829.0,902.0,14.0,38.0,256.0,884.0,994.0,583.0,63.0,885.0
PLK1,257.0,933.0,856.0,499.0,268.0,269.0,759.0,452.0,601.0,506.0,673.0
PLK2,448.0,976.0,959.0,414.0,483.0,154.0,737.0,210.0,722.0,366.0,768.0
PLK3,993.0,185.0,26.0,121.0,41.0,537.0,749.0,925.0,802.0,593.0,103.0
IGF1R,690.0,954.0,635.0,345.0,921.0,683.0,93.0,4.0,162.0,583.0,187.0
IR,143.0,991.0,918.0,366.0,429.0,433.0,546.0,457.0,396.0,334.0,456.0
ITK,979.0,168.0,599.0,3.0,713.0,466.0,354.0,298.0,486.0,730.0,199.0
RSK2,497.0,334.0,150.0,987.0,940.0,618.0,88.0,1.0,286.0,963.0,325.0
Dihydrofolate reductase (DHFR),10.0,33.0,241.0,949.0,982.0,866.0,561.0,273.0,239.0,807.0,250.0
MTOR,56.0,569.0,906.0,990.0,950.0,97.0,131.0,4.0,159.0,830.0,720.0
AKT1,0.0,746.0,963.0,999.0,986.0,242.0,400.0,21.0,174.0,795.0,380.0
AKT2,6.0,300.0,904.0,990.0,974.0,344.0,632.0,44.0,350.0,790.0,363.0
AKT3,983.0,37.0,207.0,167.0,0.0,762.0,686.0,998.0,612.0,617.0,350.0
HDAC1,338.0,44.0,18.0,943.0,289.0,807.0,250.0,339.0,745.0,861.0,459.0
HDAC3,64.0,688.0,863.0,652.0,810.0,357.0,780.0,687.0,217.0,318.0,889.0
IKK,263.0,967.0,336.0,479.0,767.0,426.0,561.0,436.0,598.0,232.0,715.0
PI3Kbeta,21.0,547.0,296.0,1000.0,783.0,640.0,97.0,5.0,381.0,850.0,761.0
ERK5,882.0,63.0,107.0,506.0,128.0,523.0,682.0,868.0,916.0,259.0,57.0
BET,198.0,512.0,874.0,40.0,947.0,355.0,914.0,437.0,702.0,204.0,633.0
EIF2A,116.0,988.0,807.0,512.0,992.0,130.0,476.0,9.0,764.0,541.0,405.0
ERBB2,31.0,61.0,208.0,902.0,1000.0,566.0,536.0,11.0,426.0,917.0,798.0
ROCK1,903.0,928.0,311.0,346.0,895.0,398.0,386.0,13.0,697.0,367.0,900.0
ROCK2,970.0,213.0,579.0,53.0,37.0,390.0,427.0,810.0,591.0,170.0,229.0
Anthracycline,695.0,877.0,983.0,529.0,429.0,24.0,168.0,118.0,666.0,360.0,142.0
TOP2,738.0,973.0,930.0,246.0,266.0,40.0,57.0,296.0,394.0,525.0,575.0
Pyrimidine antimetabolite,305.0,708.0,846.0,339.0,231.0,144.0,235.0,803.0,673.0,508.0,317.0
DNA crosslinker,6.0,571.0,894.0,911.0,829.0,108.0,505.0,480.0,681.0,656.0,703.0
Microtubule destabiliser,561.0,772.0,927.0,226.0,121.0,137.0,563.0,663.0,464.0,565.0,534.0
SHP-1 (PTPN6),435.0,514.0,307.0,73.0,940.0,690.0,914.0,650.0,426.0,265.0,854.0
SHP-2 (PTPN11),712.0,835.0,284.0,26.0,263.0,882.0,981.0,989.0,742.0,335.0,853.0
AR,66.0,650.0,278.0,324.0,999.0,807.0,894.0,148.0,284.0,626.0,715.0
ARFGAP1,683.0,539.0,815.0,326.0,933.0,94.0,66.0,9.0,381.0,785.0,285.0
ATM,497.0,562.0,205.0,197.0,299.0,959.0,150.0,614.0,278.0,649.0,883.0
PPK,255.0,869.0,668.0,615.0,985.0,183.0,374.0,33.0,404.0,639.0,428.0
FLT1,97.0,208.0,492.0,714.0,987.0,225.0,324.0,139.0,154.0,823.0,308.0
c-FGR,590.0,989.0,870.0,173.0,780.0,76.0,415.0,317.0,321.0,432.0,703.0
GSK3A,325.0,739.0,158.0,407.0,983.0,837.0,971.0,335.0,666.0,560.0,861.0
GSK3B,42.0,761.0,239.0,832.0,999.0,536.0,930.0,24.0,653.0,301.0,788.0
PDGFRA,624.0,3.0,228.0,836.0,859.0,817.0,458.0,95.0,703.0,566.0,249.0
VEGFR2,859.0,998.0,694.0,40.0,2.0,31.0,577.0,997.0,487.0,26.0,737.0
FGFR1,674.0,951.0,653.0,10.0,86.0,585.0,805.0,973.0,216.0,376.0,760.0
TIE2,808.0,663.0,732.0,476.0,552.0,94.0,388.0,597.0,296.0,795.0,296.0
JNK2,31.0,975.0,621.0,937.0,978.0,535.0,456.0,79.0,591.0,231.0,419.0
JNK3,218.0,984.0,844.0,328.0,213.0,411.0,228.0,573.0,127.0,461.0,758.0
FAK,526.0,991.0,897.0,407.0,902.0,104.0,95.0,8.0,385.0,465.0,451.0
